v_link_id,link_id,dir,f_node,t_node,lanes_dir,max_speed,road_name,road_no,road_rank,link_type,pavement,road_type,lanes,oneway,length,level
47520001801,475200018,UP,181435,181436,1,40,해안길,0,107,32768,0.0,0,2,0,0.118,6.5
47520002601,475200026,UP,181436,181444,1,40,해안길178번길,0,107,32768,0.0,0,2,0,0.123,6.0
47520002801,475200028,UP,181437,181438,1,40,,0,107,32768,0.0,0,2,0,0.112,6.5
47520003001,475200030,UP,181517,181437,1,40,해안길178번길,0,107,32768,0.0,0,2,0,0.119,6.0
47520003201,475200032,UP,181437,181440,1,40,해안길178번길,0,107,32768,0.0,0,2,0,0.242,6.0
47520003401,475200034,UP,181516,181438,1,20,해안길,0,107,32768,0.0,0,2,0,0.12,6.0
47520003601,475200036,UP,181438,181441,1,20,해안길,0,107,32768,0.0,0,2,0,0.243,6.0
47520006401,475200064,UP,181440,181441,1,40,해안길,0,107,32768,0.0,0,2,0,0.127,6.5
47520007601,475200076,UP,181436,181442,1,40,해안길178번길,0,107,32768,0.0,0,2,0,0.118,6.0
47520008001,475200080,UP,181441,181443,1,20,해안길,0,107,32768,0.0,0,2,0,0.247,6.0
47520008201,475200082,UP,181435,181443,1,20,해안길,0,107,32768,0.0,0,2,0,0.123,6.0
47520008401,475200084,UP,181444,181445,1,40,해안길,0,107,32768,0.0,0,2,0,0.114,6.5
47520010001,475200100,UP,181435,181445,1,20,해안길,0,107,32768,0.0,0,2,0,0.12,6.0
47520010801,475200108,UP,181440,181442,1,40,해안길178번길,0,107,32768,0.0,0,2,0,0.247,6.0
47520011601,475200116,UP,550937,181446,1,30,해안길,0,107,32768,0.0,0,2,0,0.41,6.0
47520011801,475200118,UP,181433,181446,1,30,해안길,0,107,32768,0.0,0,2,0,0.209,6.0
47520012201,475200122,UP,181442,181443,1,40,해안길,0,107,32768,0.0,0,2,0,0.124,6.5
47520013601,475200136,UP,181433,181444,1,40,해안길178번길,0,107,32768,0.0,0,2,0,0.114,6.0
47520015601,475200156,UP,181433,181445,1,20,해안길,0,107,32768,0.0,0,2,0,0.628,6.0
47531164501,475311645,UP,181501,181505,1,40,해안길,0,107,32768,0.0,0,2,0,0.583,6.0
47531166101,475311661,UP,183506,181505,1,40,해안길,0,107,32768,0.0,0,2,0,0.215,6.0
47531212001,475312120,UP,181516,181517,1,40,,0,107,32768,0.0,0,2,0,0.099,6.5
47531353401,475313534,UP,550677,550676,1,20,해안길178번길,0,107,4,0.0,0,1,1,0.015,6.0
47531353601,475313536,UP,181501,550676,1,40,해안길178번길,0,107,4,0.0,0,2,0,0.015,6.0
47531353801,475313538,UP,181517,550676,1,40,해안길178번길,0,107,32768,0.0,0,2,0,0.281,6.0
47531354001,475313540,UP,181501,550677,1,40,해안길,0,107,4,0.0,0,2,0,0.022,6.0
47531354201,475313542,UP,181516,550677,1,20,해안길,0,107,32768,0.0,0,2,0,0.342,6.0
47610000801,476100008,UP,195938,183299,2,60,궁평항로,301,106,32768,0.0,0,4,0,2.936,5.5
47610001301,476100013,UP,183299,183335,2,60,궁평항로,301,106,32768,0.0,0,4,0,6.194,5.5
47621002301,476210023,UP,183389,550926,2,60,궁평항로,309,106,32768,0.0,0,4,0,0.272,5.5
47624002701,476240027,UP,183312,183491,1,30,해안길,0,107,32768,0.0,0,2,0,0.723,6.0
47624006201,476240062,UP,183315,183352,1,60,효자각로,0,107,32768,0.0,0,2,0,1.25,6.0
47624006501,476240065,UP,183315,183316,1,60,해운로,0,107,32768,0.0,0,2,0,0.996,6.0
47624016001,476240160,UP,183360,550927,2,60,궁평항로,309,106,32768,0.0,0,4,0,0.172,5.5
47624017101,476240171,UP,183329,183359,2,60,궁평항로,309,106,32768,0.0,0,4,0,1.011,5.5
47624022801,476240228,UP,183646,183331,1,60,매화1길,0,107,32768,0.0,0,2,0,0.116,6.0
47624023101,476240231,UP,183316,183332,1,60,해운로,0,107,32768,0.0,0,2,0,0.385,6.0
47624023901,476240239,UP,551004,183332,1,60,해운로,0,107,32768,0.0,0,2,0,0.277,6.0
47624028801,476240288,UP,183333,183334,2,60,궁평항로,309,106,32768,0.0,0,4,0,0.179,5.5
47624029501,476240295,UP,1720654,1720655,1,30,,0,107,34816,0.0,0,2,0,0.026,6.5
47624030001,476240300,UP,183339,183342,1,50,해운로458번길,0,107,32768,0.0,0,2,0,0.169,6.0
47624030101,476240301,UP,183342,603912,2,50,해운로458번길,0,107,32768,0.0,0,4,0,0.106,6.0
47624030501,476240305,UP,183342,183343,2,50,해운로458번길,0,107,32768,0.0,0,4,0,0.038,6.5
47624030601,476240306,UP,183341,183344,2,30,해운로458번길,0,107,32768,0.0,0,4,0,0.042,6.5
47624030701,476240307,UP,183343,183344,2,50,해운로458번길,0,107,32768,0.0,0,4,0,0.211,6.5
47624031101,476240311,UP,183322,183334,1,40,궁평항로,0,107,32768,0.0,0,2,0,0.088,6.0
47624033801,476240338,UP,183346,183347,1,30,,0,107,34816,0.0,0,2,0,0.108,6.5
47624034001,476240340,UP,183347,550927,2,60,궁평항로,309,106,32768,0.0,0,4,0,0.176,5.5
47624034201,476240342,UP,183347,550945,2,60,궁평항로,309,106,32768,0.0,0,4,0,0.273,5.5
47624034401,476240344,UP,183333,183348,2,60,궁평항로,301,106,32768,0.0,0,4,0,0.044,5.5
47624034801,476240348,UP,183335,183349,2,60,궁평항로,301,106,32768,0.0,0,4,0,0.026,5.5
47624035001,476240350,UP,183348,183349,2,60,궁평항로,301,106,32768,0.0,3,4,0,0.154,5.5
47624041401,476240414,UP,183351,183352,1,40,효자각로,0,107,32768,0.0,0,2,0,0.301,6.0
47624043201,476240432,UP,183331,1720670,1,60,매화1길,0,107,32768,0.0,0,2,0,0.073,6.0
47624022601,476240226,UP,183310,183311,1,60,매화2길,0,107,32768,0.0,0,2,0,0.155,5.5
47624046201,476240462,UP,183353,550931,1,50,제부로,0,107,32768,0.0,0,2,0,0.419,6.0
47624047001,476240470,UP,183353,183354,1,40,화남공단로,0,107,34816,0.0,0,2,0,0.529,6.5
47624051001,476240510,UP,183315,183345,1,60,해운로,0,107,32768,0.0,0,2,0,3.473,6.0
47624052401,476240524,UP,183381,550933,1,50,제부로,0,107,32768,0.0,0,2,0,0.676,6.0
47624053001,476240530,UP,183355,183356,1,30,궁평고잔길,0,107,32768,0.0,0,1,1,0.04,6.0
47624053401,476240534,UP,183325,183355,1,30,수문개길,0,107,32768,0.0,0,1,1,0.019,6.0
47624053801,476240538,UP,183356,183325,1,30,궁평고잔길,0,107,32768,0.0,0,1,1,0.041,6.0
47624054001,476240540,UP,183345,183357,1,30,해운로,0,107,32768,0.0,0,2,0,0.117,6.0
47624054801,476240548,UP,183357,183358,2,60,궁평항로,309,106,32768,0.0,0,4,0,0.184,5.5
47624056801,476240568,UP,183359,183360,2,60,궁평항로,309,106,32768,0.0,0,4,0,0.045,5.5
47624059201,476240592,UP,183362,183365,2,60,궁평항로,309,106,4,0.0,0,4,0,0.026,5.5
47624059601,476240596,UP,183366,183368,1,60,,0,107,4,0.0,0,1,1,0.058,6.0
47624060601,476240606,UP,183362,183367,2,60,궁평항로,309,106,4,0.0,0,4,0,0.022,5.5
47624061001,476240610,UP,183365,183368,2,60,,0,107,4,0.0,0,4,0,0.042,6.0
47624069601,476240696,UP,550930,550932,1,60,제부로,0,107,32768,0.0,0,2,0,0.229,6.0
47624069801,476240698,UP,550931,550932,1,60,제부로,0,107,32768,0.0,0,2,0,0.163,6.0
47624070001,476240700,UP,183663,183370,1,60,제부로,0,107,32768,0.0,0,2,0,0.129,6.0
47624070201,476240702,UP,183370,550930,1,60,제부로,0,107,32768,0.0,0,2,0,0.05,6.0
47624073601,476240736,UP,183317,183339,1,50,,0,107,32768,0.0,0,2,0,0.073,6.5
47624074201,476240742,UP,183316,183339,1,50,해운로458번길,0,107,32768,0.0,0,2,0,0.417,6.0
47624074801,476240748,UP,183353,550928,1,50,제부로,0,107,32768,0.0,0,2,0,0.438,6.0
47624077401,476240774,UP,550928,550933,1,50,제부로,0,107,32768,0.0,0,2,0,0.443,6.0
47624078801,476240788,UP,183329,183371,2,60,궁평항로,309,106,32768,0.0,0,4,0,0.107,5.5
47624079001,476240790,UP,183358,183371,2,30,궁평항로,309,106,4,0.0,0,4,0,0.078,5.5
47624079801,476240798,UP,183371,183372,1,30,대수풀길,0,107,4,0.0,0,1,1,0.087,6.5
47624080401,476240804,UP,183350,183372,1,30,대수풀길,0,107,32768,0.0,0,2,0,0.011,6.5
47624080601,476240806,UP,183358,183372,1,60,대수풀길,0,107,4,0.0,0,2,0,0.024,6.5
47624081001,476240810,UP,603912,603913,2,50,,0,107,32768,0.0,0,4,0,0.293,6.5
47624081201,476240812,UP,603914,603915,2,50,,0,107,32768,0.0,0,4,0,0.29,6.5
47624081401,476240814,UP,603912,603915,2,50,해운로458번길,0,107,32768,0.0,0,4,0,0.119,6.0
47624081801,476240818,UP,550934,550944,2,50,해운로458번길,0,107,32768,0.0,0,4,0,0.311,6.5
47624082201,476240822,UP,550934,603915,2,50,해운로458번길,0,107,32768,0.0,0,4,0,0.11,6.0
47624085801,476240858,UP,183352,183392,1,60,효자각로,0,107,32768,0.0,0,2,0,1.006,6.0
47624106201,476241062,UP,183686,183374,1,60,바다뜰길,0,107,32768,0.0,0,2,0,0.321,6.0
47624107001,476241070,UP,183375,183376,1,40,,0,107,32768,0.0,0,2,0,0.071,6.5
92624113001,926241130,UP,183378,183382,2,60,,309,106,32768,0.0,0,4,0,0.37,5.5
92624116001,926241160,UP,183380,1720667,2,60,궁평항로,309,106,32768,0.0,0,4,0,0.38,5.5
47624116401,476241164,UP,183320,1669104,1,50,백미길,0,107,32768,0.0,0,2,0,0.16,6.0
47624126201,476241262,UP,550927,183325,1,30,수문개길,0,107,32768,0.0,0,1,1,0.404,6.0
47624130401,476241304,UP,183361,183367,2,60,궁평항로,309,106,32768,0.0,0,4,0,0.573,5.5
47624163301,476241633,UP,183368,183367,1,60,궁평항로,0,107,4,0.0,0,1,1,0.066,6.0
47624166301,476241663,UP,183625,183381,1,50,제부로,0,107,32768,0.0,0,2,0,0.336,6.0
92624175801,926241758,UP,183373,183380,2,60,궁평항로,309,106,32768,0.0,0,4,0,0.844,5.5
47624178001,476241780,UP,183357,183386,2,30,궁평항로,309,106,32768,0.0,0,4,0,0.032,5.5
47624178201,476241782,UP,183373,183386,2,30,궁평항로,309,106,32768,0.0,0,4,0,0.078,5.5
47624178401,476241784,UP,183319,183387,2,60,궁평항로,309,106,4,0.0,0,4,0,0.013,5.5
47624179401,476241794,UP,183330,183389,2,60,궁평항로,309,106,32768,0.0,0,4,0,0.384,5.5
47624180401,476241804,UP,183726,183394,2,30,궁평항로,309,106,32768,0.0,0,4,0,0.179,5.5
47624180601,476241806,UP,183303,183391,1,30,효자각로,0,107,32768,0.0,0,2,0,0.012,5.5
47624181401,476241814,UP,183390,183396,1,60,궁평항로,309,106,4,0.0,0,1,1,0.065,5.5
47624181601,476241816,UP,183395,183390,1,60,궁평항로,309,106,4,0.0,0,1,1,0.066,5.5
47624181801,476241818,UP,183400,183391,1,30,효자각로,0,107,4,0.0,0,1,1,0.022,5.5
47624182001,476241820,UP,183391,183401,1,60,효자각로,0,107,4,0.0,0,1,1,0.016,5.5
47624182401,476241824,UP,183399,183394,1,30,궁평항로,309,106,4,0.0,0,1,1,0.066,5.5
47624182601,476241826,UP,183394,183393,1,30,궁평항로,309,106,4,0.0,0,1,1,0.064,5.5
47624182801,476241828,UP,183397,183392,1,60,효자각로,0,107,4,0.0,0,1,1,0.024,6.0
47624183001,476241830,UP,183392,183398,1,60,효자각로,0,107,4,0.0,0,1,1,0.023,6.0
47624183801,476241838,UP,183395,183396,1,60,효자각로,309,106,64,0.0,0,1,1,0.02,5.5
47624184201,476241842,UP,183396,183397,1,60,효자각로,309,106,64,0.0,0,1,1,0.008,5.5
47624184601,476241846,UP,183397,183398,1,60,궁평항로,309,106,64,0.0,0,1,1,0.016,5.5
47624184801,476241848,UP,183399,183393,1,40,효자각로,309,106,64,0.0,0,1,1,0.019,5.5
47624185001,476241850,UP,183398,183399,1,60,궁평항로,309,106,64,0.0,0,1,1,0.004,5.5
47624185201,476241852,UP,183393,183400,1,60,효자각로,309,106,64,0.0,0,1,1,0.012,5.5
47624185601,476241856,UP,183401,183395,1,60,궁평항로,309,106,64,0.0,0,1,1,0.008,5.5
47624185801,476241858,UP,183400,183401,1,30,궁평항로,309,106,64,0.0,0,1,1,0.017,5.5
47624188001,476241880,UP,183322,183403,1,40,궁평항로,0,107,32768,0.0,0,2,0,0.308,6.5
47624191001,476241910,UP,183403,183404,1,40,궁평항로,0,107,32768,0.0,0,2,0,0.381,6.5
47624195201,476241952,UP,183333,183404,1,40,궁평항로,0,107,32768,0.0,0,2,0,0.077,6.0
