link_id,max_speed,road_name,road_no,road_rank,link_type,pavement,road_type,lanes,oneway,length,level,dir,v_link_id,f_node,t_node,lanes_dir,acc_cnt
475200018,40,해안길,0,107,32768,0.0,0,2,0,0.118,6.5,UP,47520001801,181435,181436,1,0
475200026,40,해안길178번길,0,107,32768,0.0,0,2,0,0.123,6.0,UP,47520002601,181436,181444,1,0
475200028,40,,0,107,32768,0.0,0,2,0,0.112,6.5,UP,47520002801,181437,181438,1,0
475200030,40,해안길178번길,0,107,32768,0.0,0,2,0,0.119,6.0,UP,47520003001,181517,181437,1,0
475200032,40,해안길178번길,0,107,32768,0.0,0,2,0,0.242,6.0,UP,47520003201,181437,181440,1,0
475200034,20,해안길,0,107,32768,0.0,0,2,0,0.12,6.0,UP,47520003401,181516,181438,1,0
475200036,20,해안길,0,107,32768,0.0,0,2,0,0.243,6.0,UP,47520003601,181438,181441,1,0
475200064,40,해안길,0,107,32768,0.0,0,2,0,0.127,6.5,UP,47520006401,181440,181441,1,0
475200076,40,해안길178번길,0,107,32768,0.0,0,2,0,0.118,6.0,UP,47520007601,181436,181442,1,0
475200080,20,해안길,0,107,32768,0.0,0,2,0,0.247,6.0,UP,47520008001,181441,181443,1,0
475200082,20,해안길,0,107,32768,0.0,0,2,0,0.123,6.0,UP,47520008201,181435,181443,1,0
475200084,40,해안길,0,107,32768,0.0,0,2,0,0.114,6.5,UP,47520008401,181444,181445,1,0
475200100,20,해안길,0,107,32768,0.0,0,2,0,0.12,6.0,UP,47520010001,181435,181445,1,0
475200108,40,해안길178번길,0,107,32768,0.0,0,2,0,0.247,6.0,UP,47520010801,181440,181442,1,0
475200116,30,해안길,0,107,32768,0.0,0,2,0,0.41,6.0,UP,47520011601,550937,181446,1,0
475200118,30,해안길,0,107,32768,0.0,0,2,0,0.209,6.0,UP,47520011801,181433,181446,1,0
475200122,40,해안길,0,107,32768,0.0,0,2,0,0.124,6.5,UP,47520012201,181442,181443,1,0
475200136,40,해안길178번길,0,107,32768,0.0,0,2,0,0.114,6.0,UP,47520013601,181433,181444,1,0
475200156,20,해안길,0,107,32768,0.0,0,2,0,0.628,6.0,UP,47520015601,181433,181445,1,0
475311645,40,해안길,0,107,32768,0.0,0,2,0,0.583,6.0,UP,47531164501,181501,181505,1,1
475311661,40,해안길,0,107,32768,0.0,0,2,0,0.215,6.0,UP,47531166101,183506,181505,1,0
475312120,40,,0,107,32768,0.0,0,2,0,0.099,6.5,UP,47531212001,181516,181517,1,0
475313534,20,해안길178번길,0,107,4,0.0,0,1,1,0.015,6.0,UP,47531353401,550677,550676,1,0
475313536,40,해안길178번길,0,107,4,0.0,0,2,0,0.015,6.0,UP,47531353601,181501,550676,1,0
475313538,40,해안길178번길,0,107,32768,0.0,0,2,0,0.281,6.0,UP,47531353801,181517,550676,1,0
475313540,40,해안길,0,107,4,0.0,0,2,0,0.022,6.0,UP,47531354001,181501,550677,1,0
475313542,20,해안길,0,107,32768,0.0,0,2,0,0.342,6.0,UP,47531354201,181516,550677,1,0
476100008,60,궁평항로,301,106,32768,0.0,0,4,0,2.936,5.5,UP,47610000801,195938,183299,2,0
476100013,60,궁평항로,301,106,32768,0.0,0,4,0,6.194,5.5,UP,47610001301,183299,183335,2,0
476210023,60,궁평항로,309,106,32768,0.0,0,4,0,0.272,5.5,UP,47621002301,183389,550926,2,1
476240027,30,해안길,0,107,32768,0.0,0,2,0,0.723,6.0,UP,47624002701,183312,183491,1,0
476240062,60,효자각로,0,107,32768,0.0,0,2,0,1.25,6.0,UP,47624006201,183315,183352,1,0
476240065,60,해운로,0,107,32768,0.0,0,2,0,0.996,6.0,UP,47624006501,183315,183316,1,0
476240160,60,궁평항로,309,106,32768,0.0,0,4,0,0.172,5.5,UP,47624016001,183360,550927,2,0
476240171,60,궁평항로,309,106,32768,0.0,0,4,0,1.011,5.5,UP,47624017101,183329,183359,2,1
476240228,60,매화1길,0,107,32768,0.0,0,2,0,0.116,6.0,UP,47624022801,183646,183331,1,0
476240231,60,해운로,0,107,32768,0.0,0,2,0,0.385,6.0,UP,47624023101,183316,183332,1,0
476240239,60,해운로,0,107,32768,0.0,0,2,0,0.277,6.0,UP,47624023901,551004,183332,1,0
476240288,60,궁평항로,309,106,32768,0.0,0,4,0,0.179,5.5,UP,47624028801,183333,183334,2,0
476240295,30,,0,107,34816,0.0,0,2,0,0.026,6.5,UP,47624029501,1720654,1720655,1,0
476240300,50,해운로458번길,0,107,32768,0.0,0,2,0,0.169,6.0,UP,47624030001,183339,183342,1,0
476240301,50,해운로458번길,0,107,32768,0.0,0,4,0,0.106,6.0,UP,47624030101,183342,603912,2,0
476240305,50,해운로458번길,0,107,32768,0.0,0,4,0,0.038,6.5,UP,47624030501,183342,183343,2,0
476240306,30,해운로458번길,0,107,32768,0.0,0,4,0,0.042,6.5,UP,47624030601,183341,183344,2,0
476240307,50,해운로458번길,0,107,32768,0.0,0,4,0,0.211,6.5,UP,47624030701,183343,183344,2,0
476240311,40,궁평항로,0,107,32768,0.0,0,2,0,0.088,6.0,UP,47624031101,183322,183334,1,0
476240338,30,,0,107,34816,0.0,0,2,0,0.108,6.5,UP,47624033801,183346,183347,1,0
476240340,60,궁평항로,309,106,32768,0.0,0,4,0,0.176,5.5,UP,47624034001,183347,550927,2,0
476240342,60,궁평항로,309,106,32768,0.0,0,4,0,0.273,5.5,UP,47624034201,183347,550945,2,0
476240344,60,궁평항로,301,106,32768,0.0,0,4,0,0.044,5.5,UP,47624034401,183333,183348,2,0
476240348,60,궁평항로,301,106,32768,0.0,0,4,0,0.026,5.5,UP,47624034801,183335,183349,2,0
476240350,60,궁평항로,301,106,32768,0.0,3,4,0,0.154,5.5,UP,47624035001,183348,183349,2,0
476240414,40,효자각로,0,107,32768,0.0,0,2,0,0.301,6.0,UP,47624041401,183351,183352,1,0
