v_link_id,road_rank,k_length,sido_id,sigungu_id,emd_id,sido_name,sigungu_name,emd_name,FRIN_CG
57155811401,102,0.088,31000,31021,31021660,경기도,성남시수정구,시흥동,57.05
57275538101,107,0.031,31000,31180,31180560,경기도,하남시,덕풍3동,28.93
57134792701,107,0.035,31000,31240,31240620,경기도,화성시,동탄3동,93.85
57139008401,107,0.037,31000,31240,31240570,경기도,화성시,화산동,18.05
57166297201,104,0.422,11000,11240,11240690,서울특별시,송파구,문정2동,13.46
57264441101,107,0.028,31000,31021,31021520,경기도,성남시수정구,신흥2동,42.17
57265554002,107,0.019,31000,31021,31021520,경기도,성남시수정구,신흥2동,50.44
57134372302,107,0.134,31000,31240,31240520,경기도,화성시,진안동,91.68
57134982202,107,0.106,31000,31240,31240620,경기도,화성시,동탄3동,44.91
57166462301,104,0.043,11000,11240,11240690,서울특별시,송파구,문정2동,51.8
57138314101,107,0.051,31000,31240,31240650,경기도,화성시,동탄5동,66.9
57255346201,107,0.098,31000,31023,31023630,경기도,성남시분당구,야탑3동,88.68
57264631102,107,0.164,31000,31022,31022600,경기도,성남시중원구,하대원동,54.79
57135140301,107,0.109,31000,31240,31240610,경기도,화성시,동탄1동,67.63
57266117402,107,0.049,31000,31022,31022560,경기도,성남시중원구,은행2동,86.17
47814940401,103,0.065,31000,31240,31240420,경기도,화성시,양감면,75.34
47714057501,107,0.047,31000,31240,31240390,경기도,화성시,장안면,26.57
57137675001,107,0.02,31000,31240,31240700,경기도,화성시,동탄6동,92.95
57265334402,107,0.017,31000,31022,31022620,경기도,성남시중원구,중앙동,31.91
47714152302,107,0.292,31000,31240,31240390,경기도,화성시,장안면,66.27
57250073902,107,0.151,31000,31023,31023620,경기도,성남시분당구,야탑1동,70.18
47834651202,107,0.175,31000,31240,31240570,경기도,화성시,화산동,71.14
47725311401,107,0.021,31000,31240,31240150,경기도,화성시,남양읍,81.39
57136817402,107,0.175,31000,31240,31240570,경기도,화성시,화산동,2.98
57254359601,107,0.151,31000,31023,31023510,경기도,성남시분당구,분당동,87.95
47824059901,107,0.059,31000,31240,31240140,경기도,화성시,향남읍,34.43
57261043901,104,0.202,11000,11240,11240670,서울특별시,송파구,가락2동,6.13
57168228802,107,0.016,31000,31021,31021640,경기도,성남시수정구,신촌동,56.32
47734143101,107,0.176,31000,31240,31240350,경기도,화성시,마도면,57.49
47814936801,107,0.032,31000,31240,31240420,경기도,화성시,양감면,94.22
57255086601,107,0.063,31000,31022,31022610,경기도,성남시중원구,도촌동,88.07
57156519402,107,0.012,31000,31023,31023680,경기도,성남시분당구,운중동,21.24
57271018502,107,0.079,31000,31180,31180550,경기도,하남시,덕풍2동,89.28
47735247802,107,0.373,31000,31240,31240150,경기도,화성시,남양읍,73.64
47634537802,107,0.112,31000,31240,31240370,경기도,화성시,서신면,26.26
47734868001,101,0.396,31000,31240,31240360,경기도,화성시,송산면,99.17
47624060601,106,0.022,31000,31240,31240370,경기도,화성시,서신면,73.49
57136480801,107,0.159,31000,31240,31240570,경기도,화성시,화산동,69.96
47824204701,107,0.138,31000,31240,31240140,경기도,화성시,향남읍,18.32
57137204401,107,0.027,31000,31240,31240530,경기도,화성시,병점1동,32.27
57278245002,107,0.053,31000,31180,31180611,경기도,하남시,미사3동,61.3
57166317602,107,0.102,31000,31021,31021640,경기도,성남시수정구,신촌동,93.52
57154068402,105,0.021,31000,31021,31021660,경기도,성남시수정구,시흥동,85.81
47834102402,107,0.102,31000,31240,31240430,경기도,화성시,정남면,88.21
57137063801,107,0.103,31000,31240,31240691,경기도,화성시,동탄7동,42.1
57138182202,107,0.05,31000,31240,31240650,경기도,화성시,동탄5동,74.77
57264756801,104,0.035,11000,11240,11240600,서울특별시,송파구,오금동,6.03
47634407802,106,0.006,31000,31240,31240360,경기도,화성시,송산면,55.59
57155179802,107,0.068,31000,31023,31023680,경기도,성남시분당구,운중동,63.37
57137082001,107,0.146,31000,31240,31240650,경기도,화성시,동탄5동,10.36
47835487202,107,0.061,31000,31240,31240330,경기도,화성시,비봉면,95.48
57266274302,107,0.027,31000,31022,31022610,경기도,성남시중원구,도촌동,84.08
47824884801,107,0.159,31000,31240,31240140,경기도,화성시,향남읍,41.18
57135581202,107,0.051,31000,31240,31240520,경기도,화성시,진안동,86.76
47824875002,107,0.039,31000,31240,31240140,경기도,화성시,향남읍,82.31
57154578801,107,0.036,31000,31023,31023750,경기도,성남시분당구,판교동,55.6
47834160201,107,0.172,31000,31240,31240560,경기도,화성시,기배동,77.05
47714957102,107,0.058,31000,31240,31240130,경기도,화성시,우정읍,33.11
57136431802,103,0.059,31000,31240,31240520,경기도,화성시,진안동,99.39
47835664701,107,0.058,31000,31240,31240380,경기도,화성시,팔탄면,28.49
47724641202,107,0.029,31000,31240,31240390,경기도,화성시,장안면,64.83
47824432202,107,0.047,31000,31240,31240140,경기도,화성시,향남읍,72.28
57278248801,104,0.214,11000,11240,11240590,서울특별시,송파구,오륜동,49.71
47824224401,107,0.052,31000,31240,31240140,경기도,화성시,향남읍,58.49
57266306601,104,0.02,11000,11240,11240820,서울특별시,송파구,위례동,71.46
47734790201,106,0.019,31000,31240,31240330,경기도,화성시,비봉면,71.59
57136699201,107,0.053,31000,31240,31240650,경기도,화성시,동탄5동,75.04
57235015101,105,0.255,31000,31240,31240650,경기도,화성시,동탄5동,8.52
57166830801,107,0.1,31000,31021,31021650,경기도,성남시수정구,고등동,56.06
57264199701,107,0.02,31000,31022,31022610,경기도,성남시중원구,도촌동,23.45
47834224802,107,0.136,31000,31240,31240330,경기도,화성시,비봉면,19.46
47834417901,106,0.191,31000,31240,31240330,경기도,화성시,비봉면,94.87
57137555501,107,0.018,31000,31240,31240650,경기도,화성시,동탄5동,69.22
57171915502,104,0.022,11000,11240,11240800,서울특별시,송파구,잠실3동,94.04
57265620802,104,0.079,11000,11240,11240810,서울특별시,송파구,장지동,36.7
47734094402,107,0.152,31000,31240,31240150,경기도,화성시,남양읍,9.66
57265913401,107,0.177,31000,31180,31180670,경기도,하남시,감일동,38.94
57271015901,107,0.033,31000,31180,31180510,경기도,하남시,천현동,49.02
57154413801,107,0.077,31000,31021,31021660,경기도,성남시수정구,시흥동,15.11
47735082802,107,0.072,31000,31240,31240150,경기도,화성시,남양읍,64.68
47724918201,107,0.233,31000,31240,31240150,경기도,화성시,남양읍,5.42
57135409201,107,0.075,31000,31240,31240600,경기도,화성시,동탄2동,97.31
