gbn,fac_hght,fac_wdth,sprtn,cntns,lon,lat
화성시,7.5,3.6,N,N,126.9126399,37.1127176
화성시,7.5,3.6,N,N,126.9758528,37.07972454
화성시,7.5,3.6,N,N,126.7889728,37.04284328
화성시,7.5,3.6,N,N,126.7901675,37.04171009
화성시,7.5,3.6,N,N,126.8708588,37.07642802
화성시,7.5,3.6,N,N,126.8742409,37.07811671
화성시,7.5,3.6,N,N,126.8667746,37.06395838
화성시,7.5,3.6,N,N,126.8880735,37.08539343
화성시,7.5,3.6,N,N,126.8889943,37.08634042
화성시,7.5,3.6,N,N,126.9128206,37.10109316
화성시,7.5,3.6,N,N,126.9320713,37.10970227
화성시,8.0,3.6,Y,N,127.0612362,37.21292453
화성시,8.0,3.6,Y,N,127.0700996,37.22199769
화성시,7.5,3.6,N,N,126.8082257,37.14488475
화성시,7.5,3.6,N,N,126.9196515,37.2527346
화성시,7.5,3.6,N,N,126.7470568,37.17324148
화성시,7.5,3.6,N,N,126.8016526,37.03394526
화성시,7.5,3.6,N,N,126.913667,37.12840725
화성시,7.5,3.6,N,N,126.7469769,37.24028738
화성시,7.5,3.6,N,N,126.6780904,37.18334512
화성시,7.5,3.6,N,N,126.6765683,37.18242414
화성시,7.5,3.6,N,N,126.9436109,37.17629916
화성시,7.5,3.6,N,N,126.8916804,37.20299255
화성시,7.5,3.6,N,N,126.7927093,37.04534931
화성시,7.5,3.6,N,N,126.8434994,37.15105554
화성시,7.5,3.6,N,N,126.8474759,37.0670377
화성시,7.5,3.6,N,N,126.7366639,37.21665576
화성시,7.5,3.6,N,N,126.8404219,37.11179287
화성시,7.5,3.6,N,N,126.6740217,37.18247853
화성시,7.5,3.6,N,N,126.9201664,37.12349047
화성시,7.5,3.6,N,N,126.858897,37.21918324
화성시,7.5,3.6,N,N,126.8720212,37.18735311
화성시,7.5,3.6,N,N,126.7779397,37.21221097
화성시,7.5,3.6,N,N,126.8944935,37.09469836
화성시,7.5,3.6,N,N,126.8409598,37.13672391
화성시,7.5,3.6,N,N,126.6728976,37.19361185
화성시,7.5,3.6,N,N,126.7816184,37.0400365
화성시,7.5,3.6,N,N,126.8937738,37.13374929
화성시,7.5,3.6,N,N,126.8849384,37.17063867
화성시,7.5,3.6,N,N,126.8129699,37.26856877
화성시,7.5,3.6,N,N,126.8917368,37.09041941
화성시,7.5,3.6,N,N,126.8571113,37.21310718
화성시,7.5,3.6,N,N,126.7436158,37.19168729
화성시,7.5,3.6,N,N,126.8519958,37.10120257
화성시,7.5,3.6,N,N,126.9785094,37.08703236
화성시,7.5,3.6,N,N,126.8221117,37.26445637
화성시,7.5,3.6,N,N,126.8206929,37.26845476
화성시,7.5,3.6,N,N,126.9611262,37.2214636
화성시,7.5,3.6,N,N,126.8988393,37.19255809
화성시,7.5,3.6,N,N,126.9707864,37.0867241
화성시,7.5,3.6,N,N,126.9713636,37.09109856
화성시,7.5,3.6,N,N,126.7945643,37.02716071
화성시,7.5,3.6,N,N,126.8239016,37.143145
화성시,7.5,3.6,N,N,126.9196276,37.25393295
화성시,7.5,3.6,N,N,126.8166945,37.26687174
화성시,7.5,3.6,N,N,126.7702164,37.20501396
화성시,7.5,3.6,N,N,126.7015062,37.16866523
화성시,7.5,3.6,N,N,126.7620894,37.1872391
화성시,7.5,3.6,N,N,126.8147559,37.04404032
화성시,7.5,3.6,N,N,126.7391964,37.20913644
화성시,7.5,3.6,N,N,126.9772883,37.13950038
화성시,7.5,3.6,N,N,126.8533586,37.07173076
화성시,7.5,3.6,N,N,126.8178487,37.08739429
화성시,7.5,3.6,N,N,126.8307224,37.18610626
화성시,7.5,3.6,N,N,126.862024,37.09236655
화성시,7.5,3.6,N,N,126.8171745,37.12240116
화성시,7.5,3.6,N,N,126.8531065,37.03981488
화성시,7.5,3.6,N,N,126.7200411,37.19679803
화성시,7.5,3.6,N,N,126.9134518,37.13294929
화성시,7.5,3.6,N,N,126.8302382,37.20343955
화성시,7.5,3.6,N,N,126.9705448,37.09086895
화성시,7.5,3.6,N,N,126.8408892,37.13460789
화성시,7.5,3.6,N,N,126.9078653,37.13180377
화성시,7.5,3.6,N,N,126.875075,37.19959222
화성시,7.5,3.6,N,N,126.8366602,37.18168891
화성시,7.5,3.6,N,N,126.8774094,37.27728644
화성시,7.5,3.6,N,N,126.7666504,37.049649
화성시,7.5,3.6,N,N,126.9119281,37.26398278
화성시,7.5,3.6,N,N,126.7972249,37.22526597
화성시,7.5,3.6,N,N,126.9633433,37.20468705
화성시,7.5,3.6,N,N,126.7729781,37.11791978
화성시,7.5,3.6,N,N,126.8938576,37.13350875
화성시,7.5,3.6,N,N,126.6883979,37.17474022
화성시,7.5,3.6,N,N,126.8343345,37.24511598
화성시,7.5,3.6,N,N,126.9777917,37.11483874
화성시,7.5,3.6,N,N,126.7571929,37.20005648
화성시,7.5,3.6,N,N,126.948124,37.17466732
화성시,7.5,3.6,N,N,126.7927784,37.22178149
화성시,7.5,3.6,N,N,126.8110766,37.20598903
화성시,7.5,3.6,N,N,126.8041623,37.20513066
화성시,7.5,3.6,N,N,126.8053592,37.22996519
화성시,7.5,3.6,N,N,126.8070485,37.2303194
화성시,7.5,3.6,N,N,126.8068333,37.23048187
화성시,7.5,3.6,N,N,126.7469189,37.19073937
화성시,7.5,3.6,N,N,126.7252538,37.18969043
화성시,7.5,3.6,N,N,126.8866251,37.27481803
화성시,7.5,3.6,N,N,126.8914288,37.23624053
화성시,7.5,3.6,N,N,126.8724409,37.21610104
화성시,7.5,3.6,N,N,126.8928022,37.20213622
