gid,pop,sigungu,emd
다사642368,193.0,성남시,고등동
다사643368,114.0,성남시,고등동
다사641369,106.0,성남시,고등동
다사642366,67.0,성남시,고등동
다사642367,65.0,성남시,고등동
다사647365,61.0,성남시,고등동
다사641368,60.0,성남시,고등동
다사642369,58.0,성남시,고등동
다사644368,58.0,성남시,고등동
다사643367,53.0,성남시,고등동
다사643365,47.0,성남시,고등동
다사643366,46.0,성남시,고등동
다사646364,43.0,성남시,고등동
다사647367,39.0,성남시,고등동
다사644364,36.0,성남시,고등동
다사646363,35.0,성남시,고등동
다사646368,34.0,성남시,고등동
다사647368,33.0,성남시,고등동
다사646369,32.0,성남시,고등동
다사647363,30.0,성남시,고등동
다사641367,26.0,성남시,고등동
다사646365,26.0,성남시,고등동
다사645365,24.0,성남시,고등동
다사645364,21.0,성남시,고등동
다사646362,21.0,성남시,고등동
다사641366,20.0,성남시,고등동
다사645362,19.0,성남시,고등동
다사645368,18.0,성남시,고등동
다사647369,14.0,성남시,고등동
다사642365,13.0,성남시,고등동
다사644365,13.0,성남시,고등동
다사621370,8.0,성남시,고등동
다사632373,8.0,성남시,고등동
다사642375,8.0,성남시,고등동
다사644369,8.0,성남시,고등동
다사645369,8.0,성남시,고등동
다사647362,8.0,성남시,고등동
다사649365,8.0,성남시,고등동
다사617363,5.0,성남시,고등동
다사618363,5.0,성남시,고등동
다사619364,5.0,성남시,고등동
다사619365,5.0,성남시,고등동
다사622370,5.0,성남시,고등동
다사631373,5.0,성남시,고등동
다사632374,5.0,성남시,고등동
다사635370,5.0,성남시,고등동
다사635374,5.0,성남시,고등동
다사641365,5.0,성남시,고등동
다사642372,5.0,성남시,고등동
다사643375,5.0,성남시,고등동
다사646361,5.0,성남시,고등동
다사646370,5.0,성남시,고등동
다사648365,5.0,성남시,고등동
다사648366,5.0,성남시,고등동
다사648367,5.0,성남시,고등동
다사649366,5.0,성남시,고등동
다사649367,5.0,성남시,고등동
다사650367,5.0,성남시,고등동
다사619366,,성남시,고등동
다사620365,,성남시,고등동
다사620368,,성남시,고등동
다사621365,,성남시,고등동
다사622369,,성남시,고등동
다사631372,,성남시,고등동
다사640367,,성남시,고등동
다사640368,,성남시,고등동
다사643376,,성남시,고등동
다사644375,,성남시,고등동
다사645371,,성남시,고등동
다사660276,92.0,성남시,구미1동
다사657276,81.0,성남시,구미1동
다사658276,76.0,성남시,구미1동
다사657278,70.0,성남시,구미1동
다사646271,69.0,성남시,구미1동
다사661279,69.0,성남시,구미1동
다사656276,64.0,성남시,구미1동
다사661278,60.0,성남시,구미1동
다사657277,56.0,성남시,구미1동
다사657275,55.0,성남시,구미1동
다사656278,54.0,성남시,구미1동
다사660278,54.0,성남시,구미1동
다사656277,52.0,성남시,구미1동
다사658278,48.0,성남시,구미1동
다사658277,45.0,성남시,구미1동
다사659278,43.0,성남시,구미1동
다사658279,42.0,성남시,구미1동
다사645271,40.0,성남시,구미1동
다사643271,38.0,성남시,구미1동
다사659279,35.0,성남시,구미1동
다사661277,34.0,성남시,구미1동
다사652275,33.0,성남시,구미1동
다사644271,32.0,성남시,구미1동
다사660277,32.0,성남시,구미1동
다사661276,32.0,성남시,구미1동
다사658275,29.0,성남시,구미1동
다사661280,29.0,성남시,구미1동
다사652277,28.0,성남시,구미1동
다사660279,28.0,성남시,구미1동
다사656275,25.0,성남시,구미1동
다사661275,23.0,성남시,구미1동
다사652276,20.0,성남시,구미1동
다사659280,20.0,성남시,구미1동
다사656279,15.0,성남시,구미1동
다사653278,13.0,성남시,구미1동
다사654275,13.0,성남시,구미1동
다사654276,13.0,성남시,구미1동
다사655275,13.0,성남시,구미1동
다사658280,13.0,성남시,구미1동
다사660275,13.0,성남시,구미1동
다사660281,13.0,성남시,구미1동
다사662280,13.0,성남시,구미1동
다사662281,13.0,성남시,구미1동
다사649272,8.0,성남시,구미1동
다사654277,8.0,성남시,구미1동
다사655276,8.0,성남시,구미1동
다사655277,8.0,성남시,구미1동
다사659281,8.0,성남시,구미1동
다사660280,8.0,성남시,구미1동
다사660282,8.0,성남시,구미1동
다사661281,8.0,성남시,구미1동
다사662278,8.0,성남시,구미1동
다사662279,8.0,성남시,구미1동
다사644275,5.0,성남시,구미1동
다사645273,5.0,성남시,구미1동
다사645274,5.0,성남시,구미1동
다사645275,5.0,성남시,구미1동
다사650273,5.0,성남시,구미1동
다사652279,5.0,성남시,구미1동
다사654274,5.0,성남시,구미1동
다사654279,5.0,성남시,구미1동
다사655274,5.0,성남시,구미1동
다사659275,5.0,성남시,구미1동
다사661282,5.0,성남시,구미1동
다사662275,5.0,성남시,구미1동
다사625284,,성남시,구미1동
다사638276,,성남시,구미1동
다사651272,,성남시,구미1동
다사660263,112.0,성남시,구미동
다사661264,108.0,성남시,구미동
다사662268,91.0,성남시,구미동
다사663263,85.0,성남시,구미동
다사659267,81.0,성남시,구미동
다사662266,79.0,성남시,구미동
다사662267,78.0,성남시,구미동
다사662263,73.0,성남시,구미동
다사659268,70.0,성남시,구미동
다사657265,65.0,성남시,구미동
다사662262,65.0,성남시,구미동
다사658267,61.0,성남시,구미동
다사663267,61.0,성남시,구미동
다사658266,57.0,성남시,구미동
다사659266,56.0,성남시,구미동
다사659263,50.0,성남시,구미동
다사661268,50.0,성남시,구미동
다사651264,49.0,성남시,구미동
다사659262,49.0,성남시,구미동
다사658264,47.0,성남시,구미동
다사661266,46.0,성남시,구미동
다사663266,42.0,성남시,구미동
다사663262,40.0,성남시,구미동
다사661263,39.0,성남시,구미동
다사663268,39.0,성남시,구미동
다사650265,38.0,성남시,구미동
다사660262,38.0,성남시,구미동
다사661267,38.0,성남시,구미동
다사658265,37.0,성남시,구미동
다사659264,37.0,성남시,구미동
다사664267,37.0,성남시,구미동
다사661262,35.0,성남시,구미동
다사663261,34.0,성남시,구미동
다사657267,30.0,성남시,구미동
다사658262,28.0,성남시,구미동
다사665264,28.0,성남시,구미동
다사658268,27.0,성남시,구미동
다사667270,27.0,성남시,구미동
다사664269,26.0,성남시,구미동
다사660274,23.0,성남시,구미동
다사664266,23.0,성남시,구미동
다사665267,22.0,성남시,구미동
다사667269,21.0,성남시,구미동
다사668269,21.0,성남시,구미동
다사658263,20.0,성남시,구미동
다사664265,20.0,성남시,구미동
다사655273,19.0,성남시,구미동
