gid,pop,sigungu,emd
다사642368,39,성남시,고등동
다사641369,28,성남시,고등동
다사643368,26,성남시,고등동
다사643367,17,성남시,고등동
다사642366,16,성남시,고등동
다사641368,14,성남시,고등동
다사643365,14,성남시,고등동
다사642369,13,성남시,고등동
다사642367,12,성남시,고등동
다사644364,12,성남시,고등동
다사646363,12,성남시,고등동
다사646369,12,성남시,고등동
다사643366,11,성남시,고등동
다사647368,11,성남시,고등동
다사632373,8,성남시,고등동
다사641366,8,성남시,고등동
다사646368,6,성남시,고등동
다사619364,5,성남시,고등동
다사631373,5,성남시,고등동
다사632374,5,성남시,고등동
다사635370,5,성남시,고등동
다사641367,5,성남시,고등동
다사642365,5,성남시,고등동
다사643375,5,성남시,고등동
다사645362,5,성남시,고등동
다사645368,5,성남시,고등동
다사646361,5,성남시,고등동
다사646364,5,성남시,고등동
다사646365,5,성남시,고등동
다사647363,5,성남시,고등동
다사647365,5,성남시,고등동
다사647367,5,성남시,고등동
다사649365,5,성남시,고등동
다사649367,5,성남시,고등동
다사620368,N/A,성남시,고등동
다사621365,N/A,성남시,고등동
다사622370,N/A,성남시,고등동
다사631372,N/A,성남시,고등동
다사641365,N/A,성남시,고등동
다사642375,N/A,성남시,고등동
다사644365,N/A,성남시,고등동
다사644368,N/A,성남시,고등동
다사644375,N/A,성남시,고등동
다사645365,N/A,성남시,고등동
다사645369,N/A,성남시,고등동
다사646362,N/A,성남시,고등동
다사647362,N/A,성남시,고등동
다사647369,N/A,성남시,고등동
다사650367,N/A,성남시,고등동
다사657278,40,성남시,구미1동
다사657277,32,성남시,구미1동
다사656276,31,성남시,구미1동
다사658276,31,성남시,구미1동
다사660278,30,성남시,구미1동
다사661279,30,성남시,구미1동
다사657276,28,성남시,구미1동
다사660276,26,성남시,구미1동
다사658278,24,성남시,구미1동
다사659278,23,성남시,구미1동
다사658279,22,성남시,구미1동
다사656278,21,성남시,구미1동
다사661278,20,성남시,구미1동
다사658277,19,성남시,구미1동
다사657275,17,성남시,구미1동
다사658275,17,성남시,구미1동
다사659279,17,성남시,구미1동
다사661276,17,성남시,구미1동
다사660277,16,성남시,구미1동
다사660279,15,성남시,구미1동
다사661277,14,성남시,구미1동
다사643271,13,성남시,구미1동
다사646271,13,성남시,구미1동
다사656277,13,성남시,구미1동
다사644271,12,성남시,구미1동
다사656279,12,성남시,구미1동
다사649272,8,성남시,구미1동
다사654276,8,성남시,구미1동
다사660281,8,성남시,구미1동
다사645271,7,성남시,구미1동
다사659280,6,성남시,구미1동
다사645275,5,성남시,구미1동
다사652275,5,성남시,구미1동
다사652276,5,성남시,구미1동
다사652277,5,성남시,구미1동
다사653278,5,성남시,구미1동
다사654275,5,성남시,구미1동
다사654277,5,성남시,구미1동
다사655274,5,성남시,구미1동
다사655275,5,성남시,구미1동
다사655276,5,성남시,구미1동
다사655277,5,성남시,구미1동
다사656275,5,성남시,구미1동
다사658280,5,성남시,구미1동
다사659275,5,성남시,구미1동
다사659281,5,성남시,구미1동
다사660275,5,성남시,구미1동
다사660280,5,성남시,구미1동
다사660282,5,성남시,구미1동
다사661275,5,성남시,구미1동
다사661280,5,성남시,구미1동
다사662275,5,성남시,구미1동
다사662278,5,성남시,구미1동
다사662279,5,성남시,구미1동
다사662280,5,성남시,구미1동
다사662281,5,성남시,구미1동
다사638276,N/A,성남시,구미1동
다사652279,N/A,성남시,구미1동
다사654279,N/A,성남시,구미1동
다사661281,N/A,성남시,구미1동
다사662268,44,성남시,구미동
