link_id,road_name,road_rank,length_km,k_length,ALL_AADT_total,exposure
571452971,경부고속도로,101,5.524,5.524,106192.0,586604.608
571557885,수도권제1순환고속도로,101,4.683,4.683,90993.0,426120.219
571501731,수도권제1순환고속도로,101,4.69,4.69,82730.0,388003.7
571547432,경부고속도로,101,3.093,3.093,113323.0,350508.039
571660414,경부고속도로,101,3.254,3.254,99548.0,323929.192
571558019,수도권제1순환고속도로,101,3.107,3.107,103770.0,322413.39
571606628,수도권제1순환고속도로,101,3.246,3.246,95411.0,309704.106
571606584,수도권제1순환고속도로,101,3.25,3.25,94337.0,306595.25
571558527,수도권제1순환고속도로,101,2.507,2.507,114835.0,287891.345
572704376,수도권제1순환고속도로,101,1.655,1.655,129692.0,214640.26
571560032,경부고속도로,101,2.187,2.187,97155.0,212477.985
571555412,경부고속도로,101,1.967,1.967,107740.0,211924.58
572664045,수도권제1순환고속도로,101,1.733,1.733,114440.0,198324.52
571558900,경부고속도로,101,1.921,1.921,101898.0,195746.058
478244114,평택화성고속도로,101,3.774,3.774,51522.0,194444.028
478244112,평택화성고속도로,101,3.78,3.78,50972.0,192674.16
571251370,경부고속도로,101,1.828,1.828,103038.0,188353.464
572704457,수도권제1순환고속도로,101,1.571,1.571,116091.0,182378.961
478200478,서해안고속도로,101,2.761,2.761,61990.0,171154.39
478240405,서해안고속도로,101,2.759,2.759,59898.0,165258.582
478255430,평택화성고속도로,101,3.464,3.464,47446.0,164352.944
478150974,서해안고속도로,101,2.851,2.851,54334.0,154906.234
477310008,서해안고속도로,101,2.684,2.684,56558.0,151801.672
478150972,서해안고속도로,101,2.851,2.851,53180.0,151616.18
572642221,중부고속도로,101,2.98,2.98,49780.0,148344.4
476441996,평택시흥고속도로,101,3.654,3.654,39323.0,143686.242
477310004,서해안고속도로,101,2.418,2.418,59013.0,142693.434
572749647,수도권제1순환고속도로,101,1.599,1.599,88789.0,141973.611
478300677,서해안고속도로,101,2.243,2.243,62642.0,140506.006
476441994,평택시흥고속도로,101,3.643,3.643,38333.0,139647.119
572642220,중부고속도로,101,3.212,3.212,43385.0,139352.62
477246488,평택시흥고속도로,101,4.199,4.199,30269.0,127099.531
571501648,분당수서간고속화도로,102,1.835,1.835,66596.0,122203.66
477356464,서해안고속도로,101,2.101,2.101,57240.0,120261.24
478313143,서해안고속도로,101,1.833,1.833,63973.0,117262.509
571606490,분당내곡간고속화도로,102,2.408,2.408,48487.0,116756.696
477356484,서해안고속도로,101,2.073,2.073,56141.0,116380.293
571703527,올림픽대로,102,1.299,1.299,88323.0,114731.577
2024001770,세종포천고속도로,101,3.777,3.777,29366.0,110915.382
477147286,평택시흥고속도로,101,3.72,3.72,29663.0,110346.36
477147284,평택시흥고속도로,101,3.74,3.74,29430.0,110068.2
572664046,수도권제1순환고속도로,101,0.998,0.998,109451.0,109232.098
478142934,평택화성고속도로,101,2.237,2.237,48453.0,108389.361
2024000233,경부고속도로,101,1.254,1.254,85929.0,107754.966
572662153,수도권제1순환고속도로,101,0.932,0.932,113408.0,105696.256
477248679,평택시흥고속도로,101,3.359,3.359,30424.0,102194.216
572662155,수도권제1순환고속도로,101,0.933,0.933,108610.0,101333.13
572742551,수도권제1순환고속도로,101,1.051,1.051,96354.0,101268.054
571547881,용인서울고속도로,101,1.661,1.661,60441.0,100392.501
478344734,수도권제2순환고속도로(봉담동탄,101,1.712,1.712,57722.0,98820.064
2024000627,경부고속도로,101,1.1,1.1,88630.0,97493.0
478353861,수원광명고속도로,101,3.557,3.557,27013.0,96085.241
478353863,수원광명고속도로,101,3.531,3.531,27189.0,96004.359
571703519,올림픽대로,102,1.232,1.232,76405.0,94130.96
571547877,용인서울고속도로,101,1.683,1.683,54259.0,91317.897
2024002596,광암로,101,1.081,1.081,84375.0,91209.375
478210131,서해안고속도로,101,1.551,1.551,58210.0,90283.71
2024000214,경부고속도로,101,1.253,1.253,71699.0,89838.847
478210130,서해안고속도로,101,1.473,1.473,60960.0,89794.08
571555420,경부고속도로,101,0.82,0.82,107525.0,88170.5
572668847,수도권제1순환고속도로,101,1.009,1.009,86435.0,87212.915
478353819,수원광명고속도로,101,3.13,3.13,27585.0,86341.05
571558077,제2경인고속도로,101,2.761,2.761,31130.0,85949.93
571557894,분당수서간고속화도로,102,1.305,1.305,65602.0,85610.61
572662197,중부고속도로,101,2.064,2.064,41170.0,84974.88
478344704,수도권제2순환고속도로(봉담동탄,101,1.575,1.575,52491.0,82673.325
478467448,서해안고속도로,101,1.221,1.221,67142.0,81980.382
571558901,경부고속도로,101,0.954,0.954,85313.0,81388.602
478255797,서해안고속도로,101,1.475,1.475,54665.0,80630.875
478310245,과천봉담도시고속화도로,102,2.027,2.027,39648.0,80366.496
477246240,평택시흥고속도로,101,2.398,2.398,33085.0,79337.83
2024000207,경부고속도로,101,0.905,0.905,87500.0,79187.5
572742670,중부고속도로,101,0.99,0.99,79509.0,78713.91
572661956,분당수서간고속화도로,102,1.141,1.141,68949.0,78670.809
572662151,수도권제1순환고속도로,101,0.727,0.727,107845.0,78403.315
572664047,수도권제1순환고속도로,101,0.717,0.717,108343.0,77681.931
571606492,분당수서간고속화도로,102,1.089,1.089,70998.0,77316.822
572661961,분당수서간고속화도로,102,1.145,1.145,67434.0,77211.93
571606505,분당수서간고속화도로,102,1.208,1.208,63762.0,77024.496
572742689,중부고속도로,101,1.019,1.019,75548.0,76983.412
572550808,성장간선로,103,1.165,1.165,65920.0,76796.8
477246244,평택시흥고속도로,101,2.412,2.412,31663.0,76371.156
571669083,분당수서간고속화도로,102,1.093,1.093,69798.0,76289.214
478354246,과천봉담도시고속화도로,102,2.018,2.018,37782.0,76244.076
572355220,화성광주고속도로,101,2.264,2.264,33250.0,75278.0
572749642,수도권제1순환고속도로,101,0.908,0.908,82671.0,75065.268
572742688,중부고속도로,101,1.018,1.018,72882.0,74193.876
477355864,평택시흥고속도로,101,2.196,2.196,33242.0,72999.432
571703498,올림픽대로,102,0.747,0.747,97395.0,72754.065
478147084,서해안고속도로,101,1.329,1.329,54189.0,72017.181
572742682,중부고속도로,101,1.044,1.044,68827.0,71855.388
572662149,수도권제1순환고속도로,101,0.677,0.677,105190.0,71213.63
571669086,분당수서간고속화도로,102,1.096,1.096,64307.0,70480.472
572749645,수도권제1순환고속도로,101,0.846,0.846,83197.0,70384.662
478467442,서해안고속도로,101,1.069,1.069,65029.0,69516.001
571557672,경부고속도로,101,0.845,0.845,82018.0,69305.21
572642194,수도권제1순환고속도로,101,0.711,0.711,97133.0,69061.563
571501772,경부고속도로,101,0.643,0.643,107394.0,69054.342
2024002022,경부고속도로,101,0.759,0.759,88875.0,67456.125
2024002595,수도권제1순환고속도로,101,0.752,0.752,89489.0,67295.728
571540257,수도권제1순환고속도로,101,0.845,0.845,79506.0,67182.57
572704444,수도권제1순환고속도로,101,0.914,0.914,72704.0,66451.456
572661958,분당수서간고속화도로,102,0.935,0.935,70343.0,65770.705
571540258,수도권제1순환고속도로,101,0.881,0.881,74190.0,65361.39
571557895,분당수서간고속화도로,102,0.989,0.989,65520.0,64799.28
571668228,분당내곡간고속화도로,102,1.532,1.532,42175.0,64612.1
571711106,올림픽대로,102,0.638,0.638,100264.0,63968.432
572664076,수도권제1순환고속도로,101,0.636,0.636,99326.0,63171.336
571544654,분당내곡간고속화도로,102,2.197,2.197,28246.0,62056.462
571558091,제2경인고속도로,101,1.964,1.964,31461.0,61789.404
571540565,분당수서간고속화도로,102,1.433,1.433,42491.0,60889.603
571540563,분당수서간고속화도로,102,1.442,1.442,42077.0,60675.034
572749620,수도권제1순환고속도로,101,0.687,0.687,88206.0,60597.522
572756838,서울양양고속도로,101,1.195,1.195,50493.0,60339.135
571669084,분당수서간고속화도로,102,0.937,0.937,63925.0,59897.725
571703513,올림픽대로,102,0.696,0.696,85694.0,59643.024
478255795,서해안고속도로,101,1.053,1.053,56234.0,59214.402
572669078,수도권제1순환고속도로,101,0.685,0.685,86314.0,59125.09
572704413,중부고속도로,101,0.858,0.858,68438.0,58719.804
