link_id,road_name,road_rank,length_km,accident_cnt,epdo_total,epdo_avg,ALL_AADT_total,exposure,epdo_rate,epdo_rank,accident_uids
571382425,,107,0.02,2,77.0,38.5,29.0,0.58,132758620.6897,1,7152|7841
571773347,,104,0.027,1,8.0,8.0,10.0,0.27,29629629.6296,2,4844
571773345,,104,0.029,2,75.0,37.5,97.0,2.813,26661926.7686,3,3728|5294
571679018,,107,0.015,1,69.0,69.0,399.0,5.985,11528822.0551,4,2083
572768996,,107,0.018,1,69.0,69.0,576.0,10.368,6655092.5926,5,6393
571721115,,104,0.025,1,69.0,69.0,896.5,22.4125,3078639.1523,6,5083
572655472,,107,0.011,1,69.0,69.0,2449.5,26.9445,2560819.4622,7,3319
478240988,3.1만세로,107,0.007,1,69.0,69.0,3998.5,27.9895,2465210.1681,8,10120
572642268,마지로,106,0.027,1,391.0,391.0,6089.5,164.4165,2378106.8202,9,3030
571379477,,107,0.004,1,69.0,69.0,7602.5,30.41,2268990.4637,10,7633
572767390,신장동로,107,0.019,1,391.0,391.0,9278.0,176.282,2218037.0089,11,6886
572670626,,107,0.023,1,8.0,8.0,157.5,3.6225,2208419.5997,12,2496
572761834,창우로,107,0.006,1,69.0,69.0,5869.0,35.214,1959447.9468,13,6697
476242406,궁평고잔길,107,0.03,1,69.0,69.0,1381.0,41.43,1665459.8117,14,7683
572773981,,107,0.042,1,391.0,391.0,7091.0,297.822,1312864.7313,15,7001
476345508,제부로,107,0.015,1,69.0,69.0,3663.0,54.945,1255801.2558,16,8493
478248720,발안만세길,107,0.044,1,69.0,69.0,1383.0,60.852,1133898.6393,17,9397
572781822,,107,0.013,1,69.0,69.0,4768.0,61.984,1113190.5008,18,6277
572541035,양현로,107,0.046,1,391.0,391.0,7792.0,358.432,1090862.423,19,23
477351736,청원산단로,107,0.013,1,69.0,69.0,4879.5,63.4335,1087753.3165,20,7596
477151506,3.1만세로,107,0.034,1,69.0,69.0,1933.0,65.722,1049876.7536,21,8534
478240982,3.1만세로,107,0.088,2,392.0,196.0,4455.5,392.084,999785.7602,22,9324|9349
572646970,희망로,107,0.062,1,391.0,391.0,6408.0,397.296,984152.8734,23,1916
478243023,,107,0.013,1,69.0,69.0,5472.0,71.136,969973.0094,24,9206
572766936,,107,0.025,1,69.0,69.0,2897.0,72.425,952709.6997,25,6516
478454671,서해로,107,0.029,1,69.0,69.0,2543.0,73.747,935631.2799,26,10818
572650629,,107,0.012,1,69.0,69.0,6319.5,75.834,909882.1109,27,2087
478240559,시청로,106,0.006,1,69.0,69.0,12727.0,76.362,903590.7912,28,7937
571682058,새말로,104,0.018,1,69.0,69.0,4383.0,78.894,874591.2237,29,4476
572640188,원터길,107,0.074,1,391.0,391.0,6776.0,501.424,779779.1889,30,3380
572672055,,104,0.019,1,69.0,69.0,4783.0,90.877,759268.0216,31,5415
571543395,수내로,107,0.037,1,391.0,391.0,14102.0,521.774,749366.584,32,807
572670944,,107,0.018,1,69.0,69.0,5208.5,93.753,735976.4488,33,1891
572775496,,107,0.02,3,78.0,26.0,5306.5,106.13,734947.7056,34,6459|6603|6922
571743889,백제고분로,104,0.006,1,69.0,69.0,15723.0,94.338,731412.5803,35,4386
478350502,,107,0.032,1,69.0,69.0,2974.0,95.168,725033.6247,36,9806
572659350,,104,0.124,3,407.0,135.6667,4582.5,568.23,716259.2612,37,3544|4278|5840
477353475,화성로1447번길,107,0.034,1,69.0,69.0,2929.0,99.586,692868.4755,38,7712
571540684,대왕판교로,105,0.021,1,391.0,391.0,27136.5,569.8665,686125.6101,39,1740
571556938,,107,0.038,3,146.0,48.6667,5719.5,217.341,671755.4442,40,406|559|898
572670368,,107,0.023,5,101.0,20.2,6618.5,152.2255,663489.3628,41,2560|2585|2666|2924|3295
478242064,3.1만세로,107,0.033,2,69.0,34.5,3153.0,104.049,663149.0932,42,9933|9955
477241436,장안로,107,0.05,1,69.0,69.0,2091.0,104.55,659971.3056,43,8530
478253200,발안로,105,0.019,1,69.0,69.0,5659.5,107.5305,641678.4075,44,7178
572661074,은행로25번길,107,0.026,1,69.0,69.0,4233.5,110.071,626868.1124,45,2829
571772322,올림픽로,104,0.006,2,77.0,38.5,20684.0,124.104,620447.3667,46,4053|5972
