grid_gid,epdo_total,accident_cnt,사망_cnt,중상_cnt,crosswalk_cnt,cctv_cnt,speedbump_cnt,child_zone_cnt,gap_cnt,gap_items
다사696385,585.0,10,1,2,0,0,0,0,9,crosswalk_cnt(없음) | child_zone_cnt(없음) | school_cnt(없음) | kindergarten_cnt(없음) | daycare_cnt(없음) | bus_stop_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | speedbump_cnt(없음)
다사726482,424.0,6,1,0,0,0,0,0,9,crosswalk_cnt(없음) | child_zone_cnt(없음) | school_cnt(없음) | kindergarten_cnt(없음) | daycare_cnt(없음) | bus_stop_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | speedbump_cnt(없음)
다사584129,399.0,2,1,0,0,0,0,0,9,crosswalk_cnt(없음) | child_zone_cnt(없음) | school_cnt(없음) | kindergarten_cnt(없음) | daycare_cnt(없음) | bus_stop_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | speedbump_cnt(없음)
다사667347,391.0,1,1,0,0,0,0,0,9,crosswalk_cnt(없음) | child_zone_cnt(없음) | school_cnt(없음) | kindergarten_cnt(없음) | daycare_cnt(없음) | bus_stop_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | speedbump_cnt(없음)
다사665307,391.0,1,1,0,0,0,0,0,9,crosswalk_cnt(없음) | child_zone_cnt(없음) | school_cnt(없음) | kindergarten_cnt(없음) | daycare_cnt(없음) | bus_stop_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | speedbump_cnt(없음)
다사658331,391.0,1,1,0,0,0,0,0,9,crosswalk_cnt(없음) | child_zone_cnt(없음) | school_cnt(없음) | kindergarten_cnt(없음) | daycare_cnt(없음) | bus_stop_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | speedbump_cnt(없음)
다사657359,391.0,1,1,0,0,0,0,0,9,crosswalk_cnt(없음) | child_zone_cnt(없음) | school_cnt(없음) | kindergarten_cnt(없음) | daycare_cnt(없음) | bus_stop_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | speedbump_cnt(없음)
다사668410,391.0,1,1,0,0,0,0,0,9,crosswalk_cnt(없음) | child_zone_cnt(없음) | school_cnt(없음) | kindergarten_cnt(없음) | daycare_cnt(없음) | bus_stop_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | speedbump_cnt(없음)
다사544081,391.0,1,1,0,0,0,0,0,9,crosswalk_cnt(없음) | child_zone_cnt(없음) | school_cnt(없음) | kindergarten_cnt(없음) | daycare_cnt(없음) | bus_stop_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | speedbump_cnt(없음)
다사405115,391.0,1,1,0,0,0,0,0,9,crosswalk_cnt(없음) | child_zone_cnt(없음) | school_cnt(없음) | kindergarten_cnt(없음) | daycare_cnt(없음) | bus_stop_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | speedbump_cnt(없음)
다사407137,391.0,1,1,0,0,0,0,0,9,crosswalk_cnt(없음) | child_zone_cnt(없음) | school_cnt(없음) | kindergarten_cnt(없음) | daycare_cnt(없음) | bus_stop_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | speedbump_cnt(없음)
다사469215,391.0,1,1,0,0,0,0,0,9,crosswalk_cnt(없음) | child_zone_cnt(없음) | school_cnt(없음) | kindergarten_cnt(없음) | daycare_cnt(없음) | bus_stop_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | speedbump_cnt(없음)
다사409194,391.0,1,1,0,0,0,0,0,9,crosswalk_cnt(없음) | child_zone_cnt(없음) | school_cnt(없음) | kindergarten_cnt(없음) | daycare_cnt(없음) | bus_stop_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | speedbump_cnt(없음)
다사501021,391.0,1,1,0,0,0,0,0,9,crosswalk_cnt(없음) | child_zone_cnt(없음) | school_cnt(없음) | kindergarten_cnt(없음) | daycare_cnt(없음) | bus_stop_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | speedbump_cnt(없음)
다사443099,391.0,1,1,0,0,0,0,0,9,crosswalk_cnt(없음) | child_zone_cnt(없음) | school_cnt(없음) | kindergarten_cnt(없음) | daycare_cnt(없음) | bus_stop_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | speedbump_cnt(없음)
다사501163,391.0,1,1,0,0,0,0,0,9,crosswalk_cnt(없음) | child_zone_cnt(없음) | school_cnt(없음) | kindergarten_cnt(없음) | daycare_cnt(없음) | bus_stop_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | speedbump_cnt(없음)
다사438091,391.0,1,1,0,0,0,0,0,9,crosswalk_cnt(없음) | child_zone_cnt(없음) | school_cnt(없음) | kindergarten_cnt(없음) | daycare_cnt(없음) | bus_stop_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | speedbump_cnt(없음)
다사671345,263.0,11,0,3,0,0,0,0,9,crosswalk_cnt(없음) | child_zone_cnt(없음) | school_cnt(없음) | kindergarten_cnt(없음) | daycare_cnt(없음) | bus_stop_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | speedbump_cnt(없음)
다사658317,232.0,7,0,3,0,0,0,0,9,crosswalk_cnt(없음) | child_zone_cnt(없음) | school_cnt(없음) | kindergarten_cnt(없음) | daycare_cnt(없음) | bus_stop_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | speedbump_cnt(없음)
다사631320,170.0,6,0,2,0,0,0,0,9,crosswalk_cnt(없음) | child_zone_cnt(없음) | school_cnt(없음) | kindergarten_cnt(없음) | daycare_cnt(없음) | bus_stop_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | speedbump_cnt(없음)
다사667318,170.0,6,0,2,0,0,0,0,9,crosswalk_cnt(없음) | child_zone_cnt(없음) | school_cnt(없음) | kindergarten_cnt(없음) | daycare_cnt(없음) | bus_stop_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | speedbump_cnt(없음)
다사674372,162.0,5,0,2,0,0,0,0,9,crosswalk_cnt(없음) | child_zone_cnt(없음) | school_cnt(없음) | kindergarten_cnt(없음) | daycare_cnt(없음) | bus_stop_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | speedbump_cnt(없음)
다사689463,162.0,5,0,2,0,0,0,0,9,crosswalk_cnt(없음) | child_zone_cnt(없음) | school_cnt(없음) | kindergarten_cnt(없음) | daycare_cnt(없음) | bus_stop_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | speedbump_cnt(없음)
다사680373,161.0,6,0,2,0,0,0,0,9,crosswalk_cnt(없음) | child_zone_cnt(없음) | school_cnt(없음) | kindergarten_cnt(없음) | daycare_cnt(없음) | bus_stop_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | speedbump_cnt(없음)
다사651328,152.0,4,0,2,0,0,0,0,9,crosswalk_cnt(없음) | child_zone_cnt(없음) | school_cnt(없음) | kindergarten_cnt(없음) | daycare_cnt(없음) | bus_stop_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | speedbump_cnt(없음)
다사702398,152.0,4,0,2,0,0,0,0,9,crosswalk_cnt(없음) | child_zone_cnt(없음) | school_cnt(없음) | kindergarten_cnt(없음) | daycare_cnt(없음) | bus_stop_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | speedbump_cnt(없음)
다사648304,146.0,3,0,2,0,0,0,0,9,crosswalk_cnt(없음) | child_zone_cnt(없음) | school_cnt(없음) | kindergarten_cnt(없음) | daycare_cnt(없음) | bus_stop_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | speedbump_cnt(없음)
다사651301,146.0,3,0,2,0,0,0,0,9,crosswalk_cnt(없음) | child_zone_cnt(없음) | school_cnt(없음) | kindergarten_cnt(없음) | daycare_cnt(없음) | bus_stop_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | speedbump_cnt(없음)
다사663432,146.0,3,0,2,0,0,0,0,9,crosswalk_cnt(없음) | child_zone_cnt(없음) | school_cnt(없음) | kindergarten_cnt(없음) | daycare_cnt(없음) | bus_stop_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | speedbump_cnt(없음)
다사572110,146.0,3,0,2,0,0,0,0,9,crosswalk_cnt(없음) | child_zone_cnt(없음) | school_cnt(없음) | kindergarten_cnt(없음) | daycare_cnt(없음) | bus_stop_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | speedbump_cnt(없음)
다사607125,144.0,3,0,2,0,0,0,0,9,crosswalk_cnt(없음) | child_zone_cnt(없음) | school_cnt(없음) | kindergarten_cnt(없음) | daycare_cnt(없음) | bus_stop_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | speedbump_cnt(없음)
다사646334,138.0,2,0,2,0,0,0,0,9,crosswalk_cnt(없음) | child_zone_cnt(없음) | school_cnt(없음) | kindergarten_cnt(없음) | daycare_cnt(없음) | bus_stop_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | speedbump_cnt(없음)
다사665334,138.0,2,0,2,0,0,0,0,9,crosswalk_cnt(없음) | child_zone_cnt(없음) | school_cnt(없음) | kindergarten_cnt(없음) | daycare_cnt(없음) | bus_stop_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | speedbump_cnt(없음)
다사647306,138.0,2,0,2,0,0,0,0,9,crosswalk_cnt(없음) | child_zone_cnt(없음) | school_cnt(없음) | kindergarten_cnt(없음) | daycare_cnt(없음) | bus_stop_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | speedbump_cnt(없음)
다사616323,138.0,2,0,2,0,0,0,0,9,crosswalk_cnt(없음) | child_zone_cnt(없음) | school_cnt(없음) | kindergarten_cnt(없음) | daycare_cnt(없음) | bus_stop_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | speedbump_cnt(없음)
다사678372,138.0,2,0,2,0,0,0,0,9,crosswalk_cnt(없음) | child_zone_cnt(없음) | school_cnt(없음) | kindergarten_cnt(없음) | daycare_cnt(없음) | bus_stop_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | speedbump_cnt(없음)
다사660439,138.0,2,0,2,0,0,0,0,9,crosswalk_cnt(없음) | child_zone_cnt(없음) | school_cnt(없음) | kindergarten_cnt(없음) | daycare_cnt(없음) | bus_stop_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | speedbump_cnt(없음)
다사584143,138.0,2,0,2,0,0,0,0,9,crosswalk_cnt(없음) | child_zone_cnt(없음) | school_cnt(없음) | kindergarten_cnt(없음) | daycare_cnt(없음) | bus_stop_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | speedbump_cnt(없음)
다사482028,138.0,2,0,2,0,0,0,0,9,crosswalk_cnt(없음) | child_zone_cnt(없음) | school_cnt(없음) | kindergarten_cnt(없음) | daycare_cnt(없음) | bus_stop_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | speedbump_cnt(없음)
다사660303,127.0,10,0,1,0,0,0,0,9,crosswalk_cnt(없음) | child_zone_cnt(없음) | school_cnt(없음) | kindergarten_cnt(없음) | daycare_cnt(없음) | bus_stop_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | speedbump_cnt(없음)
다사644337,118.0,8,0,1,0,0,0,0,9,crosswalk_cnt(없음) | child_zone_cnt(없음) | school_cnt(없음) | kindergarten_cnt(없음) | daycare_cnt(없음) | bus_stop_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | speedbump_cnt(없음)
다사431144,109.0,6,0,1,0,0,0,0,9,crosswalk_cnt(없음) | child_zone_cnt(없음) | school_cnt(없음) | kindergarten_cnt(없음) | daycare_cnt(없음) | bus_stop_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | speedbump_cnt(없음)
다사654311,108.0,7,0,1,0,0,0,0,9,crosswalk_cnt(없음) | child_zone_cnt(없음) | school_cnt(없음) | kindergarten_cnt(없음) | daycare_cnt(없음) | bus_stop_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | speedbump_cnt(없음)
다사664329,101.0,5,0,1,0,0,0,0,9,crosswalk_cnt(없음) | child_zone_cnt(없음) | school_cnt(없음) | kindergarten_cnt(없음) | daycare_cnt(없음) | bus_stop_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | speedbump_cnt(없음)
다사648314,101.0,5,0,1,0,0,0,0,9,crosswalk_cnt(없음) | child_zone_cnt(없음) | school_cnt(없음) | kindergarten_cnt(없음) | daycare_cnt(없음) | bus_stop_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | speedbump_cnt(없음)
다사664093,101.0,5,0,1,0,0,0,0,9,crosswalk_cnt(없음) | child_zone_cnt(없음) | school_cnt(없음) | kindergarten_cnt(없음) | daycare_cnt(없음) | bus_stop_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | speedbump_cnt(없음)
다사671357,100.0,6,0,1,0,0,0,0,9,crosswalk_cnt(없음) | child_zone_cnt(없음) | school_cnt(없음) | kindergarten_cnt(없음) | daycare_cnt(없음) | bus_stop_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | speedbump_cnt(없음)
다사631456,99.0,5,0,1,0,0,0,0,9,crosswalk_cnt(없음) | child_zone_cnt(없음) | school_cnt(없음) | kindergarten_cnt(없음) | daycare_cnt(없음) | bus_stop_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | speedbump_cnt(없음)
다사472032,99.0,5,0,1,0,0,0,0,9,crosswalk_cnt(없음) | child_zone_cnt(없음) | school_cnt(없음) | kindergarten_cnt(없음) | daycare_cnt(없음) | bus_stop_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | speedbump_cnt(없음)
다사671359,95.0,6,0,1,0,0,0,0,9,crosswalk_cnt(없음) | child_zone_cnt(없음) | school_cnt(없음) | kindergarten_cnt(없음) | daycare_cnt(없음) | bus_stop_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | speedbump_cnt(없음)
다사653281,94.0,5,0,1,0,0,0,0,9,crosswalk_cnt(없음) | child_zone_cnt(없음) | school_cnt(없음) | kindergarten_cnt(없음) | daycare_cnt(없음) | bus_stop_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | speedbump_cnt(없음)
다사684376,94.0,5,0,1,0,0,0,0,9,crosswalk_cnt(없음) | child_zone_cnt(없음) | school_cnt(없음) | kindergarten_cnt(없음) | daycare_cnt(없음) | bus_stop_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | speedbump_cnt(없음)
다사647471,94.0,5,0,1,0,0,0,0,9,crosswalk_cnt(없음) | child_zone_cnt(없음) | school_cnt(없음) | kindergarten_cnt(없음) | daycare_cnt(없음) | bus_stop_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | speedbump_cnt(없음)
다사660283,93.0,4,0,1,0,0,0,0,9,crosswalk_cnt(없음) | child_zone_cnt(없음) | school_cnt(없음) | kindergarten_cnt(없음) | daycare_cnt(없음) | bus_stop_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | speedbump_cnt(없음)
다사648299,93.0,4,0,1,0,0,0,0,9,crosswalk_cnt(없음) | child_zone_cnt(없음) | school_cnt(없음) | kindergarten_cnt(없음) | daycare_cnt(없음) | bus_stop_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | speedbump_cnt(없음)
