grid_gid,epdo_total,is_high_risk,risk_prob,predicted_risk
다사672368,523.0,1,0.6305,1
다사671371,527.0,1,0.6191,1
다사670419,329.0,1,0.7481,1
다사654462,207.0,1,0.6541,1
다사696384,249.0,1,0.5266,1
다사671372,294.0,1,0.5817,1
다사692382,254.0,1,0.2476,0
다사627459,169.0,1,0.7263,1
다사673371,126.0,1,0.5446,1
다사672367,120.0,1,0.2476,0
다사722501,153.0,1,0.6933,1
다사623120,177.0,1,0.6709,1
다사671358,339.0,1,0.5408,1
다사672369,566.0,1,0.6227,1
다사646460,293.0,1,0.7789,1
다사658443,286.0,1,0.744,1
다사652451,84.0,1,0.7762,1
다사640459,164.0,1,0.6783,1
다사659112,281.0,1,0.7083,1
다사616111,171.0,1,0.7142,1
다사653311,348.0,1,0.4776,0
다사647359,165.0,1,0.5038,1
다사652463,151.0,1,0.6911,1
다사758483,222.0,1,0.6567,1
다사651075,151.0,1,0.4844,0
다사587122,195.0,1,0.6644,1
다사638123,149.0,1,0.6994,1
다사649279,89.0,1,0.2476,0
다사663325,202.0,1,0.2803,0
다사670379,148.0,1,0.6045,1
다사682376,189.0,1,0.536,1
다사646461,143.0,1,0.6334,1
다사661474,141.0,1,0.6576,1
다사644463,211.0,1,0.5675,1
다사644123,256.0,1,0.6809,1
다사671345,263.0,1,0.6888,1
다사674380,38.0,0,0.487,0
다사699371,131.0,1,0.4776,0
다사670413,210.0,1,0.7438,1
다사669422,261.0,1,0.606,1
다사633458,201.0,1,0.7474,1
다사610123,139.0,1,0.744,1
다사653310,132.0,1,0.4173,0
다사652300,71.0,1,0.4054,0
다사671348,183.0,1,0.5538,1
다사660303,127.0,1,0.6888,1
다사696385,585.0,1,0.6888,1
다사683383,125.0,1,0.4054,0
다사672366,141.0,1,0.2476,0
다사620457,141.0,1,0.6461,1
다사659468,124.0,1,0.2573,0
다사667426,310.0,1,0.7762,1
다사645462,133.0,1,0.4031,0
다사662437,141.0,1,0.5675,1
다사673463,73.0,1,0.6915,1
다사661423,322.0,1,0.7762,1
다사638454,125.0,1,0.7854,1
다사726520,261.0,1,0.6884,1
다사645097,251.0,1,0.7108,1
다사650082,195.0,1,0.5561,1
다사590126,191.0,1,0.6249,1
다사643123,132.0,1,0.4844,0
다사654305,65.0,0,0.4211,0
다사684350,133.0,1,0.2476,0
다사684381,125.0,1,0.7052,1
다사648359,72.0,1,0.6888,1
다사682405,65.0,0,0.2476,0
다사671369,118.0,1,0.6147,1
다사653447,192.0,1,0.7283,1
다사653461,194.0,1,0.739,1
다사631458,56.0,0,0.6649,1
다사658459,110.0,1,0.6949,1
다사663437,173.0,1,0.6882,1
다사729513,119.0,1,0.7538,1
다사729514,439.0,1,0.7128,1
다사739488,182.0,1,0.7666,1
다사621122,118.0,1,0.6884,1
다사558115,187.0,1,0.7701,1
다사595130,126.0,1,0.7648,1
다사618119,51.0,0,0.6567,1
다사616120,119.0,1,0.7762,1
다사657338,179.0,1,0.2476,0
다사650328,57.0,0,0.6888,1
다사657330,178.0,1,0.2476,0
다사688300,62.0,0,0.2803,0
다사644337,118.0,1,0.6888,1
다사671368,117.0,1,0.5454,1
다사678368,57.0,0,0.3443,0
다사681453,240.0,1,0.81,1
다사645463,56.0,0,0.6329,1
다사685437,569.0,1,0.6718,1
다사627458,118.0,1,0.6884,1
다사666430,231.0,1,0.744,1
다사669413,123.0,1,0.6911,1
다사654458,179.0,1,0.328,0
다사663420,118.0,1,0.5561,1
다사634456,125.0,1,0.687,1
다사648458,57.0,0,0.7129,1
다사662438,240.0,1,0.4844,0
다사655462,53.0,0,0.6466,1
다사654434,186.0,1,0.5963,1
다사676430,123.0,1,0.6687,1
다사661422,64.0,0,0.5266,1
다사720500,123.0,1,0.7984,1
다사696461,64.0,0,0.6888,1
다사727512,118.0,1,0.6854,1
다사738493,231.0,1,0.6031,1
다사728505,118.0,1,0.3443,0
다사593129,125.0,1,0.6808,1
다사650075,125.0,1,0.5675,1
다사485038,57.0,0,0.685,1
다사622139,41.0,0,0.1801,0
다사662084,121.0,1,0.2464,0
다사585124,118.0,1,0.744,1
다사618124,177.0,1,0.5675,1
다사403113,179.0,1,0.744,1
다사664349,115.0,1,0.4014,0
다사656307,237.0,1,0.2476,0
다사652297,170.0,1,0.7523,1
다사671347,99.0,1,0.6999,1
다사658317,232.0,1,0.6888,1
다사660314,178.0,1,0.5129,1
다사650338,103.0,1,0.2476,0
다사653279,41.0,0,0.2476,0
다사665315,117.0,1,0.4211,0
다사662312,117.0,1,0.2476,0
다사654311,108.0,1,0.6888,1
다사663371,117.0,1,0.4844,0
다사671375,230.0,1,0.5465,1
다사675380,622.0,1,0.5195,1
다사690397,115.0,1,0.5266,1
다사678380,230.0,1,0.6756,1
다사685378,178.0,1,0.5936,1
다사672372,33.0,0,0.5554,1
다사676373,176.0,1,0.2009,0
다사682374,115.0,1,0.7901,1
다사663446,117.0,1,0.6576,1
다사666440,103.0,1,0.6911,1
다사665425,171.0,1,0.7438,1
다사652462,102.0,1,0.6933,1
다사685438,117.0,1,0.7117,1
다사655476,49.0,0,0.6888,1
다사635454,56.0,0,0.3876,0
다사676469,178.0,1,0.7884,1
다사679417,110.0,1,0.5675,1
다사633461,178.0,1,0.6873,1
다사669423,89.0,1,0.6911,1
다사647458,117.0,1,0.6911,1
다사654461,49.0,0,0.6888,1
다사649439,178.0,1,0.6076,1
다사691450,49.0,0,0.7506,1
다사664433,163.0,1,0.7346,1
다사651462,42.0,0,0.428,0
다사644464,117.0,1,0.5675,1
다사651450,109.0,1,0.4618,0
다사671448,169.0,1,0.6567,1
다사647461,103.0,1,0.4894,0
다사733496,239.0,1,0.7451,1
다사731522,102.0,1,0.4888,0
다사728516,109.0,1,0.6804,1
다사727513,117.0,1,0.7591,1
다사617103,171.0,1,0.7278,1
다사591128,47.0,0,0.6189,1
다사624109,103.0,1,0.6019,1
다사646129,232.0,1,0.2464,0
다사396132,117.0,1,0.4888,0
다사613143,49.0,0,0.5675,1
다사656117,162.0,1,0.7142,1
다사614110,105.0,1,0.6329,1
다사469033,110.0,1,0.7789,1
다사589119,49.0,0,0.4717,0
다사638098,44.0,0,0.635,1
다사592128,115.0,1,0.5588,1
다사611152,48.0,0,0.6366,1
다사671350,31.0,0,0.6888,1
다사672345,102.0,1,0.1382,0
다사653271,41.0,0,0.2803,0
다사666322,102.0,1,0.1698,0
다사667322,42.0,0,0.156,0
다사653264,223.0,1,0.2476,0
다사631320,170.0,1,0.6888,1
다사667318,170.0,1,0.6888,1
다사660339,48.0,0,0.5422,1
다사662344,40.0,0,0.6888,1
다사647314,109.0,1,0.4054,0
다사668321,46.0,0,0.6888,1
다사653263,46.0,0,0.4173,0
다사654330,39.0,0,0.4211,0
다사648338,40.0,0,0.1891,0
다사670378,95.0,1,0.368,0
다사650359,34.0,0,0.6451,1
다사680382,107.0,1,0.6051,1
다사685379,229.0,1,0.2476,0
다사693383,32.0,0,0.391,0
다사653359,102.0,1,0.602,1
다사678381,46.0,0,0.4514,0
다사690381,88.0,1,0.3314,0
다사694383,109.0,1,0.7114,1
다사682404,99.0,1,0.4776,0
다사676386,162.0,1,0.7011,1
다사674379,41.0,0,0.4211,0
다사702371,32.0,0,0.4724,0
다사680373,161.0,1,0.6888,1
다사681374,41.0,0,0.6884,1
다사672371,109.0,1,0.4514,0
다사681375,101.0,1,0.391,0
다사693368,39.0,0,0.2476,0
다사692381,163.0,1,0.4014,0
다사678367,48.0,0,0.4031,0
다사671357,100.0,1,0.6888,1
다사672370,34.0,0,0.5056,1
다사674367,41.0,0,0.4173,0
다사695384,156.0,1,0.6067,1
다사671370,102.0,1,0.6152,1
다사671359,95.0,1,0.6888,1
다사698384,102.0,1,0.7696,1
다사648461,100.0,1,0.6947,1
다사661440,109.0,1,0.71,1
다사660436,231.0,1,0.6869,1
다사645448,485.0,1,0.8485,1
다사683460,41.0,0,0.5723,1
다사645461,39.0,0,0.4031,0
다사665433,40.0,0,0.6312,1
다사661437,48.0,0,0.5675,1
다사670458,41.0,0,0.6004,1
다사657465,90.0,1,0.7865,1
다사655448,32.0,0,0.6755,1
다사662446,292.0,1,0.5951,1
다사639459,101.0,1,0.678,1
다사661454,156.0,1,0.7762,1
다사683439,38.0,0,0.1529,0
다사656460,41.0,0,0.2346,0
다사659462,109.0,1,0.739,1
