link_id,road_name,road_rank,accident_cnt,epdo_total,epdo_rate,epdo_rank,avg_speed,peak_speed,speed_label,speed_weight,frin_cg,ti_cg,congestion_risk,enhanced_rate,enhanced_rank
571382425,,107,2,77.0,132758620.6897,1,32.46,32.46,저속(40미만),0.541,23.88,50.48,12.0546,80480318.4862,1
571773347,,104,1,8.0,29629629.6296,2,20.0,,저속(40미만),0.3333,100.0,100.0,100.0,19751111.1111,2
571773345,,104,2,75.0,26661926.7686,3,9.5,9.5,저속(40미만),0.1583,100.0,100.0,100.0,8441166.0149,3
571679018,,107,1,69.0,11528822.0551,4,21.0,21.0,저속(40미만),0.35,100.0,100.0,100.0,8070175.4386,4
572768996,,107,1,69.0,6655092.5926,5,15.19,16.21,저속(40미만),0.2532,88.89,96.65,85.9122,3132749.6757,5
571721115,,104,1,69.0,3078639.1523,6,20.69,20.82,저속(40미만),0.3448,76.525,93.83,71.8034,1823718.483,6
478240988,3.1만세로,107,1,69.0,2465210.1681,8,21.09,18.73,저속(40미만),0.3515,89.19,95.57,85.2389,1605134.6616,7
572642268,마지로,106,1,391.0,2378106.8202,9,18.43,15.71,저속(40미만),0.3072,97.845,99.86,97.708,1444364.5231,8
572655472,,107,1,69.0,2560819.4622,7,18.98,20.14,저속(40미만),0.3163,80.305,92.92,74.6194,1414394.7815,9
572767390,신장동로,107,1,391.0,2218037.0089,11,28.82,29.35,저속(40미만),0.4803,41.92,74.295,31.1445,1397112.7517,10
572761834,창우로,107,1,69.0,1959447.9468,13,28.31,29.49,저속(40미만),0.4718,49.17,67.73,33.3028,1232341.1176,11
478240559,시청로,106,1,69.0,903590.7912,28,38.34,31.59,저속(40미만),0.639,98.09,99.135,97.2415,1138861.6034,12
571379477,,107,1,69.0,2268990.4637,10,16.49,15.26,저속(40미만),0.2748,85.695,94.825,81.2603,1130191.6476,13
476242406,궁평고잔길,107,1,69.0,1665459.8117,14,25.21,27.18,저속(40미만),0.4202,67.06,79.83,53.534,1074471.1777,14
571540684,대왕판교로,105,1,391.0,686125.6101,39,44.7,42.99,중속(40~60),0.745,89.18,94.025,83.8515,939781.9084,15
477351736,청원산단로,107,1,69.0,1087753.3165,20,31.95,31.94,저속(40미만),0.5325,48.32,76.37,36.902,792975.5942,16
478253200,발안로,105,1,69.0,641678.4075,44,37.89,37.4,저속(40미만),0.6315,94.53,97.595,92.2566,779062.0298,17
476345508,제부로,107,1,69.0,1255801.2558,16,35.01,35.04,저속(40미만),0.5835,16.38,29.145,4.774,767741.9967,18
572541035,양현로,107,1,391.0,1090862.423,19,34.61,34.51,저속(40미만),0.5768,28.845,50.58,14.5898,721009.8453,19
478248720,발안만세길,107,1,69.0,1133898.6393,17,24.81,22.91,저속(40미만),0.4135,64.99,81.3,52.8369,716601.9214,20
478240982,3.1만세로,107,2,392.0,999785.7602,22,21.43,17.77,저속(40미만),0.3572,88.2,96.5,85.113,661081.9756,21
572670626,,107,1,8.0,2208419.5997,12,9.21,9.5,저속(40미만),0.1535,92.855,98.835,91.7732,650096.5896,22
572646970,희망로,107,1,391.0,984152.8734,23,30.28,29.89,저속(40미만),0.5047,31.48,43.18,13.5931,564219.1487,23
478454671,서해로,107,1,69.0,935631.2799,26,20.03,22.2,저속(40미만),0.3338,79.68,94.395,75.2139,547217.0512,24
478243023,,107,1,69.0,969973.0094,24,21.59,22.67,저속(40미만),0.3598,67.53,81.45,55.0032,540955.4155,25
572773981,,107,1,391.0,1312864.7313,15,12.93,11.73,저속(40미만),0.2155,92.775,98.26,91.1607,540836.3439,26
571766781,,104,1,8.0,460564.1911,75,46.21,14.92,중속(40~60),0.7702,58.335,74.73,43.5937,509364.9636,27
571543395,수내로,107,1,391.0,749366.584,32,33.18,34.19,저속(40미만),0.553,33.695,58.285,19.6391,495784.0965,28
572611258,하남대로,103,1,69.0,298119.2563,141,47.21,47.8,중속(40~60),0.7868,98.615,99.48,98.1022,464668.9777,29
571556938,,107,3,146.0,671755.4442,40,22.8,18.89,저속(40미만),0.38,83.515,97.155,81.139,462388.2157,30
571743889,백제고분로,104,1,69.0,731412.5803,35,27.35,24.1,저속(40미만),0.4558,51.1,71.73,36.654,455574.1727,31
477353475,화성로1447번길,107,1,69.0,692868.4755,38,26.38,24.19,저속(40미만),0.4397,58.48,83.865,49.0443,454069.8222,32
572646874,시민로,107,4,154.0,598174.4028,49,33.35,31.58,저속(40미만),0.5558,44.44,75.6,33.5966,444162.3812,33
572642611,하남대로,103,1,69.0,254259.7724,184,51.92,53.64,중속(40~60),0.8653,99.305,99.64,98.9475,437706.3465,34
478350502,,107,1,69.0,725033.6247,36,33.87,35.32,저속(40미만),0.5645,15.38,28.63,4.4033,427303.3726,35
571682252,대왕판교로,105,1,69.0,314229.114,128,41.39,41.15,중속(40~60),0.6898,96.97,98.15,95.1761,423054.4295,36
478242064,3.1만세로,107,2,69.0,663149.0932,42,20.94,22.51,저속(40미만),0.349,84.325,92.235,77.7772,411445.8335,37
477241436,장안로,107,1,69.0,659971.3056,43,35.79,33.71,저속(40미만),0.5965,13.94,27.2,3.7917,408599.7785,38
572659350,,104,3,407.0,716259.2612,37,18.43,16.79,저속(40미만),0.3072,83.855,96.59,80.9955,398253.168,39
478249720,향남로,103,2,77.0,262150.4165,175,44.74,44.39,중속(40~60),0.7457,97.125,99.075,96.2266,383594.6788,40
571772322,올림픽로,104,2,77.0,620447.3667,46,33.23,33.46,저속(40미만),0.5538,21.76,38.78,8.4385,372598.7543,41
572781822,,107,1,69.0,1113190.5008,18,10.3,9.56,저속(40미만),0.1717,92.35,98.575,91.034,365132.471,42
571541963,,107,2,77.0,600748.2046,47,20.86,20.99,저속(40미만),0.3477,79.56,93.745,74.5835,364670.278,43
477352164,남양로,103,2,138.0,329805.8447,119,33.17,31.04,저속(40미만),0.5528,99.95,99.985,99.935,364514.8361,44
571544656,구미로9번길,107,1,391.0,407886.5011,87,33.0,29.76,저속(40미만),0.55,66.01,93.19,61.5147,362338.1622,45
572642975,,104,4,93.0,540050.8693,60,24.97,24.29,저속(40미만),0.4162,64.895,91.305,59.2524,357950.3006,46
571390071,태안로,107,1,69.0,565527.4158,55,27.64,27.92,저속(40미만),0.4607,53.42,68.97,36.8438,356530.7571,47
572670944,,107,1,69.0,735976.4488,33,16.36,17.88,저속(40미만),0.2727,79.72,90.195,71.9035,345011.6612,48
477140999,포승향남로,103,1,69.0,233357.2327,217,47.04,46.7,중속(40~60),0.784,90.95,96.625,87.8804,343731.0817,49
571357142,10용사로,107,1,69.0,533940.013,61,32.4,35.57,저속(40미만),0.54,28.13,50.755,14.2774,329493.2928,50
