grid_gid,epdo_total,accident_cnt,사망_cnt,중상_cnt,elderly_res_pop,elderly_res_ratio,child_float_pop,elderly_float_pop,vuln_float_ratio,vuln_time_work,vuln_time_visit,vuln_peak_pop,weekend_ratio,grid_avg_speed,grid_congestion,gap_cnt,gap_items,land_use,vuln_correction,infra_penalty,speed_weight,congestion_factor,peak_factor,weekend_factor,composite_risk,risk_label,composite_rank,correction_index,entropy_composite_risk,entropy_rank
다사672368,523.0,24,0,6,22.0,1.0,245.43,2565.09,0.3527,53.1083,177.61,230.7183,0.4459,30.54,75.3881,3,child_zone_cnt(없음) | speedbump_cnt(없음) | bus_stop_cnt(없음),미분류,2.3527,1.5,0.509,1.7539,1.5,1.0,2471.57,노인밀집거주 | 교통약자유동多 | 통행피크위험,3,0.627743,851.31,1
다사675380,622.0,7,1,3,22.0,0.2651,302.5,2131.58,0.4033,86.2658,244.3248,330.5906,0.547,23.9,56.0099,2,crosswalk_cnt(없음) | child_zone_cnt(없음),미분류,1.6684,1.3333,0.3983,1.5601,1.5,1.0235,1319.96,노인밀집거주 | 교통약자유동多 | 통행피크위험,24,0.302364,810.07,2
다사671371,527.0,21,0,6,24.0,0.3333,793.94,7424.86,0.3389,105.6912,407.1855,512.8767,0.5276,19.71,81.4944,3,child_zone_cnt(없음) | speedbump_cnt(없음) | bus_stop_cnt(없음),미분류,1.6722,1.5,0.3285,1.8149,1.5,1.0138,1198.45,노인밀집거주 | 통행피크위험,28,0.40805,742.04,3
다사685437,569.0,8,1,2,49.0,0.2258,273.47,1375.25,0.3328,40.0114,118.1466,158.158,0.4953,21.72,62.5241,1,child_zone_cnt(없음),미분류,1.5586,1.1667,0.362,1.6252,1.5,1.0,913.09,노인밀집거주 | 통행피크위험,44,0.227167,698.26,4
다사672369,566.0,14,1,2,0.0,0,408.54,3782.28,0.3565,69.9195,258.1577,328.0772,0.4198,,99.95,3,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음),미분류,1.3565,1.5,1.0,1.9995,1.5,1.0,3454.14,교통약자유동多 | 통행피크위험,1,0.198622,678.42,5
다사696385,585.0,10,1,2,0.0,0,142.32,1076.61,0.3502,43.3905,164.2852,207.6757,0.5699,33.62,27.3708,6,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.3502,2.0,0.5603,1.2737,1.5,1.035,1750.26,교통약자유동多 | 주말방문집중 | 통행피크위험,13,0.143749,669.09,6
다사661445,606.0,5,1,3,0.0,0,55.27,310.41,0.342,9.4153,18.1995,27.6148,0.5784,29.14,43.3374,3,child_zone_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음),미분류,1.342,1.5,0.4857,1.4334,1.1307,1.0392,997.93,교통약자유동多 | 주말방문집중 | 통행피크위험,35,0.08409,656.96,7
다바374949,529.0,3,1,2,0.0,0,1.6,25.56,0.2758,1.4916,0.6674,2.159,0.4423,52.27,61.4865,5,child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.2758,1.8333,0.8712,1.6149,1.0,1.0,1740.75,일반,14,0.103757,583.89,8
다사645448,485.0,6,1,1,58.0,0.2661,49.88,291.72,0.3163,12.3764,20.8456,33.222,0.4675,32.5,24.7169,3,child_zone_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음),미분류,1.5824,1.5,0.5417,1.2472,1.2181,1.0,947.39,노인밀집거주 | 통행피크위험,41,0.194385,579.28,9
다사661436,484.0,5,1,1,0.0,0,64.23,667.12,0.3389,24.1786,45.0692,69.2478,0.5056,22.43,67.0577,3,child_zone_cnt(없음) | speedbump_cnt(없음) | bus_stop_cnt(없음),미분류,1.3389,1.5,0.3738,1.6706,1.5,1.0028,913.07,통행피크위험,45,0.106866,535.72,10
