install_priority,grid_gid,epdo_before,accident_cnt,사망_cnt,중상_cnt,gap_cnt,missing_facilities,total_reduction_pct,epdo_after,epdo_saved,efficiency,entropy_rank,entropy_risk
1,다사685437,569.0,8,1,2,1,child_zone_cnt,25.0,426.75,142.25,142.25,4,698.26
2,다사675380,622.0,7,1,3,2,child_zone_cnt | crosswalk_cnt,36.25,396.52,225.48,112.74,2,810.07
3,다사633451,407.0,3,1,0,1,child_zone_cnt,25.0,305.25,101.75,101.75,32,458.73
4,다사657445,477.0,5,1,1,2,child_zone_cnt | speedbump_cnt,40.0,286.2,190.8,95.4,11,532.56
5,다사672369,566.0,14,1,2,3,child_zone_cnt | crosswalk_cnt | speedbump_cnt,49.0,288.66,277.34,92.4467,5,678.42
6,다사476042,461.0,3,1,1,2,child_zone_cnt | speedbump_cnt,40.0,276.6,184.4,92.2,19,501.97
7,다사671371,527.0,21,0,6,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,290.9,236.1,78.7,3,742.04
8,다사672368,523.0,24,0,6,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,288.7,234.3,78.1,1,851.31
9,다사661445,606.0,5,1,3,3,cctv_cam_cnt | cctv_cnt | child_zone_cnt,37.3,379.96,226.04,75.3467,7,656.96
10,다사661436,484.0,5,1,1,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,267.17,216.83,72.2767,10,535.72
11,다사752493,460.0,2,1,1,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,253.92,206.08,68.6933,21,490.59
12,다사729514,439.0,9,1,0,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,242.33,196.67,65.5567,12,529.74
13,다사662432,416.0,5,1,0,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,229.63,186.37,62.1233,13,529.01
14,다사690383,415.0,4,1,0,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,229.08,185.92,61.9733,14,528.34
15,다사684434,415.0,4,1,0,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,229.08,185.92,61.9733,17,505.0
16,다사645448,485.0,6,1,1,3,cctv_cam_cnt | cctv_cnt | child_zone_cnt,37.3,304.1,180.9,60.3,9,579.28
17,다사696385,585.0,10,1,2,6,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,60.77,229.47,355.53,59.255,6,669.09
18,다사399111,391.0,1,1,0,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,215.83,175.17,58.39,40,436.92
19,다사738493,231.0,8,0,3,1,child_zone_cnt,25.0,173.25,57.75,57.75,88,259.11
20,다바374949,529.0,3,1,2,5,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | speedbump_cnt,53.85,244.12,284.88,56.976,8,583.89
21,다사693442,399.0,2,1,0,3,bus_stop_cnt | child_zone_cnt | crosswalk_cnt,41.35,234.01,164.99,54.9967,22,490.1
22,다사687300,391.0,1,1,0,3,bus_stop_cnt | child_zone_cnt | crosswalk_cnt,41.35,229.32,161.68,53.8933,26,474.39
23,다사735489,391.0,1,1,0,3,bus_stop_cnt | child_zone_cnt | crosswalk_cnt,41.35,229.32,161.68,53.8933,20,498.97
24,다사645348,423.0,5,1,0,4,cctv_cam_cnt | cctv_cnt | child_zone_cnt | speedbump_cnt,49.84,212.18,210.82,52.705,28,468.92
25,다사669422,261.0,11,0,3,2,child_zone_cnt | speedbump_cnt,40.0,156.6,104.4,52.2,72,298.09
26,다사673366,391.0,1,1,0,4,bus_stop_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,53.08,183.46,207.54,51.885,23,476.48
27,다사544113,391.0,1,1,0,4,bus_stop_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,53.08,183.46,207.54,51.885,46,429.13
28,다사644123,256.0,12,0,3,2,child_zone_cnt | speedbump_cnt,40.0,153.6,102.4,51.2,81,268.68
29,다사312118,468.0,3,1,1,5,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | speedbump_cnt,53.85,215.97,252.03,50.406,18,502.93
30,다사591123,399.0,2,1,0,4,cctv_cam_cnt | cctv_cnt | child_zone_cnt | speedbump_cnt,49.84,200.14,198.86,49.715,27,471.72
