gid,gbn,hght,sprtn,cntns
다사581304,경기도 성남시,,,
다사581305,경기도 성남시,,,
다사581306,경기도 성남시,,,
다사582304,경기도 성남시,,,
다사582305,경기도 성남시,,,
다사582306,경기도 성남시,,,
다사582307,경기도 성남시,,,
다사582308,경기도 성남시,,,
다사582309,경기도 성남시,,,
다사582310,경기도 성남시,,,
다사582311,경기도 성남시,,,
다사582312,경기도 성남시,,,
다사583304,경기도 성남시,,,
다사583305,경기도 성남시,,,
다사583306,경기도 성남시,,,
다사583307,경기도 성남시,,,
다사583308,경기도 성남시,,,
다사583309,경기도 성남시,,,
다사583310,경기도 성남시,,,
다사583311,경기도 성남시,,,
다사583312,경기도 성남시,,,
다사584304,경기도 성남시,,,
다사584305,경기도 성남시,,,
다사584306,경기도 성남시,,,
다사584307,경기도 성남시,,,
다사584308,경기도 성남시,,,
다사584309,경기도 성남시,,,
다사584310,경기도 성남시,,,
다사584311,경기도 성남시,,,
다사584312,경기도 성남시,,,
다사585303,경기도 성남시,,,
다사585304,경기도 성남시,,,
다사585305,경기도 성남시,,,
다사585306,경기도 성남시,,,
다사585307,경기도 성남시,,,
다사585308,경기도 성남시,,,
다사585309,경기도 성남시,,,
다사585310,경기도 성남시,,,
다사585311,경기도 성남시,,,
다사585312,경기도 성남시,,,
다사585313,경기도 성남시,,,
다사585314,경기도 성남시,,,
다사585315,경기도 성남시,,,
다사586303,경기도 성남시,,,
다사586304,경기도 성남시,,,
다사586305,경기도 성남시,,,
다사586306,경기도 성남시,,,
다사586307,경기도 성남시,,,
다사586308,경기도 성남시,,,
다사586309,경기도 성남시,,,
다사586310,경기도 성남시,,,
다사586311,경기도 성남시,,,
다사586312,경기도 성남시,,,
다사586313,경기도 성남시,,,
다사586314,경기도 성남시,,,
다사586315,경기도 성남시,,,
다사586316,경기도 성남시,,,
다사586317,경기도 성남시,,,
다사587302,경기도 성남시,,,
다사587303,경기도 성남시,,,
다사587304,경기도 성남시,,,
다사587305,경기도 성남시,,,
다사587306,경기도 성남시,,,
다사587307,경기도 성남시,,,
다사587308,경기도 성남시,,,
다사587309,경기도 성남시,,,
다사587310,경기도 성남시,,,
다사587311,경기도 성남시,,,
다사587312,경기도 성남시,,,
다사587313,경기도 성남시,,,
다사587314,경기도 성남시,,,
다사587315,경기도 성남시,,,
다사587316,경기도 성남시,,,
다사587317,경기도 성남시,,,
다사587318,경기도 성남시,,,
다사587319,경기도 성남시,,,
다사588302,경기도 성남시,,,
다사588303,경기도 성남시,,,
다사588304,경기도 성남시,,,
다사588305,경기도 성남시,,,
다사588306,경기도 성남시,,,
다사588307,경기도 성남시,,,
다사588308,경기도 성남시,,,
다사588309,경기도 성남시,,,
다사588310,경기도 성남시,,,
다사588311,경기도 성남시,,,
다사588312,경기도 성남시,,,
다사588313,경기도 성남시,,,
다사588314,경기도 성남시,,,
다사588315,경기도 성남시,,,
다사588316,경기도 성남시,,,
다사588317,경기도 성남시,,,
다사588318,경기도 성남시,,,
다사588319,경기도 성남시,,,
다사588320,경기도 성남시,,,
다사588321,경기도 성남시,,,
다사588322,경기도 성남시,,,
다사588323,경기도 성남시,,,
다사589302,경기도 성남시,,,
다사589303,경기도 성남시,,,
다사589304,경기도 성남시,,,
다사589305,경기도 성남시,,,
다사589306,경기도 성남시,,,
다사589307,경기도 성남시,,,
다사589308,경기도 성남시,,,
다사589309,경기도 성남시,,,
다사589310,경기도 성남시,,,
다사589311,경기도 성남시,,,
다사589312,경기도 성남시,,,
다사589313,경기도 성남시,,,
다사589314,경기도 성남시,,,
다사589315,경기도 성남시,,,
다사589316,경기도 성남시,,,
다사589317,경기도 성남시,,,
다사589318,경기도 성남시,,,
다사589319,경기도 성남시,,,
다사589320,경기도 성남시,,,
다사589321,경기도 성남시,,,
