epdo_rank,link_id,road_name,road_rank,accident_cnt,epdo_total,epdo_rate,top_violation,top_violation_1st,top_v_ratio_pct,all_v_ratio_pct,top_acc_type,peak_time,weekend_ratio_pct,severity_dist
35,572775496,,107,3,78.0,734947.7056,신호위반(1건) | 보행자보호의무위반(1건) | 안전운전불이행(1건),신호위반,33.3,12.8,차대차 - 기타(2건) | 차대사람 - 기타(1건),09시(1건) | 16시(1건) | 00시(1건),0.0,상해없음(1건) | 중상(1건) | 경상(1건)
37,572659350,,104,3,407.0,716259.2612,보행자보호의무위반(1건) | 안전운전불이행(1건) | 안전거리미확보(1건),보행자보호의무위반,33.3,2.9,차대차 - 충돌(2건) | 차대사람 - 횡단중(1건),06시(1건) | 12시(1건) | 11시(1건),0.0,경상(2건) | 사망(1건)
39,572662617,둔촌대로,107,4,154.0,692164.3845,안전운전불이행(4건),안전운전불이행,100.0,55.9,차대사람 - 길가장자리구역통행중(2건) | 차대사람 - 보도통행중(1건),16시(3건) | 17시(1건),0.0,중상(2건) | 경상(2건)
41,571556938,,107,3,146.0,671755.4442,안전운전불이행(1건) | 안전거리미확보(1건) | 교차로운행방법위반(1건),안전운전불이행,33.3,55.9,차대차 - 기타(3건),06시(1건) | 14시(1건) | 13시(1건),0.0,중상(2건) | 경상(1건)
42,572670368,,107,5,101.0,663489.3628,안전운전불이행(4건) | 안전거리미확보(1건),안전운전불이행,80.0,55.9,차대사람 - 길가장자리구역통행중(2건) | 차대사람 - 차도통행중(1건),11시(1건) | 14시(1건) | 07시(1건),0.0,경상(4건) | 중상(1건)
49,572780515,,107,6,229.0,599310.1391,안전운전불이행(5건) | 교차로운행방법위반(1건),안전운전불이행,83.3,55.9,차대사람 - 기타(5건) | 차대차 - 추돌(1건),12시(1건) | 18시(1건) | 11시(1건),0.0,중상(3건) | 경상(2건) | 부상신고(1건)
53,572642975,,104,5,101.0,586506.8581,안전운전불이행(5건),안전운전불이행,100.0,55.9,차대사람 - 차도통행중(2건) | 차대차 - 기타(1건),16시(3건) | 21시(1건) | 10시(1건),0.0,경상(4건) | 중상(1건)
56,572646874,시민로,107,3,146.0,567100.4078,안전운전불이행(2건) | 신호위반(1건),안전운전불이행,66.7,55.9,차대차 - 기타(2건) | 차대차 - 충돌(1건),20시(1건) | 22시(1건) | 16시(1건),0.0,중상(2건) | 경상(1건)
64,572648276,산성대로,107,3,85.0,506540.3295,안전거리미확보(2건) | 안전운전불이행(1건),안전거리미확보,66.7,14.2,차대차 - 충돌(2건) | 차대차 - 기타(1건),17시(1건) | 14시(1건) | 18시(1건),0.0,경상(2건) | 중상(1건)
69,572669751,,107,6,42.0,489547.5764,안전운전불이행(6건),안전운전불이행,100.0,55.9,차대사람 - 기타(5건) | 차대차 - 기타(1건),19시(3건) | 20시(1건) | 13시(1건),0.0,경상(3건) | 부상신고(3건)
70,572672206,광명로,107,3,85.0,487771.2869,안전운전불이행(3건),안전운전불이행,100.0,55.9,차대차 - 충돌(2건) | 차대차 - 기타(1건),10시(2건) | 09시(1건),0.0,경상(2건) | 중상(1건)
74,571370599,,107,5,223.0,475590.7829,신호위반(3건) | 안전운전불이행(2건),신호위반,60.0,12.8,차대차 - 충돌(4건) | 차대차 - 기타(1건),10시(2건) | 13시(1건) | 07시(1건),0.0,중상(3건) | 경상(2건)
77,572672328,둔촌대로,107,3,71.0,445040.6178,안전거리미확보(1건) | 교차로운행방법위반(1건) | 안전운전불이행(1건),안전거리미확보,33.3,14.2,차대차 - 충돌(2건) | 차대차 - 기타(1건),19시(2건) | 21시(1건),0.0,상해없음(2건) | 중상(1건)
82,571652393,새말로,104,3,85.0,426681.1236,안전운전불이행(2건) | 안전거리미확보(1건),안전운전불이행,66.7,55.9,차대차 - 기타(1건) | 차대차 - 충돌(1건),20시(1건) | 16시(1건) | 23시(1건),0.0,경상(2건) | 중상(1건)
94,572655880,산성대로,107,3,146.0,381663.4251,신호위반(3건),신호위반,100.0,12.8,차대차 - 충돌(2건) | 차대차 - 기타(1건),14시(2건) | 00시(1건),0.0,중상(2건) | 경상(1건)
95,572763876,아리수로,107,5,162.0,380551.4708,안전운전불이행(3건) | 신호위반(2건),안전운전불이행,60.0,55.9,차대차 - 기타(4건) | 차대차 - 충돌(1건),09시(1건) | 08시(1건) | 10시(1건),0.0,경상(3건) | 중상(2건)
96,572610972,광명로,107,4,93.0,377199.3154,안전운전불이행(3건) | 신호위반(1건),안전운전불이행,75.0,55.9,차대차 - 충돌(2건) | 차대사람 - 차도통행중(1건),18시(1건) | 22시(1건) | 23시(1건),0.0,경상(3건) | 중상(1건)
106,572610123,양산로,104,9,577.0,340209.7567,안전운전불이행(5건) | 교차로운행방법위반(2건) | 신호위반(1건),안전운전불이행,55.6,55.9,차대차 - 기타(3건) | 차대차 - 충돌(2건),19시(1건) | 06시(1건) | 22시(1건),0.0,경상(6건) | 중상(2건) | 사망(1건)
107,2024000532,,107,3,146.0,336418.3201,안전운전불이행(3건),안전운전불이행,100.0,55.9,차대차 - 충돌(2건) | 차대차 - 추돌(1건),11시(1건) | 10시(1건) | 18시(1건),0.0,중상(2건) | 경상(1건)
111,572350207,,107,3,85.0,332698.5966,안전운전불이행(2건) | 기타(1건),안전운전불이행,66.7,55.9,차대사람 - 기타(1건) | 차대사람 - 횡단중(1건),21시(1건) | 19시(1건) | 17시(1건),0.0,경상(2건) | 중상(1건)
