grid_gid,epdo_total,epdo_avg,accident_cnt,사망_cnt,중상_cnt,경상_cnt,부상신고_cnt,상해없음_cnt,기타불명_cnt,crosswalk_cnt,child_zone_cnt,school_cnt,kindergarten_cnt,daycare_cnt,bus_stop_cnt,cctv_cnt,cctv_cam_cnt,speedbump_cnt
다사675380,622.0,88.8571,7,1,3,3,0,0,0,0,0,0,0,0,1,2,5,1
다사661445,606.0,121.2,5,1,3,1,0,0,0,1,0,0,0,0,2,0,0,2
다사696385,585.0,58.5,10,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0
다사685437,569.0,71.125,8,1,2,5,0,0,0,6,0,0,0,0,2,2,7,4
다사672369,558.0,42.9231,13,1,2,2,1,7,0,0,0,0,0,1,3,1,5,0
다사671371,535.0,24.3182,22,0,6,15,0,1,0,1,0,0,0,0,0,3,15,0
다사672368,531.0,21.24,25,0,6,14,0,5,0,1,0,0,0,0,0,1,5,0
다바374949,529.0,176.3333,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0
다사645448,485.0,80.8333,6,1,1,3,0,1,0,1,0,0,0,0,4,0,0,2
다사661436,484.0,96.8,5,1,1,3,0,0,0,4,0,0,0,1,0,1,4,0
다사312118,468.0,156.0,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
다사476042,461.0,153.6667,3,1,1,0,0,1,0,1,0,0,0,0,3,14,14,0
다사752493,460.0,230.0,2,1,1,0,0,0,0,2,0,0,0,0,0,4,12,0
다사729514,439.0,48.7778,9,1,0,5,1,2,0,6,0,0,0,0,0,2,10,0
다사726482,424.0,70.6667,6,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0
다사645348,423.0,84.6,5,1,0,4,0,0,0,1,0,0,0,0,2,0,0,0
다사662432,416.0,83.2,5,1,0,3,0,1,0,5,0,0,0,0,0,1,4,0
다사690383,415.0,103.75,4,1,0,3,0,0,0,1,0,0,0,0,0,1,4,0
다사657444,415.0,103.75,4,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0
다사684434,415.0,103.75,4,1,0,3,0,0,0,2,0,0,0,0,0,1,2,0
다사673440,407.0,135.6667,3,1,0,2,0,0,0,3,1,0,1,0,0,0,0,2
다사633451,407.0,135.6667,3,1,0,2,0,0,0,1,0,0,0,0,2,2,7,6
다사670371,405.0,135.0,3,1,0,1,1,0,0,1,0,0,0,1,0,1,1,0
다사693442,399.0,199.5,2,1,0,1,0,0,0,0,0,0,0,0,0,1,3,2
다사591123,399.0,199.5,2,1,0,1,0,0,0,6,0,0,0,6,1,0,0,0
다사584129,399.0,199.5,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
다사669386,397.0,198.5,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
다사667347,391.0,391.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
다사687300,391.0,391.0,1,1,0,0,0,0,0,0,0,0,0,2,0,3,11,3
다사665307,391.0,391.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
다사658331,391.0,391.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
다사654266,391.0,391.0,1,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0
다사657359,391.0,391.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
다사652396,391.0,391.0,1,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0
다사673366,391.0,391.0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,9,0
다사710359,391.0,391.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
다사684373,391.0,391.0,1,1,0,0,0,0,0,0,1,2,1,0,0,1,1,0
다사649463,391.0,391.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
다사657450,391.0,391.0,1,1,0,0,0,0,0,0,1,0,0,0,0,2,7,2
다사664462,391.0,391.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
다사668410,391.0,391.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
다사667411,391.0,391.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
다사667452,391.0,391.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
다사735489,391.0,391.0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,16,5
다사718504,391.0,391.0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0
다사544081,391.0,391.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
다사405115,391.0,391.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
다사407137,391.0,391.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
다사455003,391.0,391.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
다사489061,391.0,391.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
다사399111,391.0,391.0,1,1,0,0,0,0,0,3,0,0,0,0,0,7,7,0
다사469215,391.0,391.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
다사409194,391.0,391.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
다사501021,391.0,391.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
다사443099,391.0,391.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
다사501163,391.0,391.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
다사544113,391.0,391.0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0
다사438091,391.0,391.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
다사370008,391.0,391.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
다사653311,348.0,26.7692,13,0,4,9,0,0,0,0,0,0,0,0,2,1,1,0
다사671358,339.0,24.2143,14,0,4,7,1,1,0,1,0,0,0,0,1,0,0,0
다사661423,322.0,32.2,10,0,4,5,1,0,0,5,0,0,0,0,0,0,0,0
다사670419,321.0,16.8947,19,0,3,14,0,2,0,5,0,0,0,0,0,1,2,0
다사667426,310.0,31.0,10,0,4,4,0,2,0,5,0,0,0,0,0,0,0,0
다사646460,293.0,20.9286,14,0,3,10,1,0,0,7,0,0,0,0,0,0,0,0
다사662446,292.0,48.6667,6,0,4,2,0,0,0,2,0,0,0,0,0,1,2,4
다사724512,292.0,48.6667,6,0,4,2,0,0,0,3,0,0,0,0,2,1,1,0
