link_id,grid_gid,accident_cnt
572670614,다사672368,24
572671926,다사672368,24
572672170,다사672368,24
572672173,다사672368,24
572672326,다사672368,24
572672327,다사672368,24
572672328,다사672368,24
572672329,다사672368,24
572672331,다사672368,24
572672332,다사672368,24
572672334,다사672368,24
572647403,다사671371,21
572646919,다사671371,21
572671988,다사671371,21
572672205,다사671371,21
572672223,다사671371,21
572672231,다사671371,21
572648599,다사670419,20
572648899,다사670419,20
572662077,다사670419,20
572662080,다사670419,20
572662082,다사670419,20
572662085,다사670419,20
572662237,다사670419,20
572666031,다사670419,20
572672373,다사670419,20
572672384,다사670419,20
572672385,다사670419,20
572672386,다사670419,20
572672387,다사670419,20
572672484,다사670419,20
572647396,다사671372,18
572651892,다사671372,18
572656260,다사671372,18
572654496,다사671372,18
572654500,다사671372,18
572669643,다사671372,18
572671927,다사671372,18
572672018,다사671372,18
572672023,다사671372,18
572672252,다사671372,18
572672365,다사671372,18
572672368,다사671372,18
572672371,다사671372,18
572672381,다사671372,18
572672382,다사671372,18
572672398,다사671372,18
572672399,다사671372,18
572672400,다사671372,18
572672402,다사671372,18
572672403,다사671372,18
572672408,다사671372,18
572672409,다사671372,18
572611418,다사696384,18
572611422,다사696384,18
572611460,다사696384,18
572611465,다사696384,18
572645619,다사696384,18
572645620,다사696384,18
572645622,다사696384,18
572646968,다사696384,18
572651402,다사696384,18
572654966,다사696384,18
572654972,다사696384,18
572661834,다사696384,18
572661836,다사696384,18
571719316,다사627459,17
571772265,다사627459,17
571772464,다사627459,17
571772741,다사627459,17
571772745,다사627459,17
571772753,다사627459,17
571772756,다사627459,17
571772757,다사627459,17
571772758,다사627459,17
571772765,다사627459,17
571772766,다사627459,17
571772767,다사627459,17
571772788,다사627459,17
571772789,다사627459,17
571772790,다사627459,17
571772791,다사627459,17
571772819,다사627459,17
572603063,다사692382,17
572646889,다사692382,17
572646893,다사692382,17
572646895,다사692382,17
572646896,다사692382,17
572646897,다사692382,17
572648150,다사692382,17
572651440,다사692382,17
572651444,다사692382,17
572655316,다사692382,17
572655560,다사692382,17
572655562,다사692382,17
572646979,다사672367,16
572668868,다사672367,16
572670616,다사672367,16
572672124,다사672367,16
572672125,다사672367,16
572672134,다사672367,16
572672167,다사672367,16
572672333,다사672367,16
572669752,다사673371,16
571347090,다사623120,15
571347438,다사623120,15
571348016,다사623120,15
571348800,다사623120,15
572772974,다사722501,15
572774490,다사722501,15
572774985,다사722501,15
572781364,다사722501,15
572781368,다사722501,15
572782958,다사722501,15
572782963,다사722501,15
572782964,다사722501,15
572782981,다사722501,15
572782982,다사722501,15
572783060,다사722501,15
572783061,다사722501,15
572783062,다사722501,15
572783063,다사722501,15
572783096,다사722501,15
572783097,다사722501,15
572783098,다사722501,15
572783099,다사722501,15
571351156,다사616111,14
571352152,다사616111,14
571728860,다사640459,14
571772727,다사640459,14
571772740,다사640459,14
571773704,다사646460,14
571774354,다사646460,14
571774371,다사646460,14
571774372,다사646460,14
571774373,다사646460,14
571774374,다사646460,14
571774394,다사646460,14
571774400,다사646460,14
571774402,다사646460,14
571774403,다사646460,14
571774405,다사646460,14
571774420,다사646460,14
571774421,다사646460,14
571774422,다사646460,14
571774423,다사646460,14
571774424,다사646460,14
571774426,다사646460,14
571774428,다사646460,14
571744903,다사652451,14
571773303,다사652451,14
571773327,다사652451,14
571773341,다사652451,14
571773462,다사652451,14
571773476,다사652451,14
571773477,다사652451,14
571773485,다사652451,14
571773488,다사652451,14
571773489,다사652451,14
571744902,다사652451,14
571611989,다사658443,14
571643813,다사658443,14
571643816,다사658443,14
571643818,다사658443,14
571643829,다사658443,14
571658607,다사658443,14
571658609,다사658443,14
571658611,다사658443,14
571679828,다사658443,14
571679834,다사658443,14
571679854,다사658443,14
571679921,다사658443,14
571679924,다사658443,14
571679926,다사658443,14
571679927,다사658443,14
571682865,다사658443,14
571367278,다사659112,14
571367282,다사659112,14
571370448,다사659112,14
571370450,다사659112,14
572662267,다사671358,14
572662269,다사671358,14
572662271,다사671358,14
572662274,다사671358,14
572662279,다사671358,14
572662292,다사671358,14
572662302,다사671358,14
572671924,다사671358,14
572671996,다사671358,14
572671999,다사671358,14
572672002,다사671358,14
572672464,다사671358,14
572672470,다사671358,14
572672475,다사671358,14
572672476,다사671358,14
572672477,다사671358,14
572672478,다사671358,14
572672177,다사672369,14
571340712,다사587122,13
571341861,다사587122,13
571341867,다사587122,13
571350748,다사587122,13
571358898,다사587122,13
571358900,다사587122,13
571358902,다사587122,13
571358906,다사587122,13
571358908,다사587122,13
571372106,다사587122,13
571365840,다사638123,13
571366452,다사638123,13
571371109,다사638123,13
571660556,다사647359,13
571682182,다사647359,13
571682252,다사647359,13
571682275,다사647359,13
571682276,다사647359,13
571682277,다사647359,13
571682300,다사647359,13
571682302,다사647359,13
571682303,다사647359,13
571682304,다사647359,13
571254797,다사651075,13
571254798,다사651075,13
571772274,다사652463,13
571772288,다사652463,13
571772305,다사652463,13
571772309,다사652463,13
571772310,다사652463,13
571772322,다사652463,13
571772326,다사652463,13
571772346,다사652463,13
571772348,다사652463,13
571501266,다사653311,13
571554830,다사653311,13
571554836,다사653311,13
571555096,다사653311,13
571558795,다사653311,13
572703098,다사758483,13
572703873,다사758483,13
572767648,다사758483,13
571370433,다사644123,12
571774486,다사644463,12
571774517,다사644463,12
571774518,다사644463,12
571774520,다사644463,12
571774522,다사644463,12
571774524,다사644463,12
571774541,다사644463,12
571774558,다사644463,12
571774360,다사646461,12
571774410,다사646461,12
571774412,다사646461,12
571501200,다사649279,12
571542225,다사649279,12
571558135,다사649279,12
571558140,다사649279,12
571558141,다사649279,12
571558143,다사649279,12
571558144,다사649279,12
571772955,다사661474,12
571772956,다사661474,12
571772959,다사661474,12
571773068,다사661474,12
571501007,다사663325,12
571501154,다사663325,12
571501170,다사663325,12
571501555,다사663325,12
571540750,다사663325,12
571540753,다사663325,12
571540758,다사663325,12
571554852,다사663325,12
571554854,다사663325,12
571554856,다사663325,12
571554858,다사663325,12
571554860,다사663325,12
571554862,다사663325,12
572646930,다사670379,12
572670508,다사670379,12
572671930,다사670379,12
572672358,다사670379,12
572672360,다사670379,12
572672391,다사670379,12
572672392,다사670379,12
572672393,다사670379,12
572672394,다사670379,12
572672395,다사670379,12
572672396,다사670379,12
572672397,다사670379,12
572672436,다사670379,12
572672437,다사670379,12
572672439,다사670379,12
572646876,다사682376,12
572646878,다사682376,12
572646883,다사682376,12
572646884,다사682376,12
572646885,다사682376,12
572651104,다사682376,12
572651105,다사682376,12
571347222,다사610123,11
571347233,다사610123,11
571347839,다사610123,11
571724741,다사633458,11
571760255,다사633458,11
571772446,다사633458,11
571772477,다사633458,11
571772480,다사633458,11
571772486,다사633458,11
571772487,다사633458,11
572663115,다사670413,11
572669253,다사670413,11
572669254,다사670413,11
572672412,다사670413,11
572672423,다사670413,11
572672427,다사670413,11
572672430,다사670413,11
572672432,다사670413,11
572672435,다사670413,11
572672440,다사670413,11
572672448,다사670413,11
572500958,다사671345,11
572501125,다사671345,11
572541023,다사671345,11
572544874,다사671345,11
572603567,다사674380,11
572603599,다사674380,11
572611508,다사699371,11
572651014,다사699371,11
572651017,다사699371,11
572651964,다사699371,11
572651968,다사699371,11
572651970,다사699371,11
572652150,다사699371,11
572652152,다사699371,11
571343710,다사590126,10
571343749,다사590126,10
571343751,다사590126,10
571772601,다사620457,10
571772609,다사620457,10
571773071,다사620457,10
571700554,다사638454,10
571700557,다사638454,10
571715824,다사638454,10
571719956,다사638454,10
571724747,다사638454,10
571729078,다사638454,10
571729082,다사638454,10
571729944,다사638454,10
571365892,다사643123,10
571370577,다사643123,10
571369848,다사645097,10
571369854,다사645097,10
571369858,다사645097,10
571371202,다사645097,10
571376393,다사645097,10
571376394,다사645097,10
571774523,다사645462,10
571774557,다사645462,10
571371112,다사650082,10
571371113,다사650082,10
571371115,다사650082,10
571371118,다사650082,10
571500640,다사652300,10
571542062,다사652300,10
571542066,다사652300,10
571542067,다사652300,10
571542799,다사652300,10
571501127,다사653310,10
571501280,다사653310,10
571501367,다사653310,10
571554834,다사653310,10
571558797,다사653310,10
571558800,다사653310,10
571728824,다사659468,10
571759937,다사659468,10
571759938,다사659468,10
571759940,다사659468,10
571772722,다사659468,10
571772723,다사659468,10
571772869,다사659468,10
571772870,다사659468,10
571500995,다사660303,10
571501218,다사660303,10
571540314,다사660303,10
571542804,다사660303,10
571652393,다사661423,10
571664027,다사661423,10
571664028,다사661423,10
571683030,다사661423,10
571658858,다사662437,10
571681886,다사662437,10
571681888,다사662437,10
571681913,다사662437,10
571681920,다사662437,10
571681921,다사662437,10
571681924,다사662437,10
571681925,다사662437,10
572671975,다사667426,10
572671977,다사667426,10
572672100,다사667426,10
572672101,다사667426,10
572672102,다사667426,10
572672103,다사667426,10
572672128,다사667426,10
572672201,다사667426,10
572672203,다사667426,10
572672212,다사667426,10
572541014,다사671348,10
572541684,다사671348,10
572541686,다사671348,10
572541690,다사671348,10
572541692,다사671348,10
572663327,다사672366,10
572663332,다사672366,10
572650641,다사672366,10
572663326,다사672366,10
572672148,다사672366,10
572782456,다사673463,10
572782457,다사673463,10
572782460,다사673463,10
572782470,다사673463,10
572782472,다사673463,10
572782485,다사673463,10
572782486,다사673463,10
572782489,다사673463,10
572782504,다사673463,10
572782512,다사673463,10
572782515,다사673463,10
572603519,다사683383,10
572603585,다사683383,10
572611472,다사696385,10
572646966,다사696385,10
572646967,다사696385,10
572646970,다사696385,10
572646972,다사696385,10
572661838,다사696385,10
572763862,다사726520,10
572763876,다사726520,10
572766580,다사726520,10
571344670,다사595130,9
571344673,다사595130,9
571344790,다사595130,9
571348859,다사595130,9
571347451,다사616120,9
571347455,다사616120,9
571347464,다사616120,9
571360902,다사616120,9
571360904,다사616120,9
571368268,다사616120,9
571347469,다사618119,9
571356044,다사618119,9
571356100,다사618119,9
571350250,다사621122,9
571350252,다사621122,9
571350254,다사621122,9
571350256,다사621122,9
571704046,다사631458,9
571769952,다사631458,9
571769953,다사631458,9
571647522,다사648359,9
571669061,다사648359,9
571669066,다사648359,9
