grid_gid,epdo_total,accident_cnt,사망_cnt,중상_cnt,elderly_res_pop,elderly_res_ratio,child_float_pop,elderly_float_pop,vuln_float_ratio,vuln_time_work,vuln_time_visit,vuln_peak_pop,weekend_ratio,grid_avg_speed,grid_congestion,gap_cnt,gap_items,land_use,vuln_correction,infra_penalty,speed_weight,congestion_factor,peak_factor,weekend_factor,composite_risk,risk_label,composite_rank,correction_index,entropy_composite_risk,entropy_rank
다사672368,531.0,25,0,6,22.0,1.0,1853.64,17278.03,0.3573,343.5255,1082.0106,1425.5361,0.4568,28.08,79.3653,3,child_zone_cnt(없음) | speedbump_cnt(없음) | bus_stop_cnt(없음),미분류,2.3573,1.5,0.468,1.7937,1.5,1.0,2364.22,노인밀집거주 | 교통약자유동多 | 통행피크위험,1,0.608356,854.04,1
다사675380,622.0,7,1,3,22.0,0.2651,1763.16,13507.64,0.3852,529.9898,1506.131,2036.1208,0.562,23.9,56.0099,2,crosswalk_cnt(없음) | child_zone_cnt(없음),미분류,1.6503,1.3333,0.3983,1.5601,1.5,1.031,1315.21,노인밀집거주 | 교통약자유동多 | 주말방문집중 | 통행피크위험,24,0.270676,790.36,2
다사671371,535.0,22,0,6,24.0,0.3333,7936.6,60114.59,0.3495,724.7184,2829.1935,3553.9119,0.5371,22.9,81.4944,3,child_zone_cnt(없음) | speedbump_cnt(없음) | bus_stop_cnt(없음),미분류,1.6828,1.5,0.3817,1.8149,1.5,1.0186,1429.38,노인밀집거주 | 교통약자유동多 | 통행피크위험,21,0.374128,735.16,3
다사685437,569.0,8,1,2,49.0,0.2258,6320.52,22450.42,0.3491,488.5739,1664.9683,2153.5422,0.4981,21.72,62.5241,1,child_zone_cnt(없음),미분류,1.5749,1.1667,0.362,1.6252,1.5,1.0,922.64,노인밀집거주 | 교통약자유동多 | 통행피크위험,40,0.254274,713.68,4
다사672369,558.0,13,1,2,0.0,0,3307.18,28274.42,0.3762,469.4876,1699.4027,2168.8903,0.4413,35.74,99.95,3,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음),미분류,1.3762,1.5,0.5957,1.9995,1.5,1.0,2058.01,교통약자유동多 | 통행피크위험,4,0.186951,662.32,5
다사696385,585.0,10,1,2,0.0,0,1567.65,9354.73,0.3562,337.8879,1267.8987,1605.7866,0.5795,33.62,27.3708,6,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.3562,2.0,0.5603,1.2737,1.5,1.0397,1766.02,교통약자유동多 | 주말방문집중 | 통행피크위험,7,0.130121,661.12,6
다사661445,606.0,5,1,3,0.0,0,691.06,3326.29,0.3366,106.2644,230.0281,336.2925,0.5967,29.14,43.3374,3,child_zone_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음),미분류,1.3366,1.5,0.4857,1.4334,1.2657,1.0484,1122.43,주말방문집중 | 통행피크위험,27,0.085262,657.67,7
다사645448,485.0,6,1,1,58.0,0.2661,618.51,3178.34,0.3101,142.9809,257.7442,400.7251,0.4581,32.5,24.7169,3,child_zone_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음),미분류,1.5762,1.5,0.5417,1.2472,1.374,1.0,1064.45,노인밀집거주 | 통행피크위험,29,0.195869,580.0,8
다바374949,529.0,3,1,2,0.0,0,23.46,317.22,0.2849,14.9677,10.5641,25.5318,0.3511,47.07,61.4865,5,child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.2849,1.8333,0.7845,1.6149,1.0,1.0,1578.69,일반,16,0.093636,578.53,9
다사661436,484.0,5,1,1,0.0,0,1287.75,10933.63,0.3458,287.4724,545.7776,833.25,0.4947,22.43,67.0577,3,child_zone_cnt(없음) | speedbump_cnt(없음) | bus_stop_cnt(없음),미분류,1.3458,1.5,0.3738,1.6706,1.5,1.0,915.21,교통약자유동多 | 통행피크위험,41,0.111831,538.13,10
다사662432,416.0,5,1,0,95.0,0.3545,640.46,4390.6,0.2609,459.3427,369.3129,828.6556,0.6407,20.08,67.4746,3,child_zone_cnt(없음) | speedbump_cnt(없음) | bus_stop_cnt(없음),미분류,1.6154,1.5,0.3347,1.6747,1.5,1.0703,907.1,노인밀집거주 | 주말방문집중 | 통행피크위험,42,0.27933,532.2,11
