grid_gid,epdo_total,accident_cnt,사망_cnt,중상_cnt,elderly_res_pop,elderly_res_ratio,child_float_pop,elderly_float_pop,vuln_float_ratio,vuln_time_work,vuln_time_visit,vuln_peak_pop,weekend_ratio,grid_avg_speed,grid_congestion,gap_cnt,gap_items,land_use,vuln_correction,infra_penalty,speed_weight,congestion_factor,peak_factor,weekend_factor,composite_risk,risk_label,composite_rank,correction_index,entropy_composite_risk,entropy_rank,핵심_인프라공백,제안시설,위험등급
다사729514,439.0,9,1,0,0.0,0.0,10414.28,20462.27,0.3117,648.0678,1855.6959,2503.7637,0.5278,22.29,62.5895,3,child_zone_cnt(없음) | speedbump_cnt(없음) | bus_stop_cnt(없음),업무시설,1.3117,1.5,0.3715,1.6259,1.5,1.0139,793.47,통행피크위험,57,0.168226,512.85,15,child_zone_cnt / speedbump_cnt / bus_stop_cnt,과속저감 패키지(방지턱+노면표시) + 버스정류장 연계 보행안전시설 + 어린이보호구역 보강,고위험
다사735489,391.0,1,1,0,143.0,0.4783,701.67,7655.99,0.4872,99.2705,353.3405,452.611,0.3751,,,3,crosswalk_cnt(없음) | child_zone_cnt(없음) | bus_stop_cnt(없음),미분류,1.9655,1.5,1.0,1.0,1.4613,1.0,1684.54,노인밀집거주 | 교통약자유동多 | 통행피크위험,12,0.265383,494.76,20,crosswalk_cnt / child_zone_cnt / bus_stop_cnt,버스정류장 연계 보행안전시설 + 스마트 횡단보도 + 어린이보호구역 보강,고위험
다사752493,460.0,2,1,1,0.0,0,218.28,1009.34,0.3727,20.0153,72.5547,92.57,0.3814,24.82,46.5919,3,child_zone_cnt(없음) | speedbump_cnt(없음) | bus_stop_cnt(없음),미분류,1.3727,1.5,0.4137,1.4659,1.0,1.0,574.4,교통약자유동多,96,0.06995,492.18,21,child_zone_cnt / speedbump_cnt / bus_stop_cnt,과속저감 패키지(방지턱+노면표시) + 버스정류장 연계 보행안전시설 + 어린이보호구역 보강,고위험
다사726482,424.0,6,1,0,0.0,0,52.97,483.51,0.2817,2.9502,18.4627,21.4129,0.6538,59.73,54.8362,6,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.2817,2.0,0.9955,1.5484,1.0,1.0769,1804.19,주말방문집중,6,0.108678,470.08,28,crosswalk_cnt / child_zone_cnt / speedbump_cnt / cctv_cnt / cctv_cam_cnt / bus_stop_cnt,과속저감 패키지(방지턱+노면표시) + 버스정류장 연계 보행안전시설 + 스마트 횡단보도 + 어린이보호구역 보강 + 지능형 CCTV,고위험
다사724512,292.0,6,0,4,0.0,0,2681.14,3993.29,0.3316,81.0506,294.3636,375.4142,0.4162,31.42,22.9805,3,child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cam_cnt(부족),근린공원,1.3316,1.5,0.5237,1.2298,1.3315,1.0,500.16,통행피크위험,124,0.068283,311.94,71,child_zone_cnt / speedbump_cnt / cctv_cam_cnt,과속저감 패키지(방지턱+노면표시) + 어린이보호구역 보강 + 지능형 CCTV,고위험
다사726520,261.0,10,0,3,0.0,0,3027.35,6215.68,0.3277,155.2589,597.9826,753.2415,0.4234,28.32,33.4077,4,child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cam_cnt(부족) | bus_stop_cnt(없음),도로,1.3277,1.6667,0.472,1.3341,1.5,1.0,545.53,통행피크위험,104,0.090001,284.49,76,child_zone_cnt / speedbump_cnt / cctv_cam_cnt / bus_stop_cnt,과속저감 패키지(방지턱+노면표시) + 버스정류장 연계 보행안전시설 + 어린이보호구역 보강 + 지능형 CCTV,고위험
다사734492,207.0,3,0,3,65.0,0.4088,227.89,1579.98,0.3693,44.4877,171.3874,215.8751,0.2752,23.39,56.1547,2,child_zone_cnt(없음) | speedbump_cnt(없음),미분류,1.7781,1.3333,0.3898,1.5615,1.0631,1.0,317.55,노인밀집거주 | 교통약자유동多 | 통행피크위험,337,0.263778,261.6,84,child_zone_cnt / speedbump_cnt,과속저감 패키지(방지턱+노면표시) + 어린이보호구역 보강,고위험
다사733496,239.0,7,0,3,0.0,0,391.27,1903.17,0.3351,56.727,139.6638,196.3908,0.5281,25.42,69.866,2,child_zone_cnt(없음) | speedbump_cnt(없음),미분류,1.3351,1.3333,0.4237,1.6987,1.0303,1.0141,319.93,통행피크위험,332,0.090975,260.74,85,child_zone_cnt / speedbump_cnt,과속저감 패키지(방지턱+노면표시) + 어린이보호구역 보강,고위험
다사738493,231.0,8,0,3,0.0,0,1089.24,5041.98,0.3819,88.5911,318.1058,406.6969,0.4814,36.28,99.9283,1,child_zone_cnt(없음),미분류,1.3819,1.1667,0.6047,1.9993,1.3841,1.0,623.21,교통약자유동多 | 통행피크위험,85,0.120718,258.89,87,child_zone_cnt,어린이보호구역 보강,고위험
다사739488,182.0,9,0,2,154.0,0.4242,2561.56,20324.56,0.3863,453.7447,1389.5509,1843.2956,0.5601,23.06,81.4937,2,child_zone_cnt(없음) | speedbump_cnt(없음),미분류,1.8105,1.3333,0.3843,1.8149,1.5,1.0301,473.47,노인밀집거주 | 교통약자유동多 | 주말방문집중 | 통행피크위험,134,0.354561,246.53,95,child_zone_cnt / speedbump_cnt,과속저감 패키지(방지턱+노면표시) + 어린이보호구역 보강,고위험
