uid,lon,lat,link_id,road_name,road_rank,max_speed,length,distance_m,acc_yr,acc_mon,acc_time,week_type,acc_type,injury_svrity,violation
1,127.13634570176542,37.379663172910064,572541668,돌마로,107,60,0.034,2.23,2024,1,19시,주중,차대차 - 기타,경상,안전운전불이행
2,127.12005316366293,37.34923537438179,571546898,,107,50,0.047,0.1,2024,1,07시,주중,차대차 - 기타,부상신고,안전운전불이행
3,127.13825776456167,37.4095677459607,572500794,야탑로,107,50,0.343,4.26,2024,1,10시,주중,차대차 - 기타,상해없음,안전거리미확보
4,127.10029671314612,37.3998728975561,571501766,경부고속도로,101,110,0.508,4.92,2024,1,17시,주중,차대차 - 충돌,중상,안전거리미확보
5,127.10431271071452,37.40320346888661,571558339,판교로,107,50,0.006,1.96,2024,1,23시,주중,차대차 - 기타,경상,안전운전불이행
6,127.12045562812527,37.394864571336385,571540579,분당수서간고속화도로,102,60,0.578,3.39,2024,1,13시,주중,차대차 - 기타,경상,안전거리미확보
7,127.15787019742068,37.4054888077072,572542835,판교로,107,30,0.521,1.21,2024,1,15시,주중,차대차 - 충돌,경상,안전운전불이행
8,127.11277182846091,37.338007547543306,571501207,구미로,107,50,0.073,13.28,2024,1,12시,주중,차대차 - 충돌,경상,안전거리미확보
9,127.11046355938291,37.349961348540894,571558228,돌마로,107,50,0.241,8.33,2024,1,15시,주중,차대차 - 추돌,경상,안전운전불이행
10,127.06954144392243,37.38822731760467,571555846,용인서울고속도로,108,40,0.022,13.41,2024,1,16시,주중,차대차 - 기타,경상,안전운전불이행
11,127.10948295203116,37.39974134622023,571555512,대왕판교로644번길,107,60,0.04,13.08,2024,1,08시,주중,차대차 - 기타,상해없음,신호위반
12,127.11277071584817,37.3931630928308,571557520,분당내곡로,107,50,0.211,0.12,2024,1,18시,주중,차대사람 - 기타,중상,보행자보호의무위반
13,127.11528491680811,37.37205198411713,571544432,내정로129번길,107,30,0.097,4.76,2024,1,20시,주중,차대차 - 기타,경상,안전운전불이행
14,127.10688184709292,37.36559750495984,571500304,성남대로331번길,107,40,0.164,5.46,2024,1,21시,주중,차대차 - 기타,경상,안전운전불이행
15,127.12013235105624,37.3469641394713,571558229,금곡로,107,50,0.184,4.35,2024,1,22시,주중,차대차 - 기타,경상,안전운전불이행
16,127.10913913955352,37.350614990268184,571543552,성남대로,107,70,0.105,25.08,2024,1,10시,주말,차대차 - 기타,경상,안전거리미확보
17,127.12878982715971,37.41388302676118,572501264,성남대로,107,60,0.042,0.73,2024,1,04시,주말,차량단독 - 기타,,안전운전불이행
18,127.10345536626289,37.347161800881146,571452971,경부고속도로,101,110,5.524,20.15,2024,1,10시,주말,차대차 - 기타,경상,안전운전불이행
19,127.11167959088085,37.337463136042196,571556630,구미로,107,30,0.14,0.57,2024,1,13시,주말,차대차 - 기타,경상,중앙선침범
20,127.10888873194799,37.35100175770121,571543552,성남대로,107,70,0.105,2.87,2024,1,17시,주말,차대차 - 기타,경상,안전운전불이행
21,127.11930561408094,37.40556922918328,571510417,분당수서간고속화도로,108,60,0.048,3.65,2024,1,04시,주중,차대사람 - 횡단중,중상,신호위반
22,127.10448321926496,37.35353802544822,571541440,,107,50,0.033,0.58,2024,1,08시,주중,차대차 - 기타,경상,교차로운행방법위반
23,127.12419268716695,37.41119141957547,572541035,양현로,107,50,0.046,4.29,2024,1,09시,주중,차대사람 - 횡단중,사망,보행자보호의무위반
24,127.14383538863824,37.41290174222274,572540684,돌마로,107,60,0.029,2.26,2024,1,09시,주중,차대차 - 기타,경상,안전거리미확보
25,127.10584946870738,37.40318156046386,571548478,판교로,107,60,0.082,8.11,2024,1,10시,주중,차대차 - 기타,중상,신호위반
26,127.130041772899,37.409776680202654,572541024,야탑로,107,30,0.089,9.59,2024,1,17시,주중,차대차 - 기타,경상,기타
27,127.11346439114303,37.40327881007283,571557224,판교로,107,50,0.045,2.05,2024,1,18시,주중,차대차 - 기타,중상,안전거리미확보
28,127.12069166441226,37.41303707148995,571551468,분당수서간고속화도로,108,50,0.205,1.88,2024,1,18시,주중,차대차 - 기타,경상,교차로운행방법위반
29,127.12552888705216,37.3720217653705,572501292,수내로,107,50,0.04,4.68,2024,1,20시,주중,차대차 - 충돌,중상,신호위반
30,127.15044867198675,37.36367912892268,572541496,서현로,107,30,0.47,5.58,2024,1,02시,주중,차량단독 - 충돌,,안전운전불이행
31,127.1390085581529,37.37082878354445,572500774,분당로263번길,107,30,0.165,6.8,2024,1,09시,주중,차대차 - 기타,경상,기타
32,127.10252022590284,37.396022501495196,571557911,경부고속도로,108,40,0.155,8.03,2024,1,10시,주중,차대차 - 기타,경상,안전거리미확보
33,127.1365312812706,37.37397603128042,572500644,불정로376번길,107,30,0.081,3.75,2024,1,23시,주중,차대차 - 기타,경상,교차로운행방법위반
34,127.11619080795201,37.34054256880437,571500548,미금로,107,30,0.022,5.91,2024,1,00시,주중,차대사람 - 기타,중상,안전운전불이행
35,127.14760220343058,37.371062018455156,572544959,서현로,105,60,0.061,2.03,2024,1,02시,주중,차대차 - 추돌,경상,안전운전불이행
36,127.13956974632329,37.37628385169763,572501178,불정로,107,60,0.042,1.81,2024,1,04시,주중,차대차 - 기타,경상,신호위반
