link_id,road_name,road_rank,max_speed,length,accident_cnt,accident_uids
571704565,오금로11길,104,30,0.637,45,3520|3521|3563|3624|3702|3707|3762|3808|3844|3892|3962|3976|3980|3987|4021|4064|4073|4226|4258|4259|4375|4380|4381|4431|4438|4508|4581|4587|4588|4665|4734|4839|4891|4892|4926|5053|5120|5148|5154|5159|5237|5285|5504|5592|5836
571452971,경부고속도로,101,110,5.524,35,18|53|133|251|256|287|345|375|400|404|463|481|633|698|768|774|829|948|1106|1117|1122|1129|1152|1166|1201|1226|1294|1316|1401|1456|1473|1502|1609|1627|1633
572610955,시민로,107,30,0.503,28,1674|1677|1713|1727|1775|1850|1886|1925|1988|2054|2114|2156|2186|2213|2240|2273|2314|2328|2376|2391|2400|2415|2418|2443|2509|2513|2517|2522
572610778,탄리로,107,30,0.672,25,1688|1690|1739|1743|1758|1783|1843|1852|1881|1884|2023|2065|2099|2147|2181|2188|2199|2216|2250|2254|2333|2404|2428|2453|2492
572611053,광명로,107,40,0.384,25,2573|2589|2595|2621|2673|2678|2708|2709|2744|2778|2783|2787|2839|2933|3078|3089|3093|3096|3120|3123|3195|3202|3258|3305|3452
572710149,신평로,107,30,0.338,25,5986|6050|6069|6175|6191|6200|6223|6326|6334|6337|6349|6372|6381|6503|6527|6560|6580|6589|6608|6711|6729|6779|6914|6944|7056
572611202,산성대로,107,60,0.539,24,1662|1732|1817|1845|1906|1947|1960|1998|2066|2069|2113|2300|2363|2414|2431|2452|2482|2490|2511|2536|2557|2692|3060|3098
572704457,수도권제1순환고속도로,101,100,1.571,24,5983|6025|6042|6218|6253|6257|6265|6276|6419|6511|6546|6561|6579|6623|6656|6670|6724|6763|6765|6802|6998|7004|7091|7092
572610768,수정로,107,50,0.339,23,1664|1701|1724|1855|1941|1945|1979|2036|2056|2060|2063|2166|2222|2229|2235|2266|2276|2278|2484|2497|2498|2519|2540
572710217,신장로,107,30,0.544,22,6029|6041|6061|6085|6139|6231|6302|6347|6395|6550|6559|6683|6695|6698|6733|6862|6884|6935|6936|7015|7040|7043
572669752,광명로,107,40,0.173,21,2551|2586|2729|2774|2813|2831|2874|2918|3068|3076|3140|3188|3241|3261|3302|3309|3310|3332|3409|3429|3444
572672177,성남대로,103,70,0.186,21,2606|2699|2712|2739|2784|2806|2808|3010|3017|3052|3080|3122|3243|3385|3413|3430|3453|3455|3466|3471|3473
572610937,제일로,107,30,0.687,20,1680|1703|1735|1889|2009|2021|2074|2096|2104|2107|2112|2148|2151|2200|2209|2264|2285|2290|2454|2479
571611179,가락로,104,40,0.765,20,3599|3786|3894|3982|4114|4236|4239|4524|4527|4566|4713|4764|4775|5044|5266|5276|5414|5673|5685|5882
571704005,석촌호수로,104,50,0.553,20,3724|3741|3765|3875|3981|4397|4724|4772|4798|4975|5025|5151|5252|5625|5728|5748|5804|5830|5907|5921
571547432,경부고속도로,101,110,3.093,18,45|117|203|284|302|350|535|567|892|1077|1082|1085|1218|1221|1278|1387|1433|1640
572642364,금상로,107,40,0.56,17,2653|2674|2727|2811|2986|3001|3126|3242|3338|3341|3342|3352|3359|3379|3387|3392|3479
571704525,삼전로,104,50,0.341,16,3533|3600|4171|4281|4525|4612|4638|4757|4823|4830|4879|4909|5227|5314|5565|5887
