﻿fac_type,fac_nm,cctv_state,cctv_cnt,road_bt,lon,lat,grid_gid,link_id
초등학교,팔탄초등학교,N,0,,126.9023219,37.16005653,다사469069,478241709
초등학교,청룡초등학교,N,0,,126.8886257,37.20084555,다사457115,478347346
초등학교,청림초등학교,N,0,,127.1113568,37.17458716,다사654084,571370840
초등학교,청목초등학교,N,0,,127.1174309,37.19574831,다사660108,571367942
초등학교,청원초등학교,N,0,,126.7608922,37.18820787,다사343101,477350022
초등학교,치동초등학교,N,0,,127.0915676,37.20655283,다사637120,571371569
초등학교,태안초등학교,N,0,,127.0408656,37.21065951,다사592125,571344682
초등학교,팔탄초대방분교,N,0,,126.8701572,37.16190364,다사440072,477240525
초등학교,와우초등학교,N,0,,126.9719098,37.22010434,다사531136,478344047
초등학교,왕배초등학교,N,0,,127.1135575,37.18014215,다사656091,571371295
유치원,우림유치원,N,0,,126.8062897,37.2051909,다사384120,477310957
초등학교,우정초등학교,N,0,,126.8001499,37.08139474,다바377983,477142306
초등학교,월문초등학교,N,0,,126.8726594,37.11888442,다사442024,477240736
초등학교,율목초등학교,N,0,,127.0643588,37.23705501,다사613154,571349140
어린이집,으뜸어린이집,N,0,,127.0162989,37.20677925,다사570121,571389802
유치원,이룸유치원,N,0,,126.9025858,37.09496336,다바469997,478241505
초등학교,이솔초등학교,N,0,,127.1097225,37.16329863,다사653072,571262987
유치원,이지유치원,N,0,,126.9272596,37.12781567,다사491033,478243215
유치원,이화유치원,N,0,,126.9592874,37.20988935,다사520124,478346452
유치원,자연유치원,N,0,,127.0574921,37.23349554,다사607150,571350181
초등학교,장명초등학교,N,0,,126.8521592,37.05658023,다바424955,477141488
초등학교,장안초등학교,N,0,,126.823874,37.08604329,다바399988,477141993
초등학교,장안초석포분교,N,0,,126.8407081,37.1312127,다사414038,477240383
어린이집,장지하나어린이집,N,0,,127.0960102,37.16067763,다사641069,571255286
어린이집,재크와콩나무어린이집,N,0,,127.0445003,37.20914029,다사595123,571345676
초등학교,정남초등학교,N,0,,126.9841516,37.1678223,다사542077,478251308
초등학교,정림초등학교,N,0,,127.0116502,37.1530421,다사566061,571245134
초등학교,정현초등학교,N,0,,127.1132953,37.17144705,다사656081,571372127
초등학교,제암초등학교,N,0,,126.9021135,37.13115334,다사468037,478242187
특수학교,지구촌교육공동체,N,0,,127.1270703,37.15034584,다사668058,572213788
어린이집,지니어스숲어린이집,N,0,,126.9754235,37.22181185,다사534137,478362414
유치원,지은유치원,N,0,,126.8986006,37.11274932,다사465017,478241258
어린이집,진안어린이집,N,0,,127.0384406,37.2167379,다사590132,571343690
초등학교,진안초등학교,N,0,,127.040545,37.21700472,다사592132,571352012
어린이집,진주숲어린이집,N,0,,126.9360489,37.22434074,다사499140,478350888
유치원,참유치원,N,0,,127.0415271,37.20702093,다사593121,571345659
유치원,청계유치원,N,0,,127.1078924,37.20107872,다사652114,571379111
초등학교,매송초등학교,N,0,,126.9282436,37.24980641,다사492169,478341608
어린이집,명문어린이집,N,0,,126.8053453,37.20466368,다사383119,477310957
유치원,무봉유치원,N,0,,127.1237721,37.20378851,다사666117,572349330
초등학교,무봉초등학교,N,0,,127.1168391,37.20299623,다사659116,571367440
어린이집,무지개어린이집,N,0,,126.9418046,37.19132308,다사504104,478362327
어린이집,미래숲어린이집,N,0,,126.9661427,37.19983541,다사526113,478345932
유치원,바다유치원,N,0,,126.9148291,37.1295607,다사480035,478243470
유치원,반디유치원,N,0,,127.0437434,37.21734148,다사595132,571351908
초등학교,반석초등학교,N,0,,127.0783219,37.19369946,다사625106,571349379
초등학교,반송초등학교,N,0,,127.070177,37.19076668,다사618103,571349366
어린이집,시립맘e편한어린이집,N,0,,126.940412,37.22886148,다사503145,478356616
어린이집,시립숲속어린이집,N,0,,127.0571265,37.2096674,다사607124,571352808
어린이집,시립영천어린이집,N,0,,127.1039675,37.21082773,다사648125,571375339
어린이집,시립향남어린이집,N,0,,126.9190969,37.13043385,다사484036,478244404
유치원,시연유치원,N,0,,126.9562775,37.21816108,다사517133,478350904
초등학교,신남초등학교,N,0,,126.8177612,37.19137919,다사394105,477356660
초등학교,신동초등학교,N,0,,127.1310568,37.17490244,다사672085,572355334
어린이집,아이네오어린이집,N,0,,126.9549851,37.22131787,다사516137,478342258
어린이집,아이랜드어린이집,N,0,,126.8155919,37.07559983,다바391976,477146512
유치원,아이숲유치원,N,0,,127.1090017,37.18197701,다사652093,571371291
초등학교,아인초등학교,N,0,,127.1052936,37.20081011,다사649114,571367684
유치원,아침해유치원,N,0,,126.8216157,37.20111897,다사397115,477350658
어린이집,아해뜰어린이집,N,0,,126.9831869,37.20719389,다사541121,478310091
초등학교,안녕초등학교,N,0,,127.0085343,37.20589222,다사563120,571364812
초등학교,안화초등학교,N,0,,127.0473692,37.21284997,다사598127,571351071
초등학교,양감초등학교,N,0,,126.951662,37.08148848,다바512982,478142593
초등학교,여울초등학교,N,0,,127.0889442,37.19510443,다사635107,571369816
유치원,영천유치원,N,0,,127.1073242,37.20507243,다사651118,571370092
초등학교,영천초등학교,N,0,,127.1045574,37.20571176,다사649119,571366984
초등학교,예당초등학교,N,0,,127.0752137,37.21058745,다사623125,571351407
초등학교,예솔초등학교,N,0,,127.1193973,37.19655044,다사662109,571367948
유치원,예원유치원,N,0,,127.0522932,37.21178196,다사602126,571371970
초등학교,예원초등학교,N,0,,127.076189,37.21116575,다사623125,571351407
유치원,예일유치원,N,0,,126.9869214,37.22021075,다사544136,478342069
유치원,오즈의마법사유치원,N,0,,127.069693,37.18828484,다사618100,571347764
초등학교,수기초등학교,N,0,,126.9813231,37.20162367,다사539115,478345936
초등학교,수영초등학교,N,0,,126.9542831,37.23617759,다사515153,478344108
유치원,수현유치원,N,0,,126.9498687,37.22832373,다사511145,478359209
초등학교,수현초등학교,N,0,,126.950565,37.22709988,다사512143,478356220
초등학교,숲속초등학교,N,0,,127.060485,37.20611415,다사609120,571347817
어린이집,시립구문천어린이집,N,0,,126.9053525,37.08567333,다바471987,478141291
어린이집,보림어린이집,N,0,,126.956232,37.22208576,다사517138,478353468
초등학교,봉담초등학교,N,0,,126.9473597,37.22280569,다사509139,478358351
초등학교,비봉초등학교,N,0,,126.8690057,37.23701249,다사440155,477341200
유치원,비손유치원,N,0,,126.9490094,37.21747004,다사511133,478343928
유치원,빛여울유치원,N,0,,127.0980532,37.16142357,다사643070,571255284
초등학교,사창초등학교,N,0,,126.9730915,37.09200273,다바531993,478245894
초등학교,상봉초등학교,N,0,,126.954942,37.21816941,다사516133,478350904
초등학교,상신초등학교,N,0,,126.898188,37.09917091,다사465002,478253913
유치원,새봄유치원,N,0,,127.0477877,37.20097614,다사598114,571376440
초등학교,새봄초등학교,N,0,,127.0297554,37.20146101,다사582115,571383566
초등학교,서경초등학교,N,0,,127.0508488,37.21702273,다사601132,571371649
초등학교,서신초등학교,N,0,,126.7078399,37.17011249,다사296082,476344114
유치원,서연유치원,N,0,,127.1088121,37.16081544,다사652069,571254257
초등학교,서연초등학교,N,0,,127.1137726,37.15976339,다사657068,571254378
초등학교,석우초등학교,N,0,,127.0681992,37.20927868,다사616123,571346779
초등학교,석천초등학교,N,0,,126.7887413,37.05515175,다바367954,477140209
어린이집,성심어린이집,N,0,,126.9154631,37.11982751,다사480025,478252302
초등학교,세정초등학교,N,0,,127.1260411,37.16678823,다사667076,572217854
유치원,세진유치원,N,0,,126.9284772,37.15901029,다사492068,478240645
유치원,솔빛유치원,N,0,,127.0705288,37.19630921,다사618109,571351632
초등학교,솔빛초등학교,N,0,,127.0737903,37.1967436,다사621109,571349316
초등학교,송라초등학교,N,0,,126.8886245,37.27306194,다사457195,478458508
초등학교,송산초등학교,N,0,,126.7319598,37.21463742,다사318131,476340696
초등학교,송화초등학교,N,0,,127.0396665,37.20184656,다사591115,571350828
초등학교,배양초등학교,N,0,,126.9887553,37.21885531,다사546134,478342235
초등학교,벌말초등학교,N,0,,127.0379586,37.2025813,다사589116,571350055
어린이집,병점뉴질랜드어린이집,N,0,,127.0371903,37.20932133,다사589123,571350745
초등학교,병점초등학교,N,0,,127.0338907,37.21024362,다사586124,571344778
어린이집,보리어린이집,N,0,,126.8285619,37.20352053,다사404118,477342838
어린이집,푸른밭어린이집(동그라미유치원),N,0,,126.9753986,37.22484796,다사534141,478341958
어린이집,푸른솔어린이집,N,0,,126.979588,37.20628107,다사538120,478342001
초등학교,푸른초등학교,N,0,,127.0552946,37.20238958,다사605116,571349730
어린이집,풀향기어린이집,N,0,,126.9558851,37.21310353,다사517128,478344077
유치원,하길유치원,N,0,,126.9021047,37.11232525,다사468016,478257818
초등학교,하길초등학교,N,0,,126.9040759,37.11560646,다사470020,478252802
초등학교,학동초등학교,N,0,,127.0660513,37.20528356,다사614119,571347677
유치원,학촌유치원,N,0,,126.9605183,37.21273843,다사521127,478353845
초등학교,한마음초등학교,N,0,,127.0563591,37.20859344,다사606122,571349720
초등학교,한백초등학교,N,0,,127.1147184,37.20834289,다사658122,571367774
