﻿school_nm,school_gbn,estab_dt,estab_gbn,addr,lon,lat,grid_gid
서신중학교,중학교,1956-04-01,사립,경기도 화성시 서신면 상안리 872,126.7005959,37.1695636,다사290081
청연초등학교,초등학교,2025-03-01,공립,경기도 화성시 비봉면 삼화리 1854,126.8673577,37.24643696,다사438165
여울초등학교,초등학교,2021-03-01,공립,경기도 화성시 오산동 987,127.0889469,37.19510443,다사635107
한백고등학교,고등학교,2016-06-03,공립,경기도 화성시 영천동 696,127.1133605,37.20763155,다사656121
수영초등학교,초등학교,2008-03-01,공립,경기도 화성시 봉담읍 수영리 143-1,126.9542831,37.23617759,다사515153
마산초등학교,초등학교,1949-09-27,공립,경기도 화성시 송산면 마산리 326-3,126.6918993,37.23180131,다사283150
남양고등학교,고등학교,1954-04-09,공립,경기도 화성시 남양읍 남양리 1633-1,126.8234064,37.2079709,다사399123
정남중학교,중학교,1963-04-20,공립,경기도 화성시 정남면 신리 85,126.9786516,37.1651297,다사537075
안용중학교,중학교,1969-02-28,사립,경기도 화성시 송산동 97-7,127.0190498,37.20588892,다사573120
삼괴고등학교,고등학교,1960-05-10,사립,경기도 화성시 우정읍 조암리 139,126.8222924,37.08982064,다바397992
동양초등학교,초등학교,2005-03-01,공립,경기도 화성시 남양읍 남양리 1651,126.8221898,37.20699234,다사398122
이솔초등학교,초등학교,2021-03-01,공립,경기도 화성시 장지동 967,127.109722,37.16322375,다사653072
비봉초등학교,초등학교,1931-04-23,공립,경기도 화성시 비봉면 삼화리 537,126.8690057,37.23701249,다사440155
활초초등학교,초등학교,1950-06-01,공립,경기도 화성시 남양읍 안석리 232-1,126.8250998,37.17879002,다사400091
화성세정중학교,중학교,2022-03-01,공립,경기도 화성시 산척동 741,127.1247594,37.16716681,다사666076
학동초등학교,초등학교,2006-12-01,공립,경기도 화성시 반송동 81,127.0660513,37.20528356,다사614119
양감중학교,중학교,1983-07-27,공립,경기도 화성시 양감면 신왕리 475-1,126.951662,37.08148848,다바512982
화도중학교,중학교,1954-10-07,사립,경기도 화성시 마도면 석교리 212,126.7752047,37.20499973,다사356120
한울초등학교,초등학교,2008-09-01,공립,경기도 화성시 향남읍 행정리 442,126.9178538,37.12696147,다사482033
남양중학교,중학교,1953-04-22,공립,경기도 화성시 남양읍 남양리 1663,126.8215994,37.20792368,다사398123
팔탄초등학교,초등학교,1922-04-04,공립,경기도 화성시 팔탄면 구장리 522-1,126.9023219,37.16005653,다사469069
푸른초등학교,초등학교,2008-03-01,공립,경기도 화성시 능동 1136,127.0552901,37.20238958,다사605116
두레자연고등학교,고등학교,1999-03-05,사립,경기도 화성시 우정읍 화산리 692-11,126.7957736,37.05938617,다바373958
송화초등학교,초등학교,2000-09-01,공립,경기도 화성시 병점동 465-5,127.0396665,37.20184656,다사591115
장명초등학교,초등학교,1944-04-01,공립,경기도 화성시 장안면 장안리 152,126.8521592,37.05658023,다바424955
남양초등학교,초등학교,1898-10-01,공립,경기도 화성시 남양읍 남양리 650-1,126.8155734,37.21038035,다사392126
솔빛초등학교,초등학교,2007-09-01,공립,경기도 화성시 반송동 133,127.0737903,37.1967436,다사621109
병점중학교,중학교,2005-05-06,공립,경기도 화성시 병점동 825,127.0400539,37.210361,다사591124
화성동화중학교,중학교,2007-10-17,공립,경기도 화성시 봉담읍 동화리 631,126.9623034,37.21386594,다사522129
기산중학교,중학교,2007-03-01,공립,경기도 화성시 기산동 469,127.0524467,37.219205,다사602134
배양초등학교,초등학교,2005-03-01,공립,경기도 화성시 배양동 76,126.9887553,37.21885531,다사546134
와우고등학교,고등학교,2023-03-01,공립,경기도 화성시 봉담읍 동화리 237,126.9668641,37.21952636,다사527135
화산초등학교,초등학교,1934-03-31,공립,경기도 화성시 송산동 146-9,127.0135239,37.21142627,다사568126
치동고등학교,고등학교,2024-03-01,공립,경기도 화성시 영천동 791,127.0916951,37.2076057,다사637121
도이초등학교,초등학교,2008-10-01,공립,경기도 화성시 향남읍 행정리 476,126.9261309,37.13263324,다사490039
고정초등학교,초등학교,1960-04-30,공립,경기도 화성시 송산면 고정리 1103,126.738112,37.23771628,다사324157
