﻿kinder_nm,estab_gbn,open_dt,appr_cap,age3_cnt,age4_cnt,age5_cnt,mix_cnt,spec_cnt,lon,lat,total_age_cnt,grid_gid
가람유치원,사립(사인),20151102,180,26,44,46,0,0,127.099569,37.196383,116,다사644109
갈담초등학교병설유치원,공립(병설),19850902,18,0,0,0,6,0,126.932910063713,37.175142447568,0,다사496086
경기유치원,사립(사인),20020202,246,7,4,10,0,0,127.026971962248,37.199660681404,21,다사580113
고정초등학교병설유치원,공립(병설),19810301,18,0,0,0,7,0,126.738174307205,37.2377174140126,0,다사324157
구봉초등학교병설유치원,공립(병설),20040901,38,0,0,7,9,0,127.044813262021,37.2056609168671,7,다사596119
기산초등학교병설유치원,공립(병설),20040915,38,0,0,12,6,0,127.050734324687,37.2246012589747,12,다사601140
기안초등학교병설유치원,공립(병설),19860306,42,0,0,5,9,3,126.982571649974,37.2254588462686,5,다사540141
깊은샘유치원,공립(단설),20090309,116,26,38,34,0,4,126.912617678439,37.1300724081079,98,다사478036
꿈드림유치원,사립(사인),20150301,220,16,17,36,0,0,127.10650702735,37.1979549461703,69,다사650110
꿈사랑유치원,사립(사인),20180301,176,33,46,73,0,0,127.1248798949,37.1848788614,152,다사667096
나루아이유치원,공립(단설),20230301,154,50,47,39,0,7,127.0795289472,37.187339563,136,다사626099
나인유치원,사립(사인),20120301,322,78,85,104,0,0,127.052513513054,37.209756488204,267,다사602124
남양초등학교병설유치원,공립(병설),19810320,18,0,0,0,11,0,126.815573840461,37.2103812324183,0,다사392126
내리숲초등학교병설유치원,공립(병설),20240901,116,28,40,48,0,0,126.924502342499,37.2260183600807,116,다사489142
노진초등학교병설유치원,공립(병설),19860222,18,0,0,0,4,0,126.809190689232,37.0516026516638,0,다바385950
늘봄초등학교병설유치원,공립(병설),20210303,58,7,12,15,0,0,127.109838571019,37.2174853260613,34,다사653132
늘푸른유치원,사립(사인),19950221,80,30,18,32,0,0,126.995584735981,37.223448075131,80,다사552139
능동초등학교병설유치원,공립(병설),20080301,58,4,8,4,0,0,127.058872248912,37.2133147421318,16,다사608128
다온유치원,사립(사인),20120130,256,71,66,96,14,0,126.97567635847,37.2250787783638,233,다사534141
다일유치원,사립(사인),20070307,117,7,15,22,0,0,127.036303346363,37.2191624712524,44,다사588134
대양초등학교병설유치원,공립(병설),20170901,58,13,12,19,0,0,126.8049527999,37.264342956,44,다사383186
도담유치원,사립(사인),20180307,154,36,40,55,0,0,127.1269833719,37.1901243598,131,다사668102
도이초등학교병설유치원,공립(병설),20081001,58,10,11,10,0,0,126.926116410859,37.132633629995,31,다사490039
동산숲유치원,사립(사인),20110301,169,9,23,24,0,0,126.943347744275,37.1358463982844,56,다사505042
동실유치원,사립(사인),20070302,128,19,23,25,0,0,127.042885973105,37.2084901018352,67,다사594122
동양초등학교병설유치원,공립(병설),20050301,38,0,0,9,9,0,126.822190043337,37.20699307841,9,다사398122
동탄국제유치원,사립(사인),20171023,512,190,121,131,0,0,127.1117252494,37.1751173564,442,다사655085
동탄꿈의유치원,사립(사인),20070301,588,75,71,99,0,0,127.077248960584,37.1969879008738,245,다사624109
동탄목동초등학교병설유치원,공립(병설),20190306,58,7,12,17,0,0,127.12452262891956,37.18951785983508,36,다사666101
동탄사관유치원,사립(사인),20200501,218,33,72,57,0,0,127.11073702530308,37.167313338190056,162,다사654076
동탄에이스유치원,사립(사인),20240501,114,7,8,0,0,0,127.094183044595,37.1639263414754,15,다사639073
동탄유치원,공립(단설),20170901,224,51,56,61,0,12,127.0906970127,37.1915236905,168,다사636103
동탄이화유치원,사립(사인),20080415,169,28,45,43,0,0,127.052396937602,37.2089817420592,116,다사602123
동탄중앙초등학교병설유치원,공립(병설),20150309,58,3,9,20,0,0,127.111288146587,37.1992020522865,32,다사655112
동탄창의나라유치원,사립(사인),20160901,448,70,60,63,0,0,127.1114801584,37.210619058,193,다사655124
