﻿bis_id,stn_nm,lon,lat,grid_gid,link_id
GGB233001415,양지말입구,126.7157667,37.2052833,다사304121,476341251
GGB233001416,주곡1리입구,126.8188167,37.1164833,다사394021,477240398
GGB233001417,주곡2리(회차),126.8044333,37.1142667,다사382019,477240417
GGB233001418,장안9리입구,126.8545833,37.0606333,다바426959,477141473
GGB233001419,장안6리,126.85635,37.0523667,다바427950,477143442
GGB233001420,장안3리,126.8520167,37.0417333,다바423938,477141959
GGB233001421,장안8리,126.8465833,37.0379167,다바418934,477141523
GGB233001422,장명초분교,126.8440167,37.03795,다바416934,477141523
GGB233001423,장안제일교회,126.8432333,37.0346333,다바415931,477141523
GGB233001424,장안제일교회,126.84335,37.0347,다바416931,477141523
GGB233001425,장안4리(고잔)종점,126.8373,37.0364833,다바410933,477141523
GGB233001426,멱우2리,126.8137167,37.1020667,다사390006,477243888
GGB233001427,봉담자이프라이드시티,126.9270333,37.2259667,다사491142,478341626
GGB233001428,장안9리입구,126.8544667,37.0606,다바426959,477141473
GGB233001429,장명초분교,126.8438667,37.0374833,다바416934,477141523
GGB233001430,장안8리,126.8466,37.0377833,다바418934,477141523
GGB233001431,장안3리,126.8521,37.0416,다바423938,477141959
GGB233001432,장안6리.물구리,126.8564667,37.0523333,다바427950,477143442
GGB233001433,인제카센터,126.7656333,37.0367667,다바346933,477146088
GGB233001434,조암시장,126.8156167,37.0815333,다바391983,477148239
GGB233001435,화성시청,126.8284833,37.1978333,다사404112,477351762
GGB233001436,이주단지,127.0641167,37.2117667,다사613126,571365070
GGB233001437,개나리공원,127.0677167,37.21135,다사616125,571368756
GGB233001438,개나리공원,127.06755,37.2117,다사616126,571365088
GGB233001439,이주단지,127.0653167,37.2119,다사614126,571364706
GGB233001440,발안공단로4길교차로,126.89965,37.0844333,다바466985,478141300
GGB233001441,공청2,126.94505,37.2276667,다사507144,478358233
GGB233001442,송산교입구,127.02565,37.2071833,다사579121,2024002167
GGB233001443,송산교차로,126.9877667,37.1067667,다사544010,478255769
GGB233001444,외골,126.9683,37.154,다사527062,478241725
GGB233001445,문학4리.마을회관앞,126.9718,37.1513667,다사530059,478241725
GGB233001446,요당리,126.93655,37.0684167,다바499967,478142180
GGB233001447,동탄국제고등학교,127.0794667,37.1890167,다사626101,571371014
GGB233001448,나루마을.월드반도,127.0765167,37.1908,다사624103,571351179
GGB233001449,쌍용예가,127.0718,37.1935,다사619106,571351630
GGB233001450,솔빛마을.화성동탄중앙도서관,127.0696333,37.1958167,다사618108,571351632
GGB233001451,반월2통,127.0573333,37.2194667,다사607134,571365528
GGB233001452,새강마을.화성동탄중앙도서관,127.0692,37.1956667,다사617108,571351632
GGB233001453,새강주공휴먼시아,127.0716167,37.1932333,다사619105,571351630
GGB233001454,탄요유적공원,127.0762333,37.1906167,다사623102,571351179
GGB233001455,동탄국제고등학교,127.0791833,37.1890667,다사626101,571371014
GGB233001456,아너스호텔,127.0584833,37.2201333,다사608135,571351599
GGB233001457,와우농협앞,126.9746333,37.218,다사533133,478344038
GGB233001458,힐스테이트봉담프라이드시티,126.9245667,37.2236333,다사489140,478341626
GGB233001459,힐스테이트봉담프라이드시티,126.92495,37.2239,다사489140,478341626
GGB233001460,사강3리,126.7275333,37.22685,다사314145,476340075
GGB233001461,쌍정리,126.7242333,37.2307167,다사311149,476340075
GGB233001462,쌍정2리.잿말,126.7274,37.2329333,다사314151,476340075
GGB233001463,쌍정2리.잿말,126.7251833,37.2338,다사312152,476340075
GGB233001467,쌍정2리,126.73005,37.2344667,다사317153,476342954
GGB233001468,봉담자이프라이드시티,126.9271167,37.2257667,다사491142,478341626
GGB233001469,용포1리,126.7581667,37.2294667,다사341147,477345232
GGB233001470,용포1리.당뫼,126.7535833,37.2311,다사337149,477345232
GGB233001471,용포1리.당뫼,126.7534333,37.2310333,다사337149,477345232
GGB233001472,용포2리,126.7480833,37.2317833,다사333150,477345218
GGB233001473,용포2리.영계,126.7414167,37.2322833,다사327150,476342948
GGB233001475,중송1리,126.7061,37.2241833,다사295142,476340900
GGB233001476,마산2리,126.6856667,37.2329333,다사277152,476345008
GGB233001477,고포2리,126.6794667,37.2367,다사272156,476340658
GGB233001478,고포1리,126.6672667,37.2408667,다사261161,476340658
GGB233001479,농협하나로마트,126.91065,37.1289167,다사476035,478250590
GGB233001480,수리재,126.9349667,37.1132667,다사498017,928241670
GGB233001482,육일리교차로,126.7244,37.2033333,다사311118,476340352
