﻿inst_purp,cam_cnt,inst_ym,lon,lat,grid_gid,link_id
생활방범,1,,127.18707,37.55435,다사723506,572768962
생활방범,1,201601,127.1584154,37.49162753,다사698436,572650010
교통단속,3,201812,127.1789,37.57366,다사716527,572774930
생활방범,3,,127.1451038,37.50420036,다사686450,572662151
생활방범,4,202206,127.2107436,37.54814512,다사744499,572754764
생활방범,4,201806,127.1891093,37.55647048,다사725508,572768966
생활방범,5,201612,127.1845264,37.55948792,다사721511,572763806
생활방범,2,201311,127.2111684,37.54165074,다사744491,572752191
생활방범,4,201609,127.1920071,37.51370731,다사727460,572710312
생활방범,5,201707,127.1794445,37.57231601,다사716525,572765868
생활방범,5,201908,127.191302,37.57534218,다사727529,572766306
차량방범,2,200805,127.2277514,37.53650225,다사759486,572754423
쓰레기단속,2,201701,127.2011,37.53411,다사735483,572752015
생활방범,4,201506,127.1720151,37.53835984,다사710488,572767743
생활방범,5,202304,127.2127,37.5594,다사746511,572753342
생활방범,4,201806,127.1830132,37.5556308,다사720507,572767032
생활방범,5,202307,127.188187,37.549224,다사724500,572782661
생활방범,5,201311,127.2091203,37.53798126,다사743487,572746801
재난재해,1,,127.1931,37.5056,다사728451,572753535
생활방범,3,201506,127.1899953,37.54281443,다사726493,572762354
생활방범,3,201311,127.2316072,37.49663886,다사762441,572646851
재난재해,1,,127.214234,37.53716,다사747486,572781657
생활방범,4,201202,127.2011746,37.54088885,다사736491,572710217
생활방범,5,202105,127.2074213,37.54902752,다사741500,572754787
생활방범,4,202105,127.2714562,37.52673276,다사798475,573711523
생활방범,5,,127.1608301,37.5119282,다사700459,572774882
생활방범,3,,127.1554303,37.4754946,다사695418,572661730
쓰레기단속,1,202206,127.186607,37.547687,다사723498,572772961
생활방범,3,,127.1808003,37.58120341,다사718535,572757039
쓰레기단속,1,201701,127.204,37.54018,다사738490,572752211
쓰레기단속,1,201801,127.2115,37.54098,다사745491,572752191
생활방범,5,201506,127.2160402,37.54466102,다사749495,572765220
교통단속,1,201812,127.172705,37.544472,다사710495,572765524
생활방범,5,201906,127.2082813,37.54098045,다사742491,572778972
다목적,1,202210,127.1991,37.5378,다사734487,572742219
생활방범,5,201806,127.1945389,37.57341449,다사730527,572769513
쓰레기단속,1,201801,127.2115,37.54098,다사745491,572752191
쓰레기단속,1,201701,127.2205,37.542,다사753492,572755726
교통단속,1,202011,127.160672,37.48566,다사700429,572666539
생활방범,4,201806,127.1825848,37.5590853,다사719511,572763806
생활방범,5,201707,127.1841091,37.57884148,다사721533,572756902
생활방범,4,,127.1858435,37.56941632,다사722522,572765878
생활방범,4,201506,127.1987337,37.54487846,다사733495,572742405
교통단속,1,202212,127.20096,37.53214,다사735481,572752003
생활방범,5,202206,127.2066657,37.53820908,다사740488,572752037
생활방범,1,201311,127.2060269,37.5374697,다사740487,572710146
생활방범,4,201311,127.1983765,37.53321987,다사733482,572763530
쓰레기단속,1,201701,127.2266,37.52153,다사758469,572767338
생활방범,4,202206,127.2297974,37.5322899,다사761481,572752939
생활방범,3,,127.1836155,37.56302978,다사720515,572766990
다목적,1,202206,127.1732,37.5288,다사711477,572769015
교통단속,1,201807,127.190565,37.566208,다사726519,572767227
생활방범,5,202206,127.2130811,37.53959278,다사746489,572746567
생활방범,3,202105,127.1635805,37.51653568,다사702464,572748244
생활방범,3,201012,127.2026881,37.53497877,다사737484,572746753
생활방범,4,201506,127.2339283,37.49320435,다사764438,572611257
쓰레기단속,2,201901,127.2019,37.54876,다사736499,572756097
생활방범,4,201311,127.2141955,37.5335489,다사747482,572749501
교통단속,1,202007,127.17808,37.57202,다사715525,572774930
생활방범,6,201606,127.2129662,37.54115329,다사746491,572753023
생활방범,5,201806,127.1928368,37.56303813,다사728515,572775141
생활방범,4,201311,127.1978882,37.54384421,다사733494,572773619
생활방범,4,201111,127.2108571,37.53722994,다사744486,572746781
생활방범,5,201704,127.2125614,37.54325241,다사746493,572752206
생활방범,5,201806,127.1945389,37.57341449,다사730527,572769513
생활방범,4,202206,127.2137584,37.55019023,다사747501,572756933
쓰레기단속,1,201701,127.1748,37.53844,다사712488,572769156
교통단속,1,202212,127.17808,37.57202,다사715525,572774930
생활방범,5,202105,127.1851502,37.54976675,다사721500,572772959
생활방범,3,201311,127.1895967,37.5223229,다사725470,572752497
생활방범,4,201012,127.2158354,37.53742009,다사748487,572762314
생활방범,4,201709,127.1856182,37.5603837,다사722512,572768071
생활방범,4,201012,127.2056127,37.5452645,다사739495,572774710
생활방범,4,202106,127.1941904,37.53882592,다사729488,572762348
쓰레기단속,1,201701,127.2004,37.54333,다사735493,572746609
생활방범,3,201411,127.1887439,37.53467354,다사725484,572704457
생활방범,5,201704,127.2115254,37.54442074,다사745494,572767039
차량방범,4,201205,127.1848492,37.55134421,다사721502,572767964
생활방범,4,,127.2362341,37.54305964,다사766493,572750398
교통단속,1,201908,127.166758,37.53135,다사705480,572767135
생활방범,5,202005,127.1788434,37.57655745,다사716530,572768596
쓰레기단속,2,202101,127.2111,37.53808,다사744487,572746801
생활방범,3,,127.1610261,37.50410731,다사700450,572772905
생활방범,3,201311,127.1989898,37.55152715,다사734502,572755365
생활방범,3,201808,127.1758395,37.52294902,다사713471,572750493
생활방범,4,201311,127.1874473,37.53480559,다사723484,572755387
생활방범,6,201111,127.2035319,37.54269628,다사738493,572782359
생활방범,5,201806,127.1874231,37.55555769,다사723507,572780038
생활방범,4,201707,127.1863913,37.56811428,다사723521,572765896
재난재해,1,,127.2021,37.5313,다사736480,572704417
생활방범,4,201709,127.1856182,37.56038371,다사722512,572768071
재난재해,1,,127.1799,37.5225,다사717470,572748310
생활방범,4,202105,127.2369112,37.5037992,다사767449,572742168
생활방범,3,201012,127.2132042,37.54040314,다사746490,572753025
생활방범,3,202206,127.2024605,37.53886904,다사737488,572710217
생활방범,4,201111,127.210728,37.53602292,다사744485,572710145
생활방범,6,201906,127.1561023,37.51468275,다사696462,572768761
생활방범,4,201706,127.229099,37.53119171,다사760480,572752939
생활방범,5,201908,127.1983218,37.56503852,다사733517,572778890
생활방범,3,201311,127.1981753,37.52551221,다사733473,572750471
생활방범,3,201012,127.2075597,37.5372542,다사741486,572710166
쓰레기단속,1,201701,127.1623,37.52529,다사701473,572772585
시설물관리,2,202011,127.1777317,37.52128876,다사715469,572748310
생활방범,1,201311,127.2094175,37.53810088,다사743487,572746801
생활방범,5,201111,127.2030788,37.54301239,다사737493,572754431
생활방범,4,201808,127.22893,37.50807732,다사760454,572743253
