gbn,addr,inst_plc,fac_hght,fac_wdth,sprtn,cntns,lon,lat,hght_class,grid_gid
,경기도 화성시 향남읍 하길리 1473번지 서봉마을모아엘가,도시계획도로,7.5,3.6,N,N,126.9126399,37.1127176,평균초과,다사478017
,경기도 화성시 양감면 용소리 845-3번지,도시계획도로,7.5,3.6,N,N,126.9758528,37.07972454,평균초과,다바534980
,경기도 화성시 우정읍 이화리 1192-5,도시계획도로,7.5,3.6,N,N,126.7889728,37.04284328,평균초과,다바367940
,경기도 화성시 우정읍 이화리 538,도시계획도로,7.5,3.6,N,N,126.7901675,37.04171009,평균초과,다바368939
,경기도 화성시 장안면 독정리 1247,도시계획도로,7.5,3.6,N,N,126.8708588,37.07642802,평균초과,다바440977
,경기도 화성시 장안면 독정리 1289,도시계획도로,7.5,3.6,N,N,126.8742409,37.07811671,평균초과,다바443979
,경기도 화성시 장안면 독정리 1838번지,도시계획도로,7.5,3.6,N,N,126.8667746,37.06395838,평균초과,다바437963
,경기도 화성시 향남읍 구문천리 657,시도59호선,7.5,3.6,N,N,126.8880735,37.08539343,평균초과,다바456987
,경기도 화성시 향남읍 구문천리 산 74-10,시도59호선,7.5,3.6,N,N,126.8889943,37.08634042,평균초과,다바456988
,경기도 화성시 향남읍 상신리 753-3,도시계획도로,7.5,3.6,N,N,126.9128206,37.10109316,평균초과,다사478004
,경기도 화성시 향남읍 화리현리 247-9,시도10호선,7.5,3.6,N,N,126.9320713,37.10970227,평균초과,다사495013
,경기도 화성시 능동 1083번지 동탄능동마을 주공아파트,도시계획도로,8.0,3.6,Y,N,127.0612362,37.21292453,평균초과,다사610127
,경기도 화성시 석우동 20-14번지,비법정도로,8.0,3.6,Y,N,127.0700996,37.22199769,평균초과,다사618137
,경기도 화성시 장안면 석포리 777-86,농도 303호선,7.5,3.6,N,N,126.8082257,37.14488475,평균초과,다사385053
,경기도 화성시 매송면 어천리 219-5,도시계획도로,7.5,3.6,N,N,126.9196515,37.2527346,평균초과,다사485172
,경기도 화성시 마도면 고모리 594-3,시도53호선,7.5,3.6,N,N,126.7470568,37.17324148,평균초과,다사331085
,경기도 화성시 우정읍 이화리 1047-3번지,시도 79호선,7.5,3.6,N,N,126.8016526,37.03394526,평균초과,다바378930
,경기도 화성시 향남읍 행정리 448-11번지,도시계획도로,7.5,3.6,N,N,126.913667,37.12840725,평균초과,다사479034
,경기도 화성시 송산면 고정리 1018-1,시도 72 호선,7.5,3.6,N,N,126.7469769,37.24028738,평균초과,다사332159
