grid_gid,accident_cnt,crosswalk_cnt,child_zone_cnt,school_cnt,kindergarten_cnt,kindergarten_child_cnt,daycare_cnt,bus_stop_cnt,cctv_cnt,cctv_cam_cnt,speedbump_cnt,speedbump_hght_nan,speedbump_hght_below,speedbump_hght_above
다사672368,24,1,0,0,0,0,0,0,1,5,0,0,0,0
다사671371,21,1,0,0,0,0,0,0,3,15,0,0,0,0
다사670419,20,5,0,0,0,0,0,0,1,2,0,0,0,0
다사654462,19,2,0,0,0,0,0,0,1,5,3,0,3,0
다사696384,18,1,0,0,0,0,0,0,1,1,0,0,0,0
다사671372,18,1,0,0,0,0,0,0,2,4,1,1,0,0
다사692382,17,0,0,0,0,0,0,0,1,1,0,0,0,0
다사627459,17,5,0,0,0,0,0,0,4,5,0,0,0,0
다사673371,16,0,0,0,0,0,0,1,1,6,0,0,0,0
다사672367,16,0,0,0,0,0,0,0,1,1,0,0,0,0
다사722501,15,3,0,0,0,0,0,0,1,1,0,0,0,0
다사623120,15,4,0,0,0,0,0,0,9,9,0,0,0,0
다사671358,14,1,0,0,0,0,0,1,0,0,0,0,0,0
다사672369,14,0,0,0,0,0,0,3,1,5,0,0,0,0
다사646460,14,7,0,0,0,0,0,0,0,0,0,0,0,0
다사658443,14,4,0,0,0,0,0,0,0,0,0,0,0,0
다사652451,14,5,0,0,0,0,0,0,0,0,0,0,0,0
다사640459,14,1,0,0,0,0,0,1,1,4,0,0,0,0
다사659112,14,2,0,0,0,0,0,0,5,5,0,0,0,0
다사616111,14,4,0,0,0,0,0,0,5,5,0,0,0,0
다사653311,13,0,0,0,0,0,0,2,1,1,0,0,0,0
다사647359,13,0,0,0,0,0,0,2,0,0,3,3,0,0
다사652463,13,3,0,0,0,0,0,1,0,0,0,0,0,0
다사758483,13,2,0,0,0,0,0,1,0,0,0,0,0,0
다사651075,13,1,0,0,0,0,0,0,0,0,0,0,0,0
다사587122,13,4,0,0,0,0,0,0,10,10,0,0,0,0
다사638123,13,3,0,0,0,0,0,0,5,5,0,0,0,0
다사649279,12,0,0,0,0,0,0,0,1,1,0,0,0,0
다사663325,12,0,0,0,0,0,0,1,1,1,0,0,0,0
다사670379,12,0,0,0,0,0,0,2,3,7,0,0,0,0
다사682376,12,1,0,0,0,0,0,0,2,6,1,0,0,1
다사646461,12,2,0,0,0,0,0,2,0,0,0,0,0,0
다사661474,12,2,0,0,0,0,0,0,0,0,1,0,1,0
다사644463,12,2,0,0,0,0,0,0,0,0,0,0,0,0
다사644123,12,2,0,0,0,0,0,1,5,5,0,0,0,0
다사671345,11,0,0,0,0,0,0,0,0,0,0,0,0,0
다사674380,11,1,0,0,0,0,0,0,4,4,0,0,0,0
