lon,lat,link_id,total,distance_m,acc_yr,acc_mon,week_type,acc_time,sgg,acc_type,violation,road_type,road_sttus,weather,attckr_vhcle,victim_vhcle,injury_svrity,age_group,dprs_cnt,sep_cnt,slp_cnt,inj_aplcnt_cnt
127.13018781188265,37.430634929452765,572670614,4,84.8836,2024,4,주중,15시,경기도 성남시 중원구,차대사람 - 기타,안전운전불이행,교차로 - 교차로부근, 건조,맑음,승합,보행자,경상,61-64세,0,0,1,0
127.13022167595717,37.43064404911515,572670614,4,87.0349,2024,7,주중,04시,경기도 성남시 중원구,차대차 - 충돌,교차로운행방법위반,교차로 - 교차로안, 건조,맑음,승용,승용,경상,65세 이상,0,0,1,0
127.13027092132673,37.4298239542808,572670614,4,35.67,2024,7,주중,21시,경기도 성남시 중원구,차대사람 - 기타,안전운전불이행,단일로 - 기타, 젖음/습기,비,승용,보행자,경상,51-60세,0,0,1,0
127.13027105431783,37.429796913523155,572670614,4,36.5781,2024,12,주중,16시,경기도 성남시 중원구,차대차 - 기타,안전운전불이행,교차로 - 교차로안, 건조,맑음,승용,이륜,경상,21-30세,0,0,1,0
127.12940947367125,37.430317011538605,572671926,4,13.6869,2024,4,주중,20시,경기도 성남시 중원구,차대차 - 충돌,안전거리미확보,교차로 - 교차로부근, 건조,맑음,승용,승합,경상,51-60세,0,0,2,0
127.12946656500596,37.4302000121035,572671926,4,0.7742,2024,5,주중,12시,경기도 성남시 중원구,차대사람 - 횡단중,안전운전불이행,기타 - 기타, 건조,맑음,승용,보행자,중상,65세 이상,0,1,0,0
127.12955663157481,37.43027240418104,572671926,4,8.911,2024,8,주말,00시,경기도 성남시 중원구,차대차 - 충돌,신호위반,교차로 - 교차로부근, 건조,맑음,승용,이륜,중상,31-40세,0,1,0,0
127.12953229370322,37.43062386311913,572671926,4,44.7946,2024,12,주중,14시,경기도 성남시 중원구,차대사람 - 횡단중,보행자보호의무위반,교차로 - 교차로횡단보도내, 건조,맑음,자전거,보행자,중상,61-64세,0,1,0,0
127.12952387826346,37.430037944713824,572672170,5,0.5133,2024,1,주중,03시,경기도 성남시 중원구,차대사람 - 횡단중,보행자보호의무위반,교차로 - 교차로횡단보도내, 건조,맑음,승용,보행자,중상,41-50세,0,1,0,0
127.12952427804542,37.42995682245028,572672170,5,0.6897,2024,2,주중,11시,경기도 성남시 중원구,차대차 - 기타,안전운전불이행,교차로 - 교차로안, 건조,맑음,승용,승용,경상,65세 이상,0,0,1,0
127.12943318996957,37.43009174279588,572672170,5,8.6584,2024,8,주중,19시,경기도 성남시 중원구,차대차 - 기타,기타,교차로 - 교차로안, 건조,맑음,자전거,승용,상해없음,51-60세,0,0,0,1
127.12963659455077,37.4301013939927,572672170,5,13.9161,2024,9,주말,15시,경기도 성남시 중원구,차대차 - 기타,신호위반,교차로 - 교차로안, 건조,맑음,화물,자전거,경상,31-40세,0,0,1,0
127.12956908911727,37.430038086400785,572672170,5,5.5001,2024,10,주중,18시,경기도 성남시 중원구,차대차 - 충돌,안전운전불이행,기타 - 기타, 건조,기타,승용,승용,경상,31-40세,0,0,2,0
127.12928509891562,37.430325635271636,572672173,2,3.8169,2024,2,주중,16시,경기도 성남시 중원구,차대차 - 추돌,안전거리미확보,교차로 - 교차로부근, 건조,맑음,승용,승용,경상,31-40세,0,0,2,0
127.12938580166276,37.43053326668337,572672173,2,29.1894,2024,12,주중,19시,경기도 성남시 중원구,차대차 - 충돌,안전거리미확보,단일로 - 기타, 건조,기타,승용,승용,경상,51-60세,0,0,1,0
127.12957011065441,37.42983077394623,572672326,3,2.2894,2024,5,주중,14시,경기도 성남시 중원구,차대차 - 충돌,교차로운행방법위반,교차로 - 교차로안, 건조,맑음,승용,승용,경상,31-40세,0,0,1,0
127.129761989908,37.429885457430174,572672326,3,12.4232,2024,7,주말,03시,경기도 성남시 중원구,차대차 - 충돌,신호위반,교차로 - 교차로안, 건조,맑음,승용,자전거,중상,31-40세,0,1,0,0
127.12962635761997,37.42988503254021,572672326,3,5.862,2024,11,주중,07시,경기도 성남시 중원구,차대사람 - 횡단중,안전운전불이행,교차로 - 교차로횡단보도내, 건조,맑음,이륜,보행자,경상,21-30세,0,0,1,0
127.12947960034589,37.4298485177272,572672328,4,0.8557,2024,7,주중,19시,경기도 성남시 중원구,차대차 - 충돌,안전거리미확보,교차로 - 교차로안, 건조,맑음,승용,승용,상해없음,51-60세,0,0,2,0
127.12943452289866,37.42982133525164,572672328,4,4.1282,2024,9,주중,19시,경기도 성남시 중원구,차대차 - 기타,교차로운행방법위반,교차로 - 교차로안, 건조,맑음,승용,승용,중상,51-60세,0,1,0,0
127.12928776584387,37.42978482020122,572672328,4,15.2065,2024,11,주중,07시,경기도 성남시 중원구,차대차 - 기타,기타,교차로 - 교차로안, 건조,맑음,승용,승합,상해없음,51-60세,0,0,1,0
127.1293890899952,37.42986626143858,572672328,4,1.9894,2024,11,주말,21시,경기도 성남시 중원구,차대차 - 충돌,안전운전불이행,교차로 - 교차로안, 건조,맑음,승용,승용,상해없음,51-60세,0,0,3,0
127.12928625459328,37.43009128208057,572672331,1,0.2093,2024,9,주말,11시,경기도 성남시 중원구,차대차 - 충돌,안전운전불이행,단일로 - 기타, 건조,맑음,승용,승용,상해없음,51-60세,0,0,2,0
127.12929817957786,37.42996512734286,572672332,1,0.0979,2024,1,주말,03시,경기도 성남시 중원구,차대차 - 충돌,신호위반,교차로 - 교차로안, 건조,흐림,승용,승용,경상,31-40세,0,0,1,0
