link_id,road_name,road_rank,length_km,accident_cnt,epdo_total,epdo_avg,ALL_AADT_total,exposure,epdo_rate,epdo_rank,accident_uids
571382425,,107,0.02,2,77.0,38.5,29.0,0.58,132758620.6897,1,2024|2024
571773347,,104,0.027,1,8.0,8.0,10.0,0.27,29629629.6296,2,2024
571773345,,104,0.029,2,75.0,37.5,97.0,2.813,26661926.7686,3,2024|2024
571679018,,107,0.015,1,69.0,69.0,399.0,5.985,11528822.0551,4,2024
572768996,,107,0.018,1,69.0,69.0,576.0,10.368,6655092.5926,5,2024
571721115,,104,0.025,1,69.0,69.0,896.5,22.4125,3078639.1523,6,2024
572655472,,107,0.011,1,69.0,69.0,2449.5,26.9445,2560819.4622,7,2024
478240988,3.1만세로,107,0.007,1,69.0,69.0,3998.5,27.9895,2465210.1681,8,2024
572642268,마지로,106,0.027,1,391.0,391.0,6089.5,164.4165,2378106.8202,9,2024
571379477,,107,0.004,1,69.0,69.0,7602.5,30.41,2268990.4637,10,2024
572767390,신장동로,107,0.019,1,391.0,391.0,9278.0,176.282,2218037.0089,11,2024
572670626,,107,0.023,1,8.0,8.0,157.5,3.6225,2208419.5997,12,2024
572761834,창우로,107,0.006,1,69.0,69.0,5869.0,35.214,1959447.9468,13,2024
571720158,풍성로26길,104,0.009,2,77.0,38.5,4502.0,40.518,1900389.9501,14,2024|2024
476242406,궁평고잔길,107,0.03,1,69.0,69.0,1381.0,41.43,1665459.8117,15,2024
572773981,,107,0.042,1,391.0,391.0,7091.0,297.822,1312864.7313,16,2024
476345508,제부로,107,0.015,1,69.0,69.0,3663.0,54.945,1255801.2558,17,2024
478248720,발안만세길,107,0.044,1,69.0,69.0,1383.0,60.852,1133898.6393,18,2024
572781822,,107,0.013,1,69.0,69.0,4768.0,61.984,1113190.5008,19,2024
572541035,양현로,107,0.046,1,391.0,391.0,7792.0,358.432,1090862.423,20,2024
477151506,3.1만세로,107,0.034,1,69.0,69.0,1933.0,65.722,1049876.7536,21,2024
478240982,3.1만세로,107,0.088,2,392.0,196.0,4455.5,392.084,999785.7602,22,2024|2024
572646970,희망로,107,0.062,1,391.0,391.0,6408.0,397.296,984152.8734,23,2024
478243023,,107,0.013,1,69.0,69.0,5472.0,71.136,969973.0094,24,2024
478454671,서해로,107,0.029,1,69.0,69.0,2543.0,73.747,935631.2799,25,2024
572650629,,107,0.012,1,69.0,69.0,6319.5,75.834,909882.1109,26,2024
478240559,시청로,106,0.006,1,69.0,69.0,12727.0,76.362,903590.7912,27,2024
571682058,새말로,104,0.018,1,69.0,69.0,4383.0,78.894,874591.2237,28,2024
478256247,밤뒤길,107,0.048,1,69.0,69.0,1652.0,79.296,870157.385,29,2024
571743889,백제고분로,104,0.006,2,77.0,38.5,15723.0,94.338,816214.0389,30,2024|2024
572640188,원터길,107,0.074,1,391.0,391.0,6776.0,501.424,779779.1889,31,2024
572672055,,104,0.019,1,69.0,69.0,4783.0,90.877,759268.0216,32,2024
571543395,수내로,107,0.037,1,391.0,391.0,14102.0,521.774,749366.584,33,2024
572670944,,107,0.018,1,69.0,69.0,5208.5,93.753,735976.4488,34,2024
572775496,,107,0.02,3,78.0,26.0,5306.5,106.13,734947.7056,35,2024|2024|2024
478350502,,107,0.032,1,69.0,69.0,2974.0,95.168,725033.6247,36,2024
572659350,,104,0.124,3,407.0,135.6667,4582.5,568.23,716259.2612,37,2024|2024|2024
477353475,화성로1447번길,107,0.034,1,69.0,69.0,2929.0,99.586,692868.4755,38,2024
572662617,둔촌대로,107,0.023,4,154.0,38.5,9673.5,222.4905,692164.3845,39,2024|2024|2024|2024
571540684,대왕판교로,105,0.021,1,391.0,391.0,27136.5,569.8665,686125.6101,40,2024
571556938,,107,0.038,3,146.0,48.6667,5719.5,217.341,671755.4442,41,2024|2024|2024
572670368,,107,0.023,5,101.0,20.2,6618.5,152.2255,663489.3628,42,2024|2024|2024|2024|2024
478242064,3.1만세로,107,0.033,2,69.0,34.5,3153.0,104.049,663149.0932,43,2024|2024
477241436,장안로,107,0.05,1,69.0,69.0,2091.0,104.55,659971.3056,44,2024
572661074,은행로25번길,107,0.026,1,69.0,69.0,4233.5,110.071,626868.1124,45,2024
571772322,올림픽로,104,0.006,2,77.0,38.5,20684.0,124.104,620447.3667,46,2024|2024
571541963,,107,0.039,2,77.0,38.5,3286.5,128.1735,600748.2046,47,2024|2024
572767212,미사강변동로78번길,107,0.066,2,397.0,198.5,10028.5,661.881,599805.7053,48,2024|2024
572780515,,107,0.062,6,229.0,38.1667,6163.0,382.106,599310.1391,49,2024|2024|2024|2024|2024|2024
571648579,송파대로27길,104,0.144,2,460.0,230.0,5367.5,772.92,595145.6813,50,2024|2024
571682398,대왕판교로,105,0.019,1,69.0,69.0,6104.0,115.976,594950.6795,51,2024
477141201,조암남로,107,0.06,2,77.0,38.5,2173.0,130.38,590581.3775,52,2024|2024
572642975,,104,0.027,5,101.0,20.2,6378.0,172.206,586506.8581,53,2024|2024|2024|2024|2024
572672205,성남대로,107,0.019,2,77.0,38.5,6993.0,132.867,579526.8953,54,2024|2024
571344676,병점동로,107,0.023,1,69.0,69.0,5271.0,121.233,569151.9636,55,2024
572646874,시민로,107,0.05,3,146.0,48.6667,5149.0,257.45,567100.4078,56,2024|2024|2024
571390071,태안로,107,0.021,1,69.0,69.0,5810.0,122.01,565527.4158,57,2024
571346907,동탄공원로1길,107,0.045,2,138.0,69.0,5425.0,244.125,565284.1782,58,2024|2024
571362096,동탄나루로,107,0.02,1,69.0,69.0,6114.5,122.29,564232.5619,59,2024
572671926,성남대로,103,0.021,1,69.0,69.0,5854.0,122.934,561276.7827,60,2024
477342104,,107,0.037,1,69.0,69.0,3394.0,125.578,549459.3002,61,2024
572782528,하남대로,103,0.022,2,77.0,38.5,6618.0,145.596,528860.683,62,2024|2024
572767824,대청로59번길,107,0.017,1,69.0,69.0,7813.5,132.8295,519462.9205,63,2024
572648276,산성대로,107,0.027,3,85.0,28.3333,6215.0,167.805,506540.3295,64,2024|2024|2024
571361650,,107,0.02,2,77.0,38.5,7649.5,152.99,503300.8693,65,2024|2024
571732118,올림픽로35다길,104,0.082,1,391.0,391.0,9600.0,787.2,496697.1545,66,2024
571716308,,104,0.021,2,77.0,38.5,7407.0,155.547,495027.2265,67,2024|2024
571385278,10용사로,107,0.03,1,69.0,69.0,4667.0,140.01,492821.9413,68,2024
572669751,,107,0.013,6,42.0,7.0,6599.5,85.7935,489547.5764,69,2024|2024|2024|2024|2024|2024
572672206,광명로,107,0.022,3,85.0,28.3333,7921.0,174.262,487771.2869,70,2024|2024|2024
571365076,,107,0.028,1,69.0,69.0,5076.0,142.128,485477.8791,71,2024
572781799,대청로,107,0.017,1,69.0,69.0,8484.5,144.2365,478380.9923,72,2024
571682350,대왕판교로,105,0.024,1,69.0,69.0,6044.0,145.056,475678.3587,73,2024
571370599,,107,0.031,5,223.0,44.6,15125.5,468.8905,475590.7829,74,2024|2024|2024|2024|2024
477343054,역골중앙로,107,0.048,1,69.0,69.0,3120.0,149.76,460737.1795,75,2024
571766781,,104,0.015,1,8.0,8.0,1158.0,17.37,460564.1911,76,2024
572672328,둔촌대로,107,0.026,3,71.0,23.6667,6136.0,159.536,445040.6178,77,2024|2024|2024
571355858,경기대로,107,0.005,2,16.0,8.0,7245.5,36.2275,441653.4401,78,2024|2024
571361632,,107,0.027,2,77.0,38.5,6505.0,175.635,438409.2009,79,2024|2024
572782166,마천로,104,0.018,1,69.0,69.0,8838.5,159.093,433708.5855,80,2024
572543496,분당로,107,0.091,2,399.0,199.5,10135.0,922.285,432621.1529,81,2024|2024
571652393,새말로,104,0.008,3,85.0,28.3333,24901.5,199.212,426681.1236,82,2024|2024|2024
572672100,새말로,104,0.024,2,70.0,35.0,6846.0,164.304,426039.5365,83,2024|2024
571754402,오금로,104,0.172,1,391.0,391.0,5367.0,923.124,423561.7317,84,2024
571345642,병점3로,107,0.143,1,391.0,391.0,6523.5,932.8605,419140.9112,85,2024
571649761,송파대로30길,104,0.037,1,69.0,69.0,4557.5,168.6275,409185.9276,86,2024
571544656,구미로9번길,107,0.2,1,391.0,391.0,4793.0,958.6,407886.5011,87,2024
476240702,제부로,107,0.05,1,69.0,69.0,3386.0,169.3,407560.5434,88,2024
571741590,올림픽로37길,104,0.03,2,77.0,38.5,6311.0,189.33,406697.301,89,2024|2024
478344306,동화역말길,107,0.019,1,69.0,69.0,9133.5,173.5365,397610.8773,90,2024
477341032,남양시장로,103,0.079,1,69.0,69.0,2241.5,177.0785,389657.6942,91,2024
477351463,마도공단로1길,107,0.022,1,69.0,69.0,8074.0,177.628,388452.271,92,2024
478346626,,107,0.053,2,70.0,35.0,3449.5,182.8235,382882.9445,93,2024|2024
572655880,산성대로,107,0.036,3,146.0,48.6667,10626.0,382.536,381663.4251,94,2024|2024|2024
572763876,아리수로,107,0.026,5,162.0,32.4,16373.0,425.698,380551.4708,95,2024|2024|2024|2024|2024
572610972,광명로,107,0.022,4,93.0,23.25,11207.0,246.554,377199.3154,96,2024|2024|2024|2024
571347799,동탄공원로2길,107,0.038,1,69.0,69.0,4832.0,183.616,375784.2454,97,2024
571682234,문정로,104,0.023,2,70.0,35.0,8125.5,186.8865,374558.89,98,2024|2024
572662627,,107,0.029,1,69.0,69.0,6511.0,188.819,365429.3265,99,2024
572672103,,104,0.031,2,77.0,38.5,6855.5,212.5205,362317.9881,100,2024|2024
571555708,,107,0.162,1,391.0,391.0,6668.0,1080.216,361964.6441,101,2024
572646897,산성대로,107,0.007,1,69.0,69.0,27443.0,192.101,359186.0532,102,2024
478353648,봉영로,107,0.088,2,77.0,38.5,2486.0,218.768,351971.0378,103,2024|2024
572611422,산성대로372번길,107,0.018,1,69.0,69.0,11086.5,199.557,345765.8714,104,2024
571370640,,107,0.05,2,77.0,38.5,4463.5,223.175,345020.7236,105,2024|2024
572610123,양산로,104,0.105,9,577.0,64.1111,16152.5,1696.0125,340209.7567,106,2024|2024|2024|2024|2024|2024|2024|2024|2024
2024000532,,107,0.109,3,146.0,48.6667,3981.5,433.9835,336418.3201,107,2024|2024|2024
571654220,중대로,104,0.009,1,69.0,69.0,22950.0,206.55,334059.5497,108,2024
571665596,법원로9길,104,0.047,1,69.0,69.0,4404.0,206.988,333352.6581,109,2024
477343050,역골로,107,0.047,2,70.0,35.0,4476.0,210.372,332743.9013,110,2024|2024
572350207,,107,0.053,3,85.0,28.3333,4820.5,255.4865,332698.5966,111,2024|2024|2024
571344658,병점1로,107,0.021,1,69.0,69.0,9901.5,207.9315,331840.0531,112,2024
572610973,광명로,107,0.024,4,93.0,23.25,11680.0,280.32,331763.6986,113,2024|2024|2024|2024
478256167,,107,0.556,1,391.0,391.0,2123.0,1180.388,331247.0137,114,2024
477352164,남양로,103,0.036,2,138.0,69.0,11623.0,418.428,329805.8447,115,2024|2024
477343316,절골로,107,0.035,1,69.0,69.0,5996.5,209.8775,328763.2071,116,2024
571383596,금곡로,107,0.039,1,69.0,69.0,5395.5,210.4245,327908.5848,117,2024
571348332,,107,0.045,1,69.0,69.0,4713.0,212.085,325341.2547,118,2024
478254518,향남로,103,0.024,1,69.0,69.0,8862.0,212.688,324418.8671,119,2024
571543461,,107,0.033,1,69.0,69.0,6519.0,215.127,320740.7717,120,2024
478149492,용소금각로,107,0.085,1,69.0,69.0,2534.0,215.39,320349.1341,121,2024
571372131,동탄대로시범길,107,0.045,2,75.0,37.5,5221.5,234.9675,319193.0799,122,2024|2024
572650991,충민로,104,0.027,1,69.0,69.0,8014.5,216.3915,318866.4989,123,2024
572765894,미사강변대로226번길,107,0.059,2,138.0,69.0,7349.5,433.6205,318250.6362,124,2024|2024
571682252,대왕판교로,105,0.015,1,69.0,69.0,14639.0,219.585,314229.114,125,2024
572774440,,107,0.028,1,69.0,69.0,7847.5,219.73,314021.754,126,2024
572659258,희망로,107,0.018,1,69.0,69.0,12263.5,220.743,312580.6934,127,2024
571371248,동부대로922번길,107,0.031,3,139.0,46.3333,14407.0,446.617,311228.6366,128,2024|2024|2024
478243282,,107,0.036,2,77.0,38.5,6881.0,247.716,310839.8327,129,2024|2024
572646410,,104,0.039,1,69.0,69.0,5732.5,223.5675,308631.6213,130,2024
