grid_gid,blockType,pred_risk,risk_grade,basis
다사723451,종합의료시설,238.42,고위험,동일유형
다사725450,종합의료시설,238.42,고위험,동일유형
다사725452,주상복합,140.47,고위험,동일유형
다사726448,주상복합,140.47,고위험,동일유형
다사726449,주상복합,140.47,고위험,동일유형
다사726451,주상복합,140.47,고위험,동일유형
다사726452,주상복합,140.47,고위험,동일유형
다사727449,주상복합,140.47,고위험,동일유형
다사727452,주상복합,140.47,고위험,동일유형
다사728449,주상복합,140.47,고위험,동일유형
다사729451,주상복합,140.47,고위험,동일유형
다사730451,주상복합,140.47,고위험,동일유형
다사730452,주상복합,140.47,고위험,동일유형
다사730462,주상복합,140.47,고위험,동일유형
다사730463,주상복합,140.47,고위험,동일유형
다사737479,주상복합,140.47,고위험,동일유형
다사724451,수도공급시설,139.09,고위험,동일유형
다사725448,수도공급시설,139.09,고위험,동일유형
다사725451,수도공급시설,139.09,고위험,동일유형
다사727450,수도공급시설,139.09,고위험,동일유형
다사732453,수도공급시설,139.09,고위험,동일유형
다사733454,수도공급시설,139.09,고위험,동일유형
다사739455,수도공급시설,139.09,고위험,동일유형
다사740454,수도공급시설,139.09,고위험,동일유형
다사740458,수도공급시설,139.09,고위험,동일유형
다사741454,수도공급시설,139.09,고위험,동일유형
다사728450,광장,133.95,고위험,동일유형
다사729449,광장,133.95,고위험,동일유형
다사729450,광장,133.95,고위험,동일유형
다사739482,광장,133.95,고위험,동일유형
다사723445,공공공지,121.95,고위험,동일유형
다사726441,공공공지,121.95,고위험,동일유형
다사731450,공공공지,121.95,고위험,동일유형
다사731451,공공공지,121.95,고위험,동일유형
다사733471,공공공지,121.95,고위험,동일유형
다사735471,공공공지,121.95,고위험,동일유형
다사745481,공공공지,121.95,고위험,동일유형
다사753480,공공공지,121.95,고위험,동일유형
다사757481,공공공지,121.95,고위험,동일유형
다사757483,공공공지,121.95,고위험,동일유형
다사723450,자족기능확보시설,121.85,고위험,동일유형
다사724452,자족기능확보시설,121.85,고위험,동일유형
다사731478,자족기능확보시설,121.85,고위험,동일유형
다사732452,자족기능확보시설,121.85,고위험,동일유형
다사732478,자족기능확보시설,121.85,고위험,동일유형
다사732479,자족기능확보시설,121.85,고위험,동일유형
다사733479,자족기능확보시설,121.85,고위험,동일유형
다사733480,자족기능확보시설,121.85,고위험,동일유형
다사734479,자족기능확보시설,121.85,고위험,동일유형
다사734480,자족기능확보시설,121.85,고위험,동일유형
다사735452,자족기능확보시설,121.85,고위험,동일유형
다사735453,자족기능확보시설,121.85,고위험,동일유형
다사735454,자족기능확보시설,121.85,고위험,동일유형
다사736453,자족기능확보시설,121.85,고위험,동일유형
다사738458,자족기능확보시설,121.85,고위험,동일유형
다사738460,자족기능확보시설,121.85,고위험,동일유형
다사738481,자족기능확보시설,121.85,고위험,동일유형
다사738483,자족기능확보시설,121.85,고위험,동일유형
다사739460,자족기능확보시설,121.85,고위험,동일유형
다사740455,자족기능확보시설,121.85,고위험,동일유형
다사742482,자족기능확보시설,121.85,고위험,동일유형
다사743482,자족기능확보시설,121.85,고위험,동일유형
다사745482,자족기능확보시설,121.85,고위험,동일유형
다사746481,자족기능확보시설,121.85,고위험,동일유형
다사746482,자족기능확보시설,121.85,고위험,동일유형
다사746483,자족기능확보시설,121.85,고위험,동일유형
다사747481,자족기능확보시설,121.85,고위험,동일유형
다사747482,자족기능확보시설,121.85,고위험,동일유형
다사747483,자족기능확보시설,121.85,고위험,동일유형
다사748481,자족기능확보시설,121.85,고위험,동일유형
다사748482,자족기능확보시설,121.85,고위험,동일유형
다사749480,자족기능확보시설,121.85,고위험,동일유형
다사749481,자족기능확보시설,121.85,고위험,동일유형
다사750480,자족기능확보시설,121.85,고위험,동일유형
다사750481,자족기능확보시설,121.85,고위험,동일유형
다사751478,자족기능확보시설,121.85,고위험,동일유형
다사751479,자족기능확보시설,121.85,고위험,동일유형
다사751480,자족기능확보시설,121.85,고위험,동일유형
다사752476,자족기능확보시설,121.85,고위험,동일유형
다사752477,자족기능확보시설,121.85,고위험,동일유형
다사752478,자족기능확보시설,121.85,고위험,동일유형
다사752479,자족기능확보시설,121.85,고위험,동일유형
다사753476,자족기능확보시설,121.85,고위험,동일유형
다사753478,자족기능확보시설,121.85,고위험,동일유형
다사753479,자족기능확보시설,121.85,고위험,동일유형
다사721443,하천,115.8,중위험,동일유형
다사721444,하천,115.8,중위험,동일유형
다사721445,하천,115.8,중위험,동일유형
다사722444,하천,115.8,중위험,동일유형
다사722445,하천,115.8,중위험,동일유형
다사725440,하천,115.8,중위험,동일유형
다사725449,하천,115.8,중위험,동일유형
다사725459,하천,115.8,중위험,동일유형
다사726442,하천,115.8,중위험,동일유형
다사727445,하천,115.8,중위험,동일유형
다사727451,하천,115.8,중위험,동일유형
다사728437,하천,115.8,중위험,동일유형
다사728451,하천,115.8,중위험,동일유형
다사728452,하천,115.8,중위험,동일유형
다사729441,하천,115.8,중위험,동일유형
다사729447,하천,115.8,중위험,동일유형
다사729448,하천,115.8,중위험,동일유형
다사729452,하천,115.8,중위험,동일유형
다사731454,하천,115.8,중위험,동일유형
다사731455,하천,115.8,중위험,동일유형
다사731456,하천,115.8,중위험,동일유형
다사731477,하천,115.8,중위험,동일유형
다사732456,하천,115.8,중위험,동일유형
다사732457,하천,115.8,중위험,동일유형
다사732458,하천,115.8,중위험,동일유형
다사732459,하천,115.8,중위험,동일유형
다사732460,하천,115.8,중위험,동일유형
다사732461,하천,115.8,중위험,동일유형
다사732477,하천,115.8,중위험,동일유형
다사733450,하천,115.8,중위험,동일유형
다사733458,하천,115.8,중위험,동일유형
다사733461,하천,115.8,중위험,동일유형
다사734457,하천,115.8,중위험,동일유형
다사734466,하천,115.8,중위험,동일유형
다사734469,하천,115.8,중위험,동일유형
다사736478,하천,115.8,중위험,동일유형
다사737455,하천,115.8,중위험,동일유형
다사738455,하천,115.8,중위험,동일유형
다사738475,하천,115.8,중위험,동일유형
다사724456,전기공급설비,105.71,중위험,전체평균
다사725456,전기공급설비,105.71,중위험,전체평균
다사726461,전기공급설비,105.71,중위험,전체평균
다사727444,주차장,105.71,중위험,전체평균
다사728454,유수지,105.71,중위험,전체평균
다사729436,배수시설,105.71,중위험,전체평균
다사729437,배수시설,105.71,중위험,전체평균
다사731476,체육시설,105.71,중위험,전체평균
다사735450,종교시설용지,105.71,중위험,전체평균
다사735451,전기공급설비,105.71,중위험,전체평균
다사735455,전기공급설비,105.71,중위험,전체평균
다사736454,전기공급설비,105.71,중위험,전체평균
다사736455,전기공급설비,105.71,중위험,전체평균
다사737454,전기공급설비,105.71,중위험,전체평균
다사740456,열공급설비,105.71,중위험,전체평균
다사751481,주차장,105.71,중위험,전체평균
다사752480,종교시설용지,105.71,중위험,전체평균
다사737482,주유소용지,95.53,중위험,동일유형
다사738461,주유소용지,95.53,중위험,동일유형
다사738482,주유소용지,95.53,중위험,동일유형
다사721447,공원,94.65,중위험,동일유형
다사721448,공원,94.65,중위험,동일유형
다사721449,공원,94.65,중위험,동일유형
다사722441,공원,94.65,중위험,동일유형
다사722442,공원,94.65,중위험,동일유형
다사722443,공원,94.65,중위험,동일유형
다사722448,공원,94.65,중위험,동일유형
다사722449,공원,94.65,중위험,동일유형
다사723448,공원,94.65,중위험,동일유형
다사723449,공원,94.65,중위험,동일유형
다사724438,공원,94.65,중위험,동일유형
다사724439,공원,94.65,중위험,동일유형
다사724440,공원,94.65,중위험,동일유형
다사724448,공원,94.65,중위험,동일유형
다사724455,공원,94.65,중위험,동일유형
다사725438,공원,94.65,중위험,동일유형
다사725441,공원,94.65,중위험,동일유형
다사725455,공원,94.65,중위험,동일유형
다사726437,공원,94.65,중위험,동일유형
다사726438,공원,94.65,중위험,동일유형
다사726447,공원,94.65,중위험,동일유형
다사726455,공원,94.65,중위험,동일유형
다사726456,공원,94.65,중위험,동일유형
다사726457,공원,94.65,중위험,동일유형
다사726459,공원,94.65,중위험,동일유형
다사726460,공원,94.65,중위험,동일유형
다사727437,공원,94.65,중위험,동일유형
다사727442,공원,94.65,중위험,동일유형
다사727443,공원,94.65,중위험,동일유형
다사727455,공원,94.65,중위험,동일유형
다사727456,공원,94.65,중위험,동일유형
다사727457,공원,94.65,중위험,동일유형
다사727458,공원,94.65,중위험,동일유형
다사727459,공원,94.65,중위험,동일유형
다사727460,공원,94.65,중위험,동일유형
다사727461,공원,94.65,중위험,동일유형
다사728442,공원,94.65,중위험,동일유형
다사728443,공원,94.65,중위험,동일유형
다사728446,공원,94.65,중위험,동일유형
다사728447,공원,94.65,중위험,동일유형
다사728448,공원,94.65,중위험,동일유형
다사728455,공원,94.65,중위험,동일유형
다사728456,공원,94.65,중위험,동일유형
다사728457,공원,94.65,중위험,동일유형
다사728458,공원,94.65,중위험,동일유형
다사728459,공원,94.65,중위험,동일유형
다사728460,공원,94.65,중위험,동일유형
다사728461,공원,94.65,중위험,동일유형
다사729445,공원,94.65,중위험,동일유형
다사729454,공원,94.65,중위험,동일유형
다사729455,공원,94.65,중위험,동일유형
다사729456,공원,94.65,중위험,동일유형
다사729457,공원,94.65,중위험,동일유형
다사729458,공원,94.65,중위험,동일유형
다사729459,공원,94.65,중위험,동일유형
다사729460,공원,94.65,중위험,동일유형
다사729461,공원,94.65,중위험,동일유형
다사729462,공원,94.65,중위험,동일유형
다사730449,공원,94.65,중위험,동일유형
다사730450,공원,94.65,중위험,동일유형
다사730455,공원,94.65,중위험,동일유형
다사730456,공원,94.65,중위험,동일유형
다사730457,공원,94.65,중위험,동일유형
다사730458,공원,94.65,중위험,동일유형
다사730459,공원,94.65,중위험,동일유형
다사730460,공원,94.65,중위험,동일유형
다사730461,공원,94.65,중위험,동일유형
다사730464,공원,94.65,중위험,동일유형
다사730476,공원,94.65,중위험,동일유형
다사731448,공원,94.65,중위험,동일유형
다사731457,공원,94.65,중위험,동일유형
다사731460,공원,94.65,중위험,동일유형
다사732451,공원,94.65,중위험,동일유형
다사732463,공원,94.65,중위험,동일유형
다사732464,공원,94.65,중위험,동일유형
다사732468,공원,94.65,중위험,동일유형
다사732469,공원,94.65,중위험,동일유형
다사733456,공원,94.65,중위험,동일유형
다사733457,공원,94.65,중위험,동일유형
다사733459,공원,94.65,중위험,동일유형
다사733463,공원,94.65,중위험,동일유형
다사733467,공원,94.65,중위험,동일유형
다사733468,공원,94.65,중위험,동일유형
다사733469,공원,94.65,중위험,동일유형
다사733472,공원,94.65,중위험,동일유형
다사734456,공원,94.65,중위험,동일유형
다사734458,공원,94.65,중위험,동일유형
다사734459,공원,94.65,중위험,동일유형
다사734460,공원,94.65,중위험,동일유형
다사734465,공원,94.65,중위험,동일유형
다사734467,공원,94.65,중위험,동일유형
다사734468,공원,94.65,중위험,동일유형
다사734471,공원,94.65,중위험,동일유형
다사734472,공원,94.65,중위험,동일유형
다사735456,공원,94.65,중위험,동일유형
다사735457,공원,94.65,중위험,동일유형
다사735458,공원,94.65,중위험,동일유형
다사735459,공원,94.65,중위험,동일유형
다사735460,공원,94.65,중위험,동일유형
다사735467,공원,94.65,중위험,동일유형
다사735468,공원,94.65,중위험,동일유형
다사736456,공원,94.65,중위험,동일유형
다사736457,공원,94.65,중위험,동일유형
다사736458,공원,94.65,중위험,동일유형
다사736459,공원,94.65,중위험,동일유형
다사736467,공원,94.65,중위험,동일유형
다사736471,공원,94.65,중위험,동일유형
다사737456,공원,94.65,중위험,동일유형
다사737457,공원,94.65,중위험,동일유형
다사737471,공원,94.65,중위험,동일유형
다사737480,공원,94.65,중위험,동일유형
다사738457,공원,94.65,중위험,동일유형
다사738477,공원,94.65,중위험,동일유형
다사738479,공원,94.65,중위험,동일유형
다사738480,공원,94.65,중위험,동일유형
다사739457,공원,94.65,중위험,동일유형
다사739458,공원,94.65,중위험,동일유형
다사740457,공원,94.65,중위험,동일유형
다사740474,공원,94.65,중위험,동일유형
다사741466,공원,94.65,중위험,동일유형
다사742484,공원,94.65,중위험,동일유형
다사743473,공원,94.65,중위험,동일유형
다사744472,공원,94.65,중위험,동일유형
다사744473,공원,94.65,중위험,동일유형
다사744474,공원,94.65,중위험,동일유형
다사747480,공원,94.65,중위험,동일유형
다사750486,공원,94.65,중위험,동일유형
다사751485,공원,94.65,중위험,동일유형
다사752485,공원,94.65,중위험,동일유형
다사754483,공원,94.65,중위험,동일유형
다사725437,도로,94.14,중위험,동일유형
다사726436,도로,94.14,중위험,동일유형
다사727470,도로,94.14,중위험,동일유형
다사728462,도로,94.14,중위험,동일유형
다사728467,도로,94.14,중위험,동일유형
다사728468,도로,94.14,중위험,동일유형
다사728469,도로,94.14,중위험,동일유형
다사728470,도로,94.14,중위험,동일유형
다사728471,도로,94.14,중위험,동일유형
다사729463,도로,94.14,중위험,동일유형
다사729466,도로,94.14,중위험,동일유형
다사729467,도로,94.14,중위험,동일유형
다사729468,도로,94.14,중위험,동일유형
다사729469,도로,94.14,중위험,동일유형
다사729470,도로,94.14,중위험,동일유형
다사729471,도로,94.14,중위험,동일유형
다사729472,도로,94.14,중위험,동일유형
다사729473,도로,94.14,중위험,동일유형
다사729474,도로,94.14,중위험,동일유형
다사730465,도로,94.14,중위험,동일유형
다사730468,도로,94.14,중위험,동일유형
다사730469,도로,94.14,중위험,동일유형
다사730470,도로,94.14,중위험,동일유형
다사730471,도로,94.14,중위험,동일유형
다사730472,도로,94.14,중위험,동일유형
다사730473,도로,94.14,중위험,동일유형
다사730474,도로,94.14,중위험,동일유형
다사730475,도로,94.14,중위험,동일유형
다사731461,도로,94.14,중위험,동일유형
다사731462,도로,94.14,중위험,동일유형
다사731463,도로,94.14,중위험,동일유형
다사731464,도로,94.14,중위험,동일유형
다사731465,도로,94.14,중위험,동일유형
다사731466,도로,94.14,중위험,동일유형
다사731467,도로,94.14,중위험,동일유형
다사731468,도로,94.14,중위험,동일유형
다사731469,도로,94.14,중위험,동일유형
