install_priority,grid_gid,epdo_before,accident_cnt,사망_cnt,중상_cnt,gap_cnt,missing_facilities,total_reduction_pct,epdo_after,epdo_saved,efficiency,entropy_rank,entropy_risk
1,다사685437,569.0,8,1,2,1,child_zone_cnt,25.0,426.75,142.25,142.25,4,713.68
2,다사675380,622.0,7,1,3,2,child_zone_cnt | crosswalk_cnt,36.25,396.52,225.48,112.74,2,790.36
3,다사633451,407.0,3,1,0,1,child_zone_cnt,25.0,305.25,101.75,101.75,31,463.03
4,다사476042,461.0,3,1,1,2,child_zone_cnt | speedbump_cnt,40.0,276.6,184.4,92.2,19,503.69
5,다사672369,558.0,13,1,2,3,child_zone_cnt | crosswalk_cnt | speedbump_cnt,49.0,284.58,273.42,91.14,5,662.32
6,다사671371,535.0,22,0,6,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,295.32,239.68,79.8933,3,735.16
7,다사672368,531.0,25,0,6,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,293.11,237.89,79.2967,1,854.04
8,다사661445,606.0,5,1,3,3,cctv_cam_cnt | cctv_cnt | child_zone_cnt,37.3,379.96,226.04,75.3467,7,657.67
9,다사661436,484.0,5,1,1,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,267.17,216.83,72.2767,10,538.13
10,다사752493,460.0,2,1,1,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,253.92,206.08,68.6933,21,492.18
11,다사729514,439.0,9,1,0,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,242.33,196.67,65.5567,15,512.85
12,다사662432,416.0,5,1,0,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,229.63,186.37,62.1233,11,532.2
13,다사690383,415.0,4,1,0,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,229.08,185.92,61.9733,12,524.34
14,다사684434,415.0,4,1,0,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,229.08,185.92,61.9733,17,508.29
15,다사645448,485.0,6,1,1,3,cctv_cam_cnt | cctv_cnt | child_zone_cnt,37.3,304.1,180.9,60.3,8,580.0
16,다사696385,585.0,10,1,2,6,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,60.77,229.47,355.53,59.255,6,661.12
17,다사399111,391.0,1,1,0,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,215.83,175.17,58.39,39,436.35
18,다사738493,231.0,8,0,3,1,child_zone_cnt,25.0,173.25,57.75,57.75,87,258.89
19,다바374949,529.0,3,1,2,5,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | speedbump_cnt,53.85,244.12,284.88,56.976,9,578.53
20,다사693442,399.0,2,1,0,3,bus_stop_cnt | child_zone_cnt | crosswalk_cnt,41.35,234.01,164.99,54.9967,22,490.62
21,다사687300,391.0,1,1,0,3,bus_stop_cnt | child_zone_cnt | crosswalk_cnt,41.35,229.32,161.68,53.8933,24,473.54
22,다사735489,391.0,1,1,0,3,bus_stop_cnt | child_zone_cnt | crosswalk_cnt,41.35,229.32,161.68,53.8933,20,494.76
23,다사645348,423.0,5,1,0,4,cctv_cam_cnt | cctv_cnt | child_zone_cnt | speedbump_cnt,49.84,212.18,210.82,52.705,30,465.65
24,다사669422,261.0,11,0,3,2,child_zone_cnt | speedbump_cnt,40.0,156.6,104.4,52.2,72,304.1
25,다사673366,391.0,1,1,0,4,bus_stop_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,53.08,183.46,207.54,51.885,23,474.7
