grid_gid,crosswalk_cnt,child_zone_cnt,school_cnt,kindergarten_cnt,daycare_cnt,bus_stop_cnt,cctv_cnt,cctv_cam_cnt,kindergarten_child_cnt,speedbump_cnt,speedbump_hght_below,speedbump_hght_above
다사581304,0,0,0,0,0,0,0,0,0,0,0,0
다사581305,0,0,0,0,0,0,0,0,0,0,0,0
다사581306,0,0,0,0,0,0,0,0,0,0,0,0
다사582304,0,0,0,0,0,0,0,0,0,0,0,0
다사582305,0,0,0,0,0,0,0,0,0,0,0,0
다사582306,0,0,0,0,0,0,0,0,0,0,0,0
다사582307,0,0,0,0,0,0,0,0,0,0,0,0
다사582308,0,0,0,0,0,0,0,0,0,0,0,0
다사582309,0,0,0,0,0,0,0,0,0,0,0,0
다사582310,0,0,0,0,0,0,0,0,0,0,0,0
다사582311,0,0,0,0,0,0,0,0,0,0,0,0
다사582312,0,0,0,0,0,0,0,0,0,0,0,0
다사583304,0,0,0,0,0,0,0,0,0,0,0,0
다사583305,0,0,0,0,0,0,0,0,0,0,0,0
다사583306,0,0,0,0,0,0,0,0,0,0,0,0
다사583307,0,0,0,0,0,0,0,0,0,0,0,0
다사583308,0,0,0,0,0,0,0,0,0,0,0,0
다사583309,0,0,0,0,0,0,0,0,0,0,0,0
다사583310,0,0,0,0,0,0,0,0,0,0,0,0
다사583311,0,0,0,0,0,0,0,0,0,0,0,0
다사583312,0,0,0,0,0,0,0,0,0,0,0,0
다사584304,0,0,0,0,0,0,0,0,0,0,0,0
다사584305,0,0,0,0,0,0,0,0,0,0,0,0
다사584306,0,0,0,0,0,0,0,0,0,0,0,0
다사584307,0,0,0,0,0,0,0,0,0,0,0,0
다사584308,0,0,0,0,0,0,0,0,0,0,0,0
다사584309,0,0,0,0,0,0,0,0,0,0,0,0
다사584310,0,0,0,0,0,0,0,0,0,0,0,0
다사584311,0,0,0,0,0,0,0,0,0,0,0,0
다사584312,0,0,0,0,0,0,0,0,0,0,0,0
다사585303,0,0,0,0,0,0,0,0,0,0,0,0
다사585304,0,0,0,0,0,0,0,0,0,0,0,0
다사585305,0,0,0,0,0,0,0,0,0,0,0,0
다사585306,0,0,0,0,0,0,0,0,0,0,0,0
다사585307,0,0,0,0,0,0,0,0,0,0,0,0
다사585308,0,0,0,0,0,0,0,0,0,0,0,0
다사585309,0,0,0,0,0,0,0,0,0,0,0,0
