link_id,accident_cnt,accident_uids
572541669,1,2024
571546898,1,2024
572500794,2,2024|2024
571501766,6,2024|2024|2024|2024|2024|2024
571558339,1,2024
571540579,1,2024
572542835,2,2024|2024
571501207,1,2024
571558228,4,2024|2024|2024|2024
571555846,1,2024
571555512,1,2024
571557520,5,2024|2024|2024|2024|2024
571544432,1,2024
571500304,2,2024|2024
571558229,2,2024|2024
571543552,5,2024|2024|2024|2024|2024
572501264,2,2024|2024
571452971,36,2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024
571556630,1,2024
571510417,3,2024|2024|2024
571541440,3,2024|2024|2024
572541035,1,2024
572540684,1,2024
571548478,1,2024
572541024,5,2024|2024|2024|2024|2024
571557224,1,2024
571551468,3,2024|2024|2024
572501292,1,2024
572541496,1,2024
572500774,1,2024
571557911,3,2024|2024|2024
572500644,2,2024|2024
571500548,2,2024|2024
572544959,1,2024
572501178,1,2024
571510406,2,2024|2024
571547867,1,2024
571500230,3,2024|2024|2024
571558135,5,2024|2024|2024|2024|2024
571556542,2,2024|2024
571501078,3,2024|2024|2024
572544960,3,2024|2024|2024
571501153,1,2024
571547432,17,2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024
571555420,5,2024|2024|2024|2024|2024
572500739,3,2024|2024|2024
571501376,2,2024|2024
572544887,14,2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024
572541138,1,2024
571500685,2,2024|2024
572501208,1,2024
571557822,1,2024
571501395,2,2024|2024
572500895,2,2024|2024
571501053,4,2024|2024|2024|2024
571548516,1,2024
571550878,11,2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024
571545006,1,2024
571550083,1,2024
571541880,2,2024|2024
571547680,1,2024
571500475,1,2024
572541160,2,2024|2024
572543496,2,2024|2024
571555636,1,2024
571557642,1,2024
571540565,8,2024|2024|2024|2024|2024|2024|2024|2024
572541161,6,2024|2024|2024|2024|2024|2024
571557840,2,2024|2024
571500267,2,2024|2024
572540374,6,2024|2024|2024|2024|2024|2024
572540362,1,2024
571501057,11,2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024
571501230,1,2024
571540803,2,2024|2024
900000084,1,2024
572501383,1,2024
571545732,1,2024
571500312,3,2024|2024|2024
571500677,1,2024
571500613,4,2024|2024|2024|2024
571501001,3,2024|2024|2024
572541017,3,2024|2024|2024
571543539,3,2024|2024|2024
571549494,1,2024
571501284,1,2024
571500356,1,2024
571541100,1,2024
571555296,1,2024
571541667,2,2024|2024
571510081,1,2024
571501074,3,2024|2024|2024
572500829,4,2024|2024|2024|2024
571558527,7,2024|2024|2024|2024|2024|2024|2024
572541261,1,2024
571540332,1,2024
571544468,2,2024|2024
572542918,2,2024|2024
571551012,1,2024
571541935,1,2024
571545134,3,2024|2024|2024
571555596,2,2024|2024
571540551,3,2024|2024|2024
571557244,1,2024
571554838,6,2024|2024|2024|2024|2024|2024
571557138,1,2024
571557454,1,2024
572555181,1,2024
572553384,1,2024
571500558,2,2024|2024
572544942,6,2024|2024|2024|2024|2024|2024
571500557,1,2024
572540628,2,2024|2024
572549898,1,2024
572510009,3,2024|2024|2024
571557634,6,2024|2024|2024|2024|2024|2024
571540573,2,2024|2024
571540595,5,2024|2024|2024|2024|2024
572541637,7,2024|2024|2024|2024|2024|2024|2024
572500652,2,2024|2024
571501156,1,2024
572541831,2,2024|2024
571552058,4,2024|2024|2024|2024
571548362,1,2024
572501254,2,2024|2024
571556658,1,2024
572542456,4,2024|2024|2024|2024
571443640,5,2024|2024|2024|2024|2024
571557156,2,2024|2024
571500554,1,2024
571557152,1,2024
572541684,1,2024
571501731,5,2024|2024|2024|2024|2024
571453881,1,2024
571551000,1,2024
571540563,5,2024|2024|2024|2024|2024
572541202,1,2024
571541596,4,2024|2024|2024|2024
571540346,1,2024
571543414,2,2024|2024
571541946,3,2024|2024|2024
571541824,1,2024
571540604,5,2024|2024|2024|2024|2024
571564818,1,2024
571547190,1,2024
571542121,2,2024|2024
571558901,1,2024
571500575,2,2024|2024
571542127,1,2024
572540737,1,2024
571543550,1,2024
571543148,3,2024|2024|2024
571501234,4,2024|2024|2024|2024
572501124,3,2024|2024|2024
572543934,1,2024
571501182,1,2024
571461949,5,2024|2024|2024|2024|2024
571540963,3,2024|2024|2024
572551816,2,2024|2024
571558218,2,2024|2024
571555602,1,2024
571540093,1,2024
571540387,4,2024|2024|2024|2024
571556362,1,2024
571556596,4,2024|2024|2024|2024
571558330,1,2024
572542462,4,2024|2024|2024|2024
571555098,5,2024|2024|2024|2024|2024
571542310,1,2024
571557766,1,2024
571540553,2,2024|2024
571564241,1,2024
571501006,1,2024
571556936,2,2024|2024
572542257,1,2024
571501104,1,2024
572544962,1,2024
572500825,3,2024|2024|2024
571553050,1,2024
571555920,1,2024
571540923,4,2024|2024|2024|2024
571500683,1,2024
571501555,2,2024|2024
571500580,5,2024|2024|2024|2024|2024
571553052,2,2024|2024
572500955,3,2024|2024|2024
571542761,2,2024|2024
571551192,1,2024
571543543,1,2024
571501772,6,2024|2024|2024|2024|2024|2024
572541163,1,2024
571500679,2,2024|2024
572540685,1,2024
571500329,2,2024|2024
571557890,1,2024
571544126,5,2024|2024|2024|2024|2024
571542245,4,2024|2024|2024|2024
571562622,3,2024|2024|2024
572501125,6,2024|2024|2024|2024|2024|2024
571500624,4,2024|2024|2024|2024
571542735,3,2024|2024|2024
