gid,m_20g_pop,w_20g_pop,m_30g_pop,w_30g_pop,m_40g_pop,w_40g_pop,m_50g_pop,w_50g_pop,m_60g_pop,w_60g_pop,m_70g_pop,w_70g_pop,m_80g_pop,w_80g_pop,m_90g_pop,w_90g_pop,m_100g_pop,w_100g_pop,outlier_flag
다사596307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,17.0,0.0,0.0,True
다사597308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,False
다사601301,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사606326,0.0,11.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사607326,0.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,10.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사607327,0.0,6.0,7.0,9.0,6.0,0.0,8.0,15.0,12.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사608326,0.0,0.0,0.0,0.0,0.0,6.0,11.0,10.0,0.0,11.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,False
다사608327,6.0,6.0,12.0,15.0,12.0,16.0,12.0,11.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사609293,0.0,0.0,11.0,10.0,6.0,9.0,6.0,0.0,6.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사609326,0.0,7.0,11.0,15.0,16.0,19.0,21.0,13.0,7.0,9.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사609327,6.0,0.0,11.0,10.0,19.0,22.0,7.0,8.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사610326,6.0,0.0,0.0,6.0,8.0,10.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사610327,8.0,9.0,0.0,10.0,6.0,15.0,12.0,15.0,10.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사611326,7.0,6.0,9.0,12.0,7.0,8.0,11.0,11.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사611327,11.0,10.0,6.0,11.0,12.0,16.0,26.0,30.0,13.0,10.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사611328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사612327,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
