v_link_id,vel_mean,vel_min,vel_max,vel_std,probe_mean,ts_vel_mean,ts_vel_min,ts_vel_max,ts_probe_mean,outlier_flag
47520001801,19.59,14.73,24.75,3.27,21.43,13,11,2,11,False
47520001802,18.57,15.0,22.17,3.14,20.33,8,12,10,8,False
47520002601,22.85,18.67,25.09,2.04,29.23,1,2,12,9,False
47520002602,24.14,18.0,28.3,3.04,33.1,12,6,13,10,False
47520002801,21.3,10.67,28.75,5.85,17.1,12,10,5,8,False
47520002802,27.9,16.89,37.54,6.02,16.33,9,6,12,8,False
47520003001,31.42,21.8,37.24,4.73,32.67,8,0,12,10,False
47520003002,34.29,21.0,45.5,6.0,23.43,12,0,2,9,False
47520003201,27.74,22.71,31.1,2.73,28.33,0,6,11,10,False
47520003202,26.88,13.5,34.5,5.55,17.36,6,0,2,9,False
47520003401,19.25,11.57,26.83,3.92,30.3,11,0,1,10,False
47520003402,21.9,18.33,27.25,2.29,36.15,2,4,7,9,False
47520003601,20.03,15.75,26.0,2.75,24.92,12,0,1,10,False
47520003602,23.48,18.5,44.0,6.75,33.92,0,3,5,9,False
47520006401,20.54,15.2,26.39,4.27,14.38,10,9,12,0,False
47520006402,20.45,15.83,24.44,3.11,15.33,1,0,9,11,False
47520007601,29.91,15.29,38.8,6.84,23.18,9,6,7,10,False
47520007602,28.92,22.33,37.25,4.41,22.85,11,2,7,9,False
47520008001,24.34,20.0,30.6,3.27,23.75,6,4,7,10,False
47520008002,21.89,17.6,29.89,3.23,31.83,11,9,7,10,False
47520008201,17.7,10.0,27.0,3.62,26.57,8,2,6,8,False
47520008202,19.07,15.0,27.5,3.48,25.75,4,8,7,10,False
47520008401,23.36,17.18,36.42,4.76,20.0,11,13,8,10,False
47520008402,22.41,14.33,53.5,10.57,16.31,2,4,1,7,False
47520010001,16.77,11.0,19.71,2.73,29.42,8,4,13,10,False
47520010002,21.44,15.67,39.17,6.73,33.23,3,5,0,10,False
47520010801,28.61,4.0,41.93,10.75,20.8,8,3,11,9,False
47520010802,30.92,21.75,41.0,6.44,18.64,10,6,3,8,False
47520011601,36.35,30.75,52.67,5.0,112.86,8,0,4,9,False
47520011602,35.64,32.36,43.75,2.84,95.36,11,0,4,9,False
47520011801,29.19,26.93,35.25,2.16,88.43,12,8,4,9,False
47520011802,28.75,23.73,40.33,3.75,105.86,7,0,4,9,False
47520012201,22.43,17.09,29.64,3.85,15.67,6,12,7,9,False
47520012202,21.47,12.93,29.0,5.93,10.75,9,11,2,0,False
47520013601,22.89,15.25,26.33,2.91,40.38,6,2,0,8,False
47520013602,23.12,17.33,43.57,7.01,38.14,5,4,1,9,False
47520015601,25.07,19.49,49.33,7.52,40.36,3,12,1,9,False
47520015602,25.86,20.93,34.0,3.16,38.71,10,6,4,9,False
47531164501,28.92,24.42,31.44,1.9,86.57,9,1,3,9,False
47531164502,30.98,24.75,45.78,5.64,63.33,9,5,1,9,False
47531166101,29.08,19.62,36.18,3.84,86.14,10,4,8,9,False
47531166102,25.26,21.97,30.53,2.82,104.57,4,13,6,9,False
47531212001,25.49,14.74,36.21,7.48,25.67,13,12,7,8,False
47531212002,23.05,12.92,34.29,6.61,19.78,0,12,8,0,False
47531353401,24.86,22.5,28.14,1.75,53.33,9,0,11,9,False
47531353601,27.57,20.67,48.5,7.32,37.27,6,5,1,10,False
47531353602,22.25,18.67,28.17,2.47,36.79,10,4,1,9,False
47531353801,36.36,19.67,47.53,8.71,34.14,1,0,12,9,False
47531353802,32.76,22.67,36.57,4.67,41.0,7,5,12,10,False
47531354001,21.72,18.17,37.38,5.38,30.0,11,0,1,10,False
47531354002,23.88,19.22,29.0,2.98,39.93,12,1,2,9,False
47531354201,21.33,16.67,31.0,3.5,35.0,10,4,8,9,False
47531354202,22.71,13.5,30.67,4.91,27.36,8,5,3,10,False
47621002301,38.97,36.54,45.81,3.04,152.62,5,4,1,5,False
47621002302,48.07,44.22,51.37,2.51,270.88,5,2,7,5,False
47624002701,31.01,29.0,34.26,1.51,124.57,9,8,6,9,False
47624002702,31.24,25.38,37.75,3.09,134.64,7,2,4,9,False
47624006201,40.43,32.24,44.48,3.41,219.07,6,3,5,7,False
47624006202,43.48,36.86,53.11,3.95,191.64,3,2,1,7,False
47624006501,39.78,29.11,57.0,5.91,196.79,3,2,1,7,False
47624006502,39.44,31.26,46.18,3.29,266.86,10,3,1,7,False
47624016001,59.02,53.43,65.97,4.88,138.0,4,0,7,5,False
47624016002,61.17,57.53,65.68,2.67,112.25,5,4,3,5,False
47624017101,57.91,52.86,62.32,3.56,156.25,2,3,5,5,False
47624017102,60.42,55.21,63.22,3.32,102.5,1,4,6,5,False
47624022601,21.43,11.25,34.32,5.68,35.14,6,1,9,8,False
47624022602,22.52,16.0,34.0,4.32,51.71,8,0,4,8,False
47624022801,28.29,22.55,39.67,5.83,84.21,5,12,4,10,False
47624022802,21.45,11.5,25.96,4.01,66.5,13,1,10,7,False
47624023101,35.75,33.04,38.21,1.9,294.29,9,4,1,7,False
47624023102,34.33,30.67,39.67,2.1,405.64,13,5,0,7,False
47624023901,32.24,29.5,34.0,1.31,474.36,7,3,0,6,False
47624023902,34.64,30.31,38.65,2.06,305.21,12,2,3,7,False
47624028801,31.87,25.39,36.22,3.91,100.5,3,4,7,5,False
47624028802,40.61,37.15,46.49,3.94,113.25,2,4,6,5,False
47624030001,29.05,24.13,32.42,2.76,148.86,6,1,7,6,False
47624030002,32.45,18.8,38.0,4.26,110.57,7,3,1,7,False
47624030101,29.37,17.8,35.41,4.99,114.43,6,0,7,6,False
47624030102,30.32,14.83,35.5,5.47,88.0,13,3,0,7,False
47624030501,21.26,14.57,28.35,4.14,24.77,2,3,9,5,False
47624030502,17.69,8.76,33.5,7.99,24.22,13,11,8,10,False
47624030602,15.16,13.0,17.31,3.05,20.5,9,9,13,9,False
47624030701,18.8,13.0,23.34,3.01,22.0,6,5,9,7,False
47624030702,10.71,8.06,16.35,2.6,13.38,8,11,13,7,False
47624031101,17.12,15.12,19.48,1.37,146.71,9,6,3,10,False
47624031102,20.5,17.0,23.68,1.45,352.29,1,0,7,9,False
47624033801,28.76,23.09,34.44,8.03,10.0,12,13,12,12,False
47624033802,26.73,19.0,42.0,13.22,3.0,12,0,13,13,False
47624034001,69.17,66.59,71.72,1.88,112.75,2,4,3,5,True
47624034002,68.07,59.06,74.26,4.94,136.12,1,3,7,4,True
47624034201,55.84,52.6,59.62,3.06,135.62,6,3,5,4,False
47624034202,61.78,57.83,64.92,2.38,111.38,0,4,3,5,False
47624034401,44.0,38.88,51.77,5.18,109.62,2,0,6,5,False
47624034402,39.42,33.65,44.05,4.11,87.38,0,4,5,5,False
47624035001,47.94,42.89,55.6,5.33,109.62,1,3,6,5,False
47624035002,45.92,40.85,49.3,3.33,88.25,0,4,7,5,False
47624041401,23.95,14.75,41.31,9.68,41.36,3,4,0,5,False
47624041402,22.91,16.37,40.88,6.74,68.83,8,13,5,12,False
47624043201,21.65,17.1,24.6,2.42,76.14,9,0,1,10,False
47624043202,16.53,13.93,19.86,1.65,61.5,0,6,3,7,False
47624046201,37.37,33.76,45.5,3.24,262.79,5,12,3,8,False
47624046202,36.72,33.23,40.17,1.84,346.57,0,4,6,7,False
47624047001,32.88,23.4,36.92,3.53,114.14,11,1,2,12,False
47624047002,31.72,25.43,42.15,5.67,44.08,12,8,5,10,False
47624051001,54.28,33.65,93.25,13.93,79.79,5,3,1,7,False
47624051002,51.14,29.73,96.25,15.81,70.57,4,2,1,7,False
47624052401,48.03,42.24,51.29,2.67,167.36,13,0,7,9,False
47624052402,47.64,41.63,51.39,3.34,131.71,13,1,5,8,False
47624053001,21.59,11.57,26.88,4.32,11.91,7,1,13,8,False
47624054001,27.47,19.42,63.75,11.61,88.92,3,10,1,7,False
47624054002,31.09,11.67,65.0,14.12,85.0,3,4,0,7,False
47624054801,30.06,28.08,31.87,1.44,165.38,6,0,5,5,False
47624054802,28.1,26.21,30.32,1.44,106.62,3,7,1,5,False
47624056801,59.48,53.09,63.61,3.36,141.38,4,3,7,5,False
47624056802,59.33,55.72,62.25,2.43,114.12,5,2,7,5,False
47624059201,36.88,31.47,43.12,4.29,116.0,6,0,7,4,False
47624059202,39.4,37.18,41.91,1.8,85.38,2,3,7,5,False
47624059601,33.19,29.83,37.12,1.89,140.14,5,4,8,10,False
47624060601,46.3,44.86,48.22,1.17,88.0,3,1,2,5,False
47624060602,41.8,33.37,48.3,5.1,122.88,1,0,7,4,False
47624061001,23.95,12.5,27.53,3.86,88.43,1,3,7,7,False
47624061002,18.33,15.15,21.3,1.48,314.5,11,0,7,9,False
47624069601,36.57,34.25,38.65,1.3,375.36,13,3,8,6,False
47624069602,37.85,35.83,42.3,2.05,287.57,0,4,3,8,False
47624069801,43.28,39.04,53.43,3.64,230.71,9,6,3,8,False
47624069802,41.07,37.13,44.37,2.4,367.07,13,0,6,6,False
47624070001,36.82,31.53,40.06,3.09,386.36,13,4,6,6,False
47624070002,37.09,29.32,41.57,3.06,291.5,13,4,2,8,False
47624070201,38.07,29.57,41.66,3.23,376.36,13,0,8,6,False
47624070202,35.7,30.5,39.56,2.25,291.07,11,4,2,8,False
47624073601,31.28,27.52,32.93,1.89,144.5,9,4,7,7,False
47624073602,31.35,28.92,34.92,2.12,95.0,7,8,13,9,False
47624074201,31.2,28.36,36.38,2.0,178.0,11,5,0,6,False
47624074202,31.66,26.93,35.75,2.61,144.64,8,3,0,7,False
47624074801,43.8,32.27,53.18,4.88,198.14,12,2,3,9,False
47624074802,45.39,34.71,53.72,4.63,170.07,12,0,5,9,False
47624077401,39.89,33.78,49.18,3.25,141.5,12,6,3,9,False
47624077402,44.58,41.91,48.64,2.11,162.79,0,13,2,7,False
47624078801,46.32,42.8,49.44,2.03,104.5,7,4,6,5,False
47624078802,50.32,46.64,55.49,2.88,160.75,2,0,5,5,False
47624079001,47.01,44.77,49.43,1.48,162.12,7,3,5,5,False
47624079002,40.11,36.12,44.17,2.46,104.12,5,7,6,5,False
47624079801,18.54,3.0,26.0,6.2,8.6,10,2,1,7,False
47624080401,16.3,14.0,20.5,2.15,8.55,10,2,8,5,False
47624080402,10.84,3.0,29.0,7.4,7.17,7,2,3,7,False
47624080602,22.63,14.0,33.0,5.31,9.85,8,2,1,7,False
47624081001,24.45,18.31,31.5,3.52,28.9,12,6,4,8,False
47624081002,24.41,13.59,33.25,8.15,27.6,10,9,4,4,False
47624081201,19.53,11.16,29.46,5.64,26.88,11,9,7,13,False
47624081202,27.97,24.26,33.88,2.83,28.91,6,9,7,12,False
47624081401,31.42,23.6,37.71,4.61,80.79,6,1,8,6,False
47624081402,29.74,16.25,38.33,5.16,76.79,6,3,1,7,False
47624081801,19.3,14.89,22.58,2.15,36.83,10,7,9,7,False
47624081802,17.09,8.0,22.5,4.03,32.42,9,0,7,8,False
47624082201,26.25,22.74,37.67,3.99,54.0,0,12,3,7,False
47624082202,25.7,19.67,31.56,3.48,59.07,1,2,5,7,False
47624085801,35.96,29.08,39.74,2.85,257.0,7,3,11,7,False
47624085802,35.59,29.56,39.36,2.44,260.71,13,2,1,7,False
47624106201,41.99,39.62,47.75,2.24,266.21,1,6,0,7,False
47624106202,38.93,33.46,47.47,3.76,181.36,8,3,0,8,False
47624107001,15.29,12.7,21.71,2.9,15.25,13,8,6,10,False
47624107002,27.08,24.15,31.07,2.64,69.0,13,11,6,13,False
47624111801,63.51,58.15,67.73,2.93,253.75,0,2,7,5,False
47624111802,58.28,54.24,61.31,2.63,140.62,1,4,7,5,False
47624116401,19.76,13.22,33.94,5.47,23.23,4,8,1,12,False
47624116402,29.15,24.32,33.46,2.89,97.64,10,5,8,7,False
47624126201,16.63,9.25,25.86,5.72,9.0,9,0,6,12,False
47624130401,49.53,45.02,53.19,2.64,136.25,1,0,7,4,False
47624130402,53.86,52.48,57.08,1.67,109.38,7,2,3,0,False
47624163301,39.02,23.56,43.48,5.21,77.5,12,0,7,8,False
47624166301,41.78,32.75,47.67,4.6,169.57,1,3,7,9,False
47624166302,45.56,39.67,50.05,3.28,136.29,12,1,7,9,False
47624178001,30.9,30.1,32.2,0.73,107.88,6,2,1,5,False
47624178002,22.72,19.73,24.57,1.91,171.5,2,7,1,5,False
47624178201,30.81,28.91,32.83,1.43,173.12,7,4,3,5,False
47624178202,31.3,29.87,33.57,1.11,107.38,2,5,1,5,False
47624178401,45.16,40.14,52.74,3.71,146.38,7,2,3,5,False
47624178402,46.75,43.86,50.18,2.16,106.88,5,2,3,5,False
47624179401,43.44,40.79,48.44,2.68,145.88,3,7,0,5,False
