v_link_id,all_mean,all_min,all_max,all_std,pscr_mean,bus_mean,fgcr_mean,ts_all_mean,ts_all_min,ts_all_max,outlier_flag
47520001801,32.18,1.0,81.0,24.04,23.88,1.12,7.06,18,2,14,False
47520001802,36.62,7.0,73.0,22.62,29.31,0.75,6.31,13,16,10,False
47520002601,41.43,4.0,98.0,29.53,30.48,2.43,8.57,6,5,16,False
47520002602,48.85,1.0,81.0,26.8,35.3,1.45,12.05,5,1,11,False
47520002801,38.85,2.0,96.0,37.1,30.6,0.9,7.2,5,4,10,False
47520002802,29.21,2.0,87.0,22.28,22.26,0.89,5.84,10,7,15,False
47520003001,30.11,1.0,75.0,21.16,21.95,2.42,5.58,17,7,9,False
47520003002,30.58,0.0,77.0,23.7,20.75,4.12,5.75,18,0,8,False
47520003201,28.63,1.0,61.0,16.16,19.63,2.68,6.11,9,7,13,False
47520003202,23.79,0.0,54.0,17.9,16.92,1.42,5.25,17,0,6,False
47520003401,52.65,7.0,111.0,32.83,37.3,6.9,8.55,7,1,13,False
47520003402,52.7,1.0,127.0,38.45,40.09,4.13,8.57,16,2,13,False
47520003601,51.09,2.0,111.0,30.28,40.14,1.95,8.86,7,4,13,False
47520003602,52.04,0.0,144.0,43.55,41.39,1.7,9.09,16,2,12,False
47520006401,27.94,0.0,69.0,20.65,21.18,1.24,5.35,17,0,9,False
47520006402,26.39,0.0,73.0,21.89,20.39,1.06,4.89,15,1,10,False
47520007601,31.9,1.0,61.0,16.0,24.19,1.43,6.43,9,1,12,False
47520007602,31.22,2.0,63.0,20.28,22.87,2.17,6.22,9,5,8,False
47520008001,44.95,2.0,101.0,29.06,35.41,1.68,7.77,5,4,11,False
47520008002,47.77,6.0,96.0,31.87,37.91,1.95,7.86,6,1,13,False
47520008201,50.58,4.0,123.0,39.44,40.12,1.83,8.58,7,5,15,False
47520008202,46.73,2.0,100.0,28.5,36.18,2.0,8.41,6,4,13,False
47520008401,46.09,4.0,95.0,32.43,35.09,1.43,9.48,19,5,15,False
47520008402,43.87,5.0,98.0,27.41,32.35,1.52,9.91,8,6,10,False
47520010001,58.73,3.0,120.0,37.68,43.32,6.5,8.82,11,4,15,False
47520010002,58.57,6.0,115.0,38.55,41.43,6.61,10.43,8,1,12,False
47520010801,23.1,1.0,61.0,14.74,15.6,2.55,4.95,18,22,8,False
47520010802,22.9,1.0,69.0,17.2,15.67,1.52,5.52,17,2,9,False
47520011601,55.83,2.0,210.0,53.17,45.17,1.46,9.12,7,4,14,False
47520011602,56.83,6.0,148.0,45.91,44.38,2.25,10.29,17,3,13,False
47520011801,83.12,7.0,254.0,71.54,67.5,2.42,13.21,9,3,14,False
47520011802,73.75,2.0,213.0,61.37,60.96,1.75,11.0,19,4,11,False
47520012201,30.42,1.0,85.0,22.93,22.89,0.95,6.63,10,1,12,False
47520012202,38.09,2.0,98.0,29.87,29.41,1.5,7.0,19,7,12,False
47520013601,56.26,4.0,108.0,33.93,41.57,1.52,13.13,5,0,10,False
47520013602,57.08,5.0,125.0,36.72,41.83,2.58,12.75,19,4,14,False
47520015601,66.75,1.0,154.0,51.94,55.12,1.67,9.88,19,4,15,False
47520015602,58.54,8.0,150.0,43.37,47.88,1.83,8.79,5,3,13,False
47531164501,65.17,6.0,156.0,51.66,52.25,1.62,11.0,17,2,15,False
47531164502,43.86,4.0,93.0,30.51,34.0,2.55,7.32,6,1,14,False
47531166101,72.08,1.0,218.0,60.76,59.12,2.25,10.58,18,2,11,False
47531166102,88.62,8.0,216.0,64.48,73.75,2.12,12.79,18,3,12,False
47531212001,35.74,2.0,96.0,30.38,26.26,1.42,8.0,11,7,14,False
47531212002,38.53,2.0,102.0,34.99,30.05,1.0,7.47,17,0,11,False
47531353401,40.94,10.0,79.0,20.42,27.94,1.28,11.61,15,7,13,False
47531353601,63.38,2.0,126.0,37.07,42.33,3.19,17.9,19,1,16,False
47531353602,63.17,6.0,132.0,35.03,42.29,1.75,18.92,18,2,9,False
47531353801,24.17,1.0,73.0,15.21,17.75,1.29,5.0,18,2,11,False
47531353802,30.1,3.0,59.0,17.5,22.1,2.45,5.65,9,5,12,False
47531354001,60.33,10.0,115.0,31.03,42.29,1.9,16.19,7,5,15,False
47531354002,69.62,10.0,161.0,39.52,49.33,2.04,18.12,5,2,15,False
47531354201,56.54,1.0,120.0,37.35,44.38,1.83,10.25,9,2,14,False
47531354202,45.33,1.0,97.0,28.21,35.62,2.19,7.71,6,3,13,False
47610000801,176.42,11.0,445.0,140.66,124.54,3.25,48.5,9,2,17,False
47610000802,137.46,11.0,260.0,96.27,98.83,2.67,36.0,18,2,7,False
47610001301,189.0,11.0,461.0,149.13,135.92,3.75,49.46,6,2,16,False
47610001302,177.0,12.0,419.0,142.12,137.12,2.17,37.67,7,2,17,False
47621002301,209.79,17.0,453.0,135.48,141.71,4.5,63.33,18,1,16,False
47621002302,188.5,13.0,372.0,122.21,130.08,4.46,54.04,18,2,6,False
47624002701,72.46,16.0,147.0,49.46,58.12,2.21,12.12,18,1,15,False
47624002702,65.83,1.0,147.0,48.87,52.25,1.75,11.71,17,4,15,False
47624006201,70.67,4.0,147.0,50.19,46.46,1.08,23.42,18,2,9,False
47624006202,64.5,0.0,149.0,46.77,42.21,1.08,21.04,18,1,14,False
47624006501,91.38,7.0,192.0,68.24,60.79,1.04,29.54,18,0,16,False
47624006502,86.83,8.0,186.0,64.08,55.17,1.29,30.38,4,0,10,False
47624016001,160.42,10.0,309.0,115.32,111.08,3.33,46.04,18,1,14,False
47624016002,167.62,12.0,365.0,128.62,115.58,3.42,48.58,6,2,13,False
47624017101,160.25,10.0,296.0,114.3,111.71,3.0,45.42,17,2,13,False
47624017102,172.83,12.0,332.0,124.35,119.88,3.12,49.75,18,2,14,False
47624022601,61.58,1.0,115.0,34.45,41.71,5.12,14.83,5,2,13,False
47624022602,71.67,1.0,153.0,53.58,47.92,5.29,18.54,18,1,14,False
47624022801,82.46,1.0,212.0,60.34,56.62,5.79,20.17,18,2,7,False
47624022802,85.79,1.0,158.0,51.81,60.62,6.04,19.0,6,1,16,False
47624023101,122.12,5.0,252.0,90.32,79.25,0.96,42.0,18,0,16,False
47624023102,139.42,5.0,388.0,113.21,92.38,1.0,46.08,5,0,7,False
47624023901,162.29,6.0,424.0,131.91,109.62,1.04,51.58,17,0,7,False
47624023902,156.17,5.0,328.0,124.64,106.42,0.92,48.79,6,0,14,False
47624028801,224.46,18.0,666.0,177.08,147.04,3.96,73.42,9,2,16,False
47624028802,180.67,10.0,330.0,119.88,122.12,2.17,56.54,17,2,5,False
47624030001,120.83,8.0,258.0,94.46,68.88,0.79,50.83,5,0,9,False
47624030002,105.58,8.0,265.0,81.33,59.17,0.79,45.42,17,0,14,False
47624030101,123.17,9.0,287.0,97.11,78.25,0.83,43.83,17,0,7,False
47624030102,111.75,6.0,254.0,85.87,67.25,0.79,43.58,5,23,8,False
47624030501,95.18,4.0,179.0,65.9,47.59,1.23,46.27,5,22,13,False
47624030502,110.25,2.0,186.0,61.01,50.69,1.69,58.19,12,19,11,False
47624030601,51.0,33.0,68.0,17.52,43.33,1.33,6.67,9,14,17,False
47624030602,36.83,9.0,68.0,30.55,30.0,0.83,5.67,9,13,17,False
47624030701,69.86,4.0,136.0,45.29,47.62,1.14,20.95,5,19,14,False
47624030702,116.14,1.0,179.0,52.52,69.93,1.57,44.79,7,18,10,False
47624031101,136.46,18.0,338.0,95.54,113.12,2.96,20.38,20,1,14,False
47624031102,144.79,37.0,290.0,87.1,120.83,3.5,20.62,7,2,11,False
47624033801,21.83,2.0,63.0,26.66,17.33,0.67,4.17,19,17,12,False
47624033802,25.0,1.0,72.0,40.71,16.0,0.33,8.33,13,0,12,False
47624034001,163.67,12.0,354.0,122.99,112.83,3.25,47.46,6,2,14,False
47624034002,147.54,9.0,288.0,105.95,100.08,3.04,44.5,18,1,13,False
47624034201,155.17,9.0,304.0,111.24,107.08,3.04,45.25,18,1,5,False
47624034202,162.88,12.0,394.0,124.47,111.83,3.46,47.54,7,2,13,False
47624034401,190.46,13.0,343.0,130.51,131.0,2.08,57.42,17,1,13,False
47624034402,220.38,16.0,604.0,166.21,145.5,3.83,71.08,18,2,16,False
47624034801,223.29,16.0,614.0,168.85,144.12,3.75,75.42,6,1,16,False
47624034802,183.17,14.0,429.0,124.89,122.29,1.96,58.71,18,1,9,False
47624035001,180.17,10.0,315.0,122.21,122.58,1.96,55.46,18,2,8,False
47624035002,209.5,16.0,610.0,165.66,138.25,3.75,67.5,18,1,16,False
47624041401,80.0,2.0,203.0,61.05,40.83,1.5,37.58,12,0,9,False
47624041402,103.14,3.0,197.0,72.57,52.64,1.45,48.82,16,3,14,False
47624043201,91.17,1.0,190.0,61.06,63.08,6.04,22.04,17,2,7,False
47624043202,93.92,1.0,207.0,59.16,69.21,6.0,18.83,6,1,17,False
47624046201,110.92,8.0,220.0,79.25,81.33,4.25,25.42,8,1,13,False
47624046202,122.88,7.0,251.0,89.35,87.08,4.42,31.5,7,2,9,False
47624047001,64.0,4.0,157.0,53.18,40.62,1.71,21.62,5,0,7,False
