gid,sigungu,pop_0to12
다사642368,성남시,170
다사643368,성남시,98
다사641369,성남시,89
다사642366,성남시,57
다사642367,성남시,58
다사647365,성남시,58
다사641368,성남시,52
다사642369,성남시,50
다사644368,성남시,58
다사643367,성남시,43
다사643365,성남시,40
다사643366,성남시,41
다사646364,성남시,40
다사647367,성남시,36
다사644364,성남시,29
다사646363,성남시,28
다사646368,성남시,30
다사647368,성남시,26
다사646369,성남시,25
다사647363,성남시,28
다사641367,성남시,21
다사646365,성남시,23
다사645365,성남시,24
다사645364,성남시,21
다사646362,성남시,18
다사641366,성남시,17
다사645362,성남시,14
다사645368,성남시,15
다사647369,성남시,14
다사642365,성남시,10
다사644365,성남시,13
다사621370,성남시,8
다사632373,성남시,3
다사642375,성남시,8
다사644369,성남시,8
다사645369,성남시,8
다사647362,성남시,8
다사649365,성남시,6
다사617363,성남시,5
다사618363,성남시,5
다사619364,성남시,2
다사619365,성남시,5
다사622370,성남시,5
다사631373,성남시,5
다사632374,성남시,2
다사635370,성남시,2
다사635374,성남시,5
다사641365,성남시,2
다사642372,성남시,5
다사643375,성남시,2
다사646361,성남시,2
다사646370,성남시,5
다사648365,성남시,5
다사648366,성남시,5
다사648367,성남시,5
다사649366,성남시,5
다사649367,성남시,2
다사650367,성남시,2
다사619366,성남시,0
다사620365,성남시,0
다사620368,성남시,0
다사621365,성남시,0
다사622369,성남시,0
다사631372,성남시,0
다사640367,성남시,0
다사640368,성남시,0
다사643376,성남시,0
다사644375,성남시,0
다사645371,성남시,0
다사660276,성남시,76
다사657276,성남시,64
다사658276,성남시,57
다사657278,성남시,46
다사646271,성남시,62
다사661279,성남시,51
다사656276,성남시,45
다사661278,성남시,48
다사657277,성남시,37
다사657275,성남시,45
다사656278,성남시,41
다사660278,성남시,36
다사656277,성남시,44
다사658278,성남시,34
다사658277,성남시,34
다사659278,성남시,29
다사658279,성남시,29
다사645271,성남시,33
다사643271,성남시,30
다사659279,성남시,25
다사661277,성남시,27
다사652275,성남시,31
다사644271,성남시,26
다사660277,성남시,22
다사661276,성남시,22
다사658275,성남시,19
다사661280,성남시,27
다사652277,성남시,26
다사660279,성남시,22
다사656275,성남시,23
다사661275,성남시,20
다사652276,성남시,17
다사659280,성남시,16
다사656279,성남시,9
다사653278,성남시,10
다사654275,성남시,10
다사654276,성남시,10
다사655275,성남시,10
다사658280,성남시,10
다사660275,성남시,10
다사660281,성남시,10
다사662280,성남시,10
다사662281,성남시,8
다사649272,성남시,8
다사654277,성남시,8
다사655276,성남시,6
다사655277,성남시,6
다사659281,성남시,6
다사660280,성남시,6
다사660282,성남시,6
다사661281,성남시,8
다사662278,성남시,6
다사662279,성남시,8
다사644275,성남시,5
다사645273,성남시,5
다사645274,성남시,5
다사645275,성남시,2
다사650273,성남시,5
다사652279,성남시,5
다사654274,성남시,5
다사654279,성남시,5
다사655274,성남시,2
다사659275,성남시,2
다사661282,성남시,5
다사662275,성남시,2
다사625284,성남시,0
다사638276,성남시,0
다사651272,성남시,0
다사660263,성남시,93
다사661264,성남시,88
다사662268,성남시,65
다사663263,성남시,69
다사659267,성남시,59
다사662266,성남시,59
다사662267,성남시,64
다사662263,성남시,59
다사659268,성남시,54
다사657265,성남시,45
다사662262,성남시,59
다사658267,성남시,45
다사663267,성남시,45
다사658266,성남시,38
다사659266,성남시,44
다사659263,성남시,38
다사661268,성남시,40
다사651264,성남시,36
다사659262,성남시,41
다사658264,성남시,38
다사661266,성남시,35
다사663266,성남시,26
다사663262,성남시,33
다사661263,성남시,29
다사663268,성남시,24
다사650265,성남시,30
다사660262,성남시,24
다사661267,성남시,28
다사658265,성남시,24
다사659264,성남시,30
다사664267,성남시,24
다사661262,성남시,24
다사663261,성남시,21
다사657267,성남시,25
다사658262,성남시,28
다사665264,성남시,20
다사658268,성남시,16
다사667270,성남시,16
다사664269,성남시,15
다사660274,성남시,18
다사664266,성남시,17
다사665267,성남시,14
다사667269,성남시,17
다사668269,성남시,16
다사658263,성남시,17
다사664265,성남시,13
다사655273,성남시,15
다사660264,성남시,16
다사655267,성남시,15
다사666271,성남시,15
다사665269,성남시,11
다사660273,성남시,10
다사647268,성남시,10
다사651265,성남시,10
다사655266,성남시,10
다사657273,성남시,10
다사657274,성남시,10
다사658272,성남시,10
다사658274,성남시,13
다사659261,성남시,13
다사659272,성남시,8
다사659274,성남시,10
다사660272,성남시,10
다사663265,성남시,10
다사665270,성남시,8
다사669269,성남시,10
다사661271,성남시,8
다사661273,성남시,7
다사662273,성남시,7
다사652269,성남시,8
다사654263,성남시,6
다사654273,성남시,6
다사655265,성남시,6
다사656272,성남시,6
다사657272,성남시,6
다사658271,성남시,6
다사659271,성남시,6
다사659273,성남시,3
다사660271,성남시,6
다사661272,성남시,8
다사661274,성남시,6
다사662274,성남시,6
다사666268,성남시,3
다사666269,성남시,6
다사667271,성남시,6
다사668271,성남시,6
다사668272,성남시,8
다사669270,성남시,6
다사669272,성남시,6
다사647269,성남시,2
다사647270,성남시,5
다사654272,성남시,5
다사655263,성남시,2
다사655272,성남시,5
다사656273,성남시,5
다사656274,성남시,5
다사659265,성남시,5
다사660266,성남시,2
다사662272,성남시,5
다사666266,성남시,5
다사667265,성남시,2
다사667272,성남시,5
다사668267,성남시,5
다사668268,성남시,5
다사668270,성남시,5
다사668273,성남시,2
다사668274,성남시,2
다사669267,성남시,5
다사669271,성남시,2
다사669273,성남시,2
다사670270,성남시,2
다사670272,성남시,5
다사654268,성남시,0
다사658273,성남시,0
다사661261,성남시,0
다사662261,성남시,0
다사666267,성남시,0
다사666276,성남시,0
다사667273,성남시,0
다사669274,성남시,0
다사670268,성남시,0
다사670271,성남시,0
다사650280,성남시,182
다사650284,성남시,103
다사652284,성남시,100
다사650285,성남시,85
다사651286,성남시,93
다사650286,성남시,75
다사650282,성남시,82
다사652283,성남시,76
다사652286,성남시,74
다사652285,성남시,83
다사650281,성남시,61
다사651285,성남시,69
다사651282,성남시,55
다사653281,성남시,46
다사651283,성남시,43
다사656281,성남시,45
다사652281,성남시,45
다사653282,성남시,36
다사656284,성남시,30
다사656285,성남시,31
다사657284,성남시,27
다사657282,성남시,24
다사652282,성남시,21
다사655282,성남시,16
다사658282,성남시,19
다사645301,성남시,12
다사657280,성남시,15
다사644301,성남시,8
다사651284,성남시,13
다사652280,성남시,10
다사654282,성남시,10
다사655281,성남시,10
다사656280,성남시,10
다사657285,성남시,13
다사658281,성남시,10
다사659282,성남시,10
다사640302,성남시,8
다사642288,성남시,6
다사642302,성남시,8
다사643294,성남시,6
다사645288,성남시,6
다사645289,성남시,6
다사645302,성남시,6
다사645303,성남시,8
다사646300,성남시,6
다사646301,성남시,8
다사646302,성남시,8
다사646304,성남시,8
다사651280,성남시,6
다사651281,성남시,8
다사653280,성남시,6
다사654283,성남시,6
다사654284,성남시,3
다사656283,성남시,6
다사657281,성남시,8
다사658283,성남시,6
다사638301,성남시,5
다사639302,성남시,5
다사639303,성남시,5
다사640295,성남시,5
다사641294,성남시,5
다사642289,성남시,5
다사642294,성남시,5
다사642301,성남시,5
다사643288,성남시,5
다사643290,성남시,5
다사644288,성남시,2
다사644289,성남시,5
다사644293,성남시,2
다사644294,성남시,2
다사644302,성남시,5
다사644303,성남시,5
다사646288,성남시,2
다사646290,성남시,5
다사646303,성남시,5
다사647298,성남시,5
다사654281,성남시,2
다사655280,성남시,5
다사655284,성남시,2
다사659283,성남시,5
다사637300,성남시,0
다사640303,성남시,0
다사641293,성남시,0
다사641302,성남시,0
다사643289,성남시,0
다사643301,성남시,0
다사643302,성남시,0
다사644295,성남시,0
다사646295,성남시,0
다사646307,성남시,0
다사705384,성남시,207
다사706383,성남시,173
다사700383,성남시,167
다사703383,성남시,118
다사699383,성남시,118
다사701381,성남시,107
다사702382,성남시,111
다사706382,성남시,98
다사699382,성남시,96
다사703382,성남시,99
다사706384,성남시,92
다사701382,성남시,82
다사705382,성남시,80
다사705383,성남시,82
다사698383,성남시,76
다사703385,성남시,74
다사703384,성남시,71
다사705385,성남시,71
다사704385,성남시,66
다사697382,성남시,64
다사704384,성남시,61
다사707384,성남시,49
다사698382,성남시,53
다사702384,성남시,47
다사708383,성남시,43
다사699381,성남시,39
다사701380,성남시,36
다사698381,성남시,33
다사701383,성남시,30
다사697383,성남시,33
다사700380,성남시,20
다사703386,성남시,25
다사699380,성남시,21
다사708384,성남시,24
다사707385,성남시,18
다사701384,성남시,19
다사707386,성남시,18
다사703381,성남시,11
다사700381,성남시,14
다사704386,성남시,16
다사708387,성남시,16
다사700385,성남시,12
다사702380,성남시,15
다사704381,성남시,10
다사700379,성남시,10
다사701379,성남시,10
다사701385,성남시,10
다사707383,성남시,10
다사698380,성남시,6
다사702381,성남시,8
다사706386,성남시,6
다사696384,성남시,2
다사699384,성남시,5
다사700384,성남시,5
다사704382,성남시,2
다사705386,성남시,2
다사706385,성남시,2
다사698384,성남시,0
다사702385,성남시,0
다사707387,성남시,0
다사709384,성남시,0
다사710388,성남시,156
다사710390,성남시,69
다사711391,성남시,60
다사709388,성남시,62
다사711390,성남시,49
다사711389,성남시,48
다사710391,성남시,35
다사705391,성남시,31
다사708392,성남시,29
다사701390,성남시,29
다사698386,성남시,29
다사701391,성남시,31
다사704388,성남시,24
다사700387,성남시,25
다사703390,성남시,24
다사699386,성남시,25
다사707392,성남시,25
다사704387,성남시,21
다사701386,성남시,20
다사710389,성남시,25
다사698387,성남시,21
다사702386,성남시,19
다사703389,성남시,19
다사704389,성남시,22
다사708388,성남시,20
다사709390,성남시,20
다사702388,성남시,15
다사709389,성남시,19
다사699388,성남시,17
다사701388,성남시,18
다사706391,성남시,18
다사698388,성남시,17
다사699391,성남시,18
다사704391,성남시,17
다사701387,성남시,15
다사699387,성남시,16
다사699385,성남시,12
다사700391,성남시,12
다사701393,성남시,16
다사704390,성남시,16
다사700390,성남시,15
다사700393,성남시,15
다사702390,성남시,12
다사709393,성남시,12
다사698389,성남시,14
다사700388,성남시,11
다사697388,성남시,9
다사703387,성남시,10
다사697387,성남시,8
다사698385,성남시,10
다사699390,성남시,10
다사700386,성남시,8
다사700392,성남시,8
다사701392,성남시,10
다사702387,성남시,10
다사698391,성남시,8
다사699389,성남시,8
다사699392,성남시,6
다사700389,성남시,8
다사700394,성남시,6
다사702389,성남시,6
다사705387,성남시,8
다사705388,성남시,6
다사705390,성남시,6
다사709392,성남시,8
다사696386,성남시,2
다사697385,성남시,5
다사697386,성남시,2
다사698390,성남시,2
다사699393,성남시,5
다사703388,성남시,5
다사707391,성남시,2
다사695391,성남시,106
다사696392,성남시,89
다사697391,성남시,85
다사696390,성남시,70
